# time model 
59330.452438 2.238707 
59330.505369 2.231270 
59330.558301 2.223813 
59330.611233 2.216335 
59330.664165 2.208838 
59330.717097 2.201323 
59330.770029 2.193788 
59330.822960 2.186235 
59330.875892 2.178665 
59330.928824 2.171077 
59330.981756 2.163473 
59331.034688 2.155851 
59331.087620 2.148214 
59331.140551 2.140561 
59331.193483 2.132892 
59331.246415 2.125209 
59331.299347 2.117511 
59331.352279 2.109799 
59331.405211 2.102073 
59331.458142 2.094334 
59331.511074 2.086581 
59331.564006 2.078816 
59331.616938 2.071039 
59331.669870 2.063250 
59331.722802 2.055449 
59331.775733 2.047637 
59331.828665 2.039814 
59331.881597 2.031981 
59331.934529 2.024138 
59331.987461 2.016285 
59332.040393 2.008422 
59332.093324 2.000551 
59332.146256 1.992671 
59332.199188 1.984782 
59332.252120 1.976885 
59332.305052 1.968981 
59332.357984 1.961069 
59332.410915 1.953151 
59332.463847 1.945225 
59332.516779 1.937294 
59332.569711 1.929356 
59332.622643 1.921413 
59332.675575 1.913464 
59332.728506 1.905510 
59332.781438 1.897551 
59332.834370 1.889588 
59332.887302 1.881621 
59332.940234 1.873650 
59332.993166 1.865676 
59333.046097 1.857698 
59333.099029 1.849718 
59333.151961 1.841735 
59333.204893 1.833750 
59333.257825 1.825763 
59333.310756 1.817775 
59333.363688 1.809785 
59333.416620 1.801794 
59333.469552 1.793802 
59333.522484 1.785810 
59333.575416 1.777818 
59333.628347 1.769826 
59333.681279 1.761835 
59333.734211 1.753845 
59333.787143 1.745856 
59333.840075 1.737868 
59333.893007 1.729882 
59333.945938 1.721898 
59333.998870 1.713917 
59334.051802 1.705938 
59334.104734 1.697962 
59334.157666 1.689990 
59334.210598 1.682021 
59334.263529 1.674056 
59334.316461 1.666095 
59334.369393 1.658139 
59334.422325 1.650188 
59334.475257 1.642242 
59334.528189 1.634301 
59334.581120 1.626367 
59334.634052 1.618438 
59334.686984 1.610516 
59334.739916 1.602601 
59334.792848 1.594692 
