# time model 
59318.211098 -19.901697 
59318.222326 -19.884661 
59318.233554 -19.865961 
59318.244782 -19.845614 
59318.256009 -19.823635 
59318.267237 -19.800044 
59318.278465 -19.774862 
59318.289693 -19.748112 
59318.300921 -19.719818 
59318.312149 -19.690006 
59318.323377 -19.658704 
59318.334605 -19.625942 
59318.345832 -19.591750 
59318.357060 -19.556161 
59318.368288 -19.519207 
59318.379516 -19.480924 
59318.390744 -19.441346 
59318.401972 -19.400512 
59318.413200 -19.358457 
59318.424428 -19.315222 
59318.435655 -19.270845 
59318.446883 -19.225366 
59318.458111 -19.178825 
59318.469339 -19.131264 
59318.480567 -19.082724 
59318.491795 -19.033246 
59318.503023 -18.982873 
59318.514251 -18.931646 
59318.525478 -18.879609 
59318.536706 -18.826802 
59318.547934 -18.773270 
59318.559162 -18.719052 
59318.570390 -18.664192 
59318.581618 -18.608732 
59318.592846 -18.552712 
59318.604073 -18.496174 
59318.615301 -18.439158 
59318.626529 -18.381706 
59318.637757 -18.323856 
59318.648985 -18.265648 
59318.660213 -18.207121 
59318.671441 -18.148313 
59318.682669 -18.089262 
59318.693896 -18.030004 
59318.705124 -17.970576 
59318.716352 -17.911013 
59318.727580 -17.851350 
59318.738808 -17.791622 
59318.750036 -17.731861 
59318.761264 -17.672101 
59318.772492 -17.612374 
59318.783719 -17.552709 
59318.794947 -17.493139 
59318.806175 -17.433692 
59318.817403 -17.374397 
59318.828631 -17.315283 
59318.839859 -17.256376 
59318.851087 -17.197704 
59318.862314 -17.139291 
59318.873542 -17.081163 
59318.884770 -17.023344 
59318.895998 -16.965857 
59318.907226 -16.908726 
59318.918454 -16.851972 
59318.929682 -16.795617 
59318.940910 -16.739682 
59318.952137 -16.684185 
59318.963365 -16.629147 
59318.974593 -16.574586 
59318.985821 -16.520521 
59318.997049 -16.466968 
59319.008277 -16.413944 
59319.019505 -16.361465 
59319.030733 -16.309547 
59319.041960 -16.258206 
59319.053188 -16.207454 
59319.064416 -16.157307 
59319.075644 -16.107777 
59319.086872 -16.058877 
59319.098100 -16.010621 
59319.109328 -15.963019 
59319.120556 -15.916083 
59319.131783 -15.869824 
59319.143011 -15.824253 
59319.154239 -15.779379 
59319.165467 -15.735213 
59319.176695 -15.691764 
59319.187923 -15.649040 
59319.199151 -15.607051 
59319.210378 -15.565804 
59319.221606 -15.525308 
59319.232834 -15.485569 
59319.244062 -15.446597 
59319.255290 -15.408396 
59319.266518 -15.370975 
59319.277746 -15.334339 
59319.288974 -15.298494 
59319.300201 -15.263447 
59319.311429 -15.229203 
59319.322657 -15.195768 
59319.333885 -15.163146 
59319.345113 -15.131343 
59319.356341 -15.100364 
59319.367569 -15.070212 
59319.378797 -15.040893 
59319.390024 -15.012410 
59319.401252 -14.984768 
59319.412480 -14.957970 
59319.423708 -14.932020 
59319.434936 -14.906922 
59319.446164 -14.882678 
59319.457392 -14.859293 
59319.468620 -14.836768 
59319.479847 -14.815108 
59319.491075 -14.794314 
59319.502303 -14.774390 
59319.513531 -14.755337 
59319.524759 -14.737159 
59319.535987 -14.719858 
59319.547215 -14.703436 
59319.558442 -14.687894 
59319.569670 -14.673235 
59319.580898 -14.659460 
59319.592126 -14.646572 
59319.603354 -14.634572 
59319.614582 -14.623460 
59319.625810 -14.613240 
59319.637038 -14.603911 
59319.648265 -14.595475 
59319.659493 -14.587934 
59319.670721 -14.581287 
59319.681949 -14.575535 
59319.693177 -14.570680 
59319.704405 -14.566722 
59319.715633 -14.563660 
59319.726861 -14.561496 
59319.738088 -14.560230 
59319.749316 -14.559861 
59319.760544 -14.560390 
59319.771772 -14.561815 
59319.783000 -14.564137 
59319.794228 -14.567354 
59319.805456 -14.571467 
59319.816684 -14.576473 
59319.827911 -14.582372 
59319.839139 -14.589163 
59319.850367 -14.596844 
59319.861595 -14.605412 
59319.872823 -14.614867 
59319.884051 -14.625206 
59319.895279 -14.636425 
59319.906506 -14.648524 
59319.917734 -14.661498 
59319.928962 -14.675344 
59319.940190 -14.690059 
59319.951418 -14.705640 
59319.962646 -14.722081 
59319.973874 -14.739378 
59319.985102 -14.757527 
59319.996329 -14.776523 
59320.007557 -14.796360 
59320.018785 -14.817031 
59320.030013 -14.838532 
59320.041241 -14.860854 
59320.052469 -14.883992 
59320.063697 -14.907937 
