# time model 
59329.394057 -2.118141 
59329.405285 -2.119377 
59329.416513 -2.120618 
59329.427741 -2.121862 
59329.438969 -2.123110 
59329.450197 -2.124362 
59329.461424 -2.125617 
59329.472652 -2.126875 
59329.483880 -2.128137 
59329.495108 -2.129403 
59329.506336 -2.130672 
59329.517564 -2.131945 
59329.528792 -2.133221 
59329.540020 -2.134500 
59329.551247 -2.135783 
59329.562475 -2.137070 
59329.573703 -2.138360 
59329.584931 -2.139653 
59329.596159 -2.140950 
59329.607387 -2.142250 
59329.618615 -2.143554 
59329.629842 -2.144861 
59329.641070 -2.146171 
59329.652298 -2.147485 
59329.663526 -2.148801 
59329.674754 -2.150122 
59329.685982 -2.151445 
59329.697210 -2.152772 
59329.708438 -2.154102 
59329.719665 -2.155435 
59329.730893 -2.156772 
59329.742121 -2.158112 
59329.753349 -2.159454 
59329.764577 -2.160801 
59329.775805 -2.162150 
59329.787033 -2.163502 
59329.798261 -2.164858 
59329.809488 -2.166217 
59329.820716 -2.167579 
59329.831944 -2.168944 
59329.843172 -2.170312 
59329.854400 -2.171683 
59329.865628 -2.173057 
59329.876856 -2.174435 
59329.888084 -2.175815 
59329.899311 -2.177198 
59329.910539 -2.178585 
59329.921767 -2.179974 
59329.932995 -2.181367 
59329.944223 -2.182762 
59329.955451 -2.184160 
59329.966679 -2.185561 
59329.977906 -2.186966 
59329.989134 -2.188373 
59330.000362 -2.189783 
59330.011590 -2.191195 
59330.022818 -2.192611 
59330.034046 -2.194030 
59330.045274 -2.195451 
59330.056502 -2.196875 
59330.067729 -2.198302 
59330.078957 -2.199732 
59330.090185 -2.201165 
59330.101413 -2.202600 
59330.112641 -2.204038 
59330.123869 -2.205479 
59330.135097 -2.206923 
59330.146325 -2.208369 
59330.157552 -2.209818 
59330.168780 -2.211270 
59330.180008 -2.212724 
59330.191236 -2.214181 
59330.202464 -2.215641 
59330.213692 -2.217103 
59330.224920 -2.218568 
59330.236148 -2.220035 
59330.247375 -2.221505 
59330.258603 -2.222978 
59330.269831 -2.224453 
59330.281059 -2.225931 
59330.292287 -2.227411 
59330.303515 -2.228894 
59330.314743 -2.230379 
59330.325970 -2.231867 
59330.337198 -2.233357 
59330.348426 -2.234850 
59330.359654 -2.236345 
59330.370882 -2.237842 
59330.382110 -2.239342 
59330.393338 -2.240845 
59330.404566 -2.242349 
59330.415793 -2.243856 
59330.427021 -2.245366 
59330.438249 -2.246877 
59330.449477 -2.248392 
59330.460705 -2.249908 
59330.471933 -2.251427 
59330.483161 -2.252948 
59330.494389 -2.254471 
59330.505616 -2.255996 
59330.516844 -2.257524 
59330.528072 -2.259054 
59330.539300 -2.260586 
59330.550528 -2.262120 
59330.561756 -2.263657 
59330.572984 -2.265196 
59330.584211 -2.266736 
59330.595439 -2.268279 
59330.606667 -2.269824 
59330.617895 -2.271372 
59330.629123 -2.272921 
59330.640351 -2.274472 
59330.651579 -2.276026 
59330.662807 -2.277581 
59330.674034 -2.279139 
59330.685262 -2.280698 
59330.696490 -2.282260 
59330.707718 -2.283823 
59330.718946 -2.285389 
59330.730174 -2.286956 
59330.741402 -2.288525 
59330.752630 -2.290097 
59330.763857 -2.291670 
59330.775085 -2.293245 
59330.786313 -2.294822 
59330.797541 -2.296401 
59330.808769 -2.297982 
59330.819997 -2.299564 
59330.831225 -2.301149 
59330.842453 -2.302735 
59330.853680 -2.304323 
59330.864908 -2.305913 
59330.876136 -2.307504 
59330.887364 -2.309097 
59330.898592 -2.310692 
59330.909820 -2.312289 
59330.921048 -2.313888 
59330.932275 -2.315488 
59330.943503 -2.317090 
59330.954731 -2.318693 
59330.965959 -2.320299 
59330.977187 -2.321905 
59330.988415 -2.323514 
59330.999643 -2.325124 
59331.010871 -2.326735 
59331.022098 -2.328349 
59331.033326 -2.329963 
59331.044554 -2.331580 
59331.055782 -2.333198 
59331.067010 -2.334817 
59331.078238 -2.336438 
59331.089466 -2.338060 
59331.100694 -2.339684 
59331.111921 -2.341309 
59331.123149 -2.342936 
59331.134377 -2.344564 
59331.145605 -2.346194 
59331.156833 -2.347825 
59331.168061 -2.349457 
59331.179289 -2.351091 
59331.190517 -2.352726 
59331.201744 -2.354363 
59331.212972 -2.356000 
59331.224200 -2.357639 
59331.235428 -2.359280 
59331.246656 -2.360921 
59331.257884 -2.362564 
59331.269112 -2.364209 
59331.280339 -2.365854 
59331.291567 -2.367501 
59331.302795 -2.369148 
59331.314023 -2.370797 
59331.325251 -2.372448 
59331.336479 -2.374099 
59331.347707 -2.375752 
59331.358935 -2.377405 
59331.370162 -2.379060 
59331.381390 -2.380716 
59331.392618 -2.382373 
59331.403846 -2.384031 
59331.415074 -2.385690 
59331.426302 -2.387350 
59331.437530 -2.389011 
59331.448758 -2.390673 
59331.459985 -2.392336 
59331.471213 -2.394000 
59331.482441 -2.395665 
59331.493669 -2.397332 
59331.504897 -2.398999 
59331.516125 -2.400666 
59331.527353 -2.402335 
59331.538580 -2.404005 
59331.549808 -2.405675 
59331.561036 -2.407347 
59331.572264 -2.409019 
59331.583492 -2.410692 
59331.594720 -2.412366 
59331.605948 -2.414041 
59331.617176 -2.415716 
59331.628403 -2.417393 
59331.639631 -2.419070 
59331.650859 -2.420747 
59331.662087 -2.422426 
59331.673315 -2.424105 
59331.684543 -2.425785 
59331.695771 -2.427466 
59331.706999 -2.429147 
59331.718226 -2.430829 
59331.729454 -2.432511 
59331.740682 -2.434194 
59331.751910 -2.435878 
59331.763138 -2.437562 
59331.774366 -2.439247 
59331.785594 -2.440933 
59331.796822 -2.442619 
59331.808049 -2.444305 
59331.819277 -2.445992 
59331.830505 -2.447680 
59331.841733 -2.449368 
59331.852961 -2.451056 
59331.864189 -2.452745 
59331.875417 -2.454435 
59331.886644 -2.456124 
59331.897872 -2.457815 
59331.909100 -2.459505 
59331.920328 -2.461196 
59331.931556 -2.462887 
59331.942784 -2.464579 
59331.954012 -2.466271 
59331.965240 -2.467963 
59331.976467 -2.469656 
59331.987695 -2.471349 
59331.998923 -2.473042 
59332.010151 -2.474735 
59332.021379 -2.476429 
59332.032607 -2.478123 
59332.043835 -2.479817 
59332.055063 -2.481511 
59332.066290 -2.483206 
59332.077518 -2.484900 
59332.088746 -2.486595 
59332.099974 -2.488290 
59332.111202 -2.489985 
59332.122430 -2.491680 
59332.133658 -2.493375 
59332.144886 -2.495070 
59332.156113 -2.496765 
59332.167341 -2.498461 
59332.178569 -2.500156 
59332.189797 -2.501851 
59332.201025 -2.503547 
59332.212253 -2.505242 
59332.223481 -2.506937 
59332.234708 -2.508632 
59332.245936 -2.510327 
59332.257164 -2.512022 
59332.268392 -2.513717 
59332.279620 -2.515412 
59332.290848 -2.517107 
59332.302076 -2.518801 
59332.313304 -2.520496 
59332.324531 -2.522190 
59332.335759 -2.523884 
59332.346987 -2.525577 
59332.358215 -2.527271 
59332.369443 -2.528964 
59332.380671 -2.530657 
59332.391899 -2.532350 
59332.403127 -2.534042 
59332.414354 -2.535735 
59332.425582 -2.537426 
59332.436810 -2.539118 
59332.448038 -2.540809 
59332.459266 -2.542500 
59332.470494 -2.544190 
59332.481722 -2.545880 
59332.492950 -2.547570 
59332.504177 -2.549259 
59332.515405 -2.550947 
59332.526633 -2.552636 
59332.537861 -2.554323 
59332.549089 -2.556011 
59332.560317 -2.557697 
59332.571545 -2.559384 
59332.582772 -2.561069 
59332.594000 -2.562754 
59332.605228 -2.564439 
59332.616456 -2.566123 
59332.627684 -2.567806 
59332.638912 -2.569489 
59332.650140 -2.571171 
59332.661368 -2.572852 
59332.672595 -2.574533 
59332.683823 -2.576213 
59332.695051 -2.577893 
59332.706279 -2.579571 
59332.717507 -2.581249 
59332.728735 -2.582926 
59332.739963 -2.584603 
59332.751191 -2.586278 
59332.762418 -2.587953 
59332.773646 -2.589627 
59332.784874 -2.591301 
59332.796102 -2.592973 
59332.807330 -2.594644 
59332.818558 -2.596315 
59332.829786 -2.597985 
59332.841013 -2.599654 
59332.852241 -2.601322 
59332.863469 -2.602989 
59332.874697 -2.604655 
59332.885925 -2.606320 
59332.897153 -2.607984 
59332.908381 -2.609647 
59332.919609 -2.611309 
59332.930836 -2.612970 
59332.942064 -2.614630 
59332.953292 -2.616289 
59332.964520 -2.617947 
59332.975748 -2.619603 
59332.986976 -2.621259 
59332.998204 -2.622913 
59333.009432 -2.624567 
59333.020659 -2.626219 
59333.031887 -2.627870 
59333.043115 -2.629520 
59333.054343 -2.631168 
59333.065571 -2.632816 
59333.076799 -2.634462 
59333.088027 -2.636107 
59333.099255 -2.637750 
59333.110482 -2.639393 
59333.121710 -2.641034 
59333.132938 -2.642674 
59333.144166 -2.644312 
59333.155394 -2.645949 
59333.166622 -2.647585 
59333.177850 -2.649219 
59333.189077 -2.650852 
59333.200305 -2.652483 
59333.211533 -2.654113 
59333.222761 -2.655742 
59333.233989 -2.657369 
59333.245217 -2.658994 
59333.256445 -2.660619 
59333.267673 -2.662241 
59333.278900 -2.663862 
59333.290128 -2.665482 
59333.301356 -2.667100 
59333.312584 -2.668716 
59333.323812 -2.670331 
59333.335040 -2.671944 
59333.346268 -2.673556 
59333.357496 -2.675166 
59333.368723 -2.676774 
59333.379951 -2.678380 
59333.391179 -2.679985 
59333.402407 -2.681588 
59333.413635 -2.683190 
59333.424863 -2.684790 
59333.436091 -2.686388 
59333.447319 -2.687984 
59333.458546 -2.689578 
59333.469774 -2.691171 
59333.481002 -2.692762 
