# time model 
59318.211098 -2.112884 
59318.222326 -2.103070 
59318.233554 -2.091879 
59318.244782 -2.079317 
59318.256009 -2.065390 
59318.267237 -2.050109 
59318.278465 -2.033482 
59318.289693 -2.015522 
59318.300921 -1.996240 
59318.312149 -1.975650 
59318.323377 -1.953766 
59318.334605 -1.930604 
59318.345832 -1.906182 
59318.357060 -1.880516 
59318.368288 -1.853625 
59318.379516 -1.825530 
59318.390744 -1.796251 
59318.401972 -1.765811 
59318.413200 -1.734232 
59318.424428 -1.701538 
59318.435655 -1.667754 
59318.446883 -1.632904 
59318.458111 -1.597017 
59318.469339 -1.560118 
59318.480567 -1.522236 
59318.491795 -1.483400 
59318.503023 -1.443638 
59318.514251 -1.402982 
59318.525478 -1.361461 
59318.536706 -1.319107 
59318.547934 -1.275952 
59318.559162 -1.232028 
59318.570390 -1.187367 
59318.581618 -1.142004 
59318.592846 -1.095972 
59318.604073 -1.049305 
59318.615301 -1.002037 
59318.626529 -0.954203 
59318.637757 -0.905838 
59318.648985 -0.856976 
59318.660213 -0.807654 
59318.671441 -0.757905 
59318.682669 -0.707767 
59318.693896 -0.657274 
59318.705124 -0.606462 
59318.716352 -0.555366 
59318.727580 -0.504022 
59318.738808 -0.452465 
59318.750036 -0.400731 
59318.761264 -0.348854 
59318.772492 -0.296870 
59318.783719 -0.244814 
59318.794947 -0.192719 
59318.806175 -0.140620 
59318.817403 -0.088551 
59318.828631 -0.036545 
59318.839859 0.015363 
59318.851087 0.067142 
59318.862314 0.118758 
59318.873542 0.170180 
59318.884770 0.221376 
59318.895998 0.272314 
59318.907226 0.322965 
59318.918454 0.373297 
59318.929682 0.423280 
59318.940910 0.472887 
59318.952137 0.522087 
59318.963365 0.570853 
59318.974593 0.619157 
59318.985821 0.666973 
59318.997049 0.714272 
59319.008277 0.761030 
59319.019505 0.807222 
59319.030733 0.852822 
59319.041960 0.897807 
59319.053188 0.942153 
59319.064416 0.985837 
59319.075644 1.028836 
59319.086872 1.071130 
59319.098100 1.112698 
59319.109328 1.153518 
59319.120556 1.193571 
59319.131783 1.232838 
59319.143011 1.271301 
59319.154239 1.308941 
59319.165467 1.345742 
59319.176695 1.381686 
59319.187923 1.416758 
59319.199151 1.450942 
59319.210378 1.484224 
59319.221606 1.516589 
59319.232834 1.548024 
59319.244062 1.578516 
59319.255290 1.608052 
59319.266518 1.636620 
59319.277746 1.664210 
59319.288974 1.690810 
59319.300201 1.716411 
59319.311429 1.741004 
59319.322657 1.764578 
59319.333885 1.787127 
59319.345113 1.808641 
59319.356341 1.829114 
59319.367569 1.848539 
59319.378797 1.866910 
59319.390024 1.884221 
59319.401252 1.900466 
59319.412480 1.915642 
59319.423708 1.929743 
59319.434936 1.942767 
59319.446164 1.954710 
59319.457392 1.965569 
59319.468620 1.975342 
59319.479847 1.984028 
59319.491075 1.991624 
59319.502303 1.998131 
59319.513531 2.003547 
59319.524759 2.007873 
59319.535987 2.011110 
59319.547215 2.013257 
59319.558442 2.014317 
59319.569670 2.014292 
59319.580898 2.013182 
59319.592126 2.010992 
59319.603354 2.007724 
59319.614582 2.003382 
59319.625810 1.997969 
59319.637038 1.991489 
59319.648265 1.983948 
59319.659493 1.975350 
59319.670721 1.965701 
59319.681949 1.955006 
59319.693177 1.943271 
59319.704405 1.930504 
59319.715633 1.916710 
59319.726861 1.901898 
59319.738088 1.886075 
59319.749316 1.869248 
59319.760544 1.851427 
59319.771772 1.832621 
59319.783000 1.812837 
59319.794228 1.792086 
59319.805456 1.770377 
59319.816684 1.747721 
59319.827911 1.724129 
59319.839139 1.699610 
59319.850367 1.674177 
59319.861595 1.647841 
59319.872823 1.620614 
59319.884051 1.592508 
59319.895279 1.563536 
59319.906506 1.533711 
59319.917734 1.503046 
59319.928962 1.471555 
59319.940190 1.439253 
59319.951418 1.406153 
59319.962646 1.372271 
59319.973874 1.337621 
59319.985102 1.302219 
59319.996329 1.266082 
59320.007557 1.229224 
59320.018785 1.191663 
59320.030013 1.153416 
59320.041241 1.114499 
59320.052469 1.074931 
