# time model 
59329.481866 -0.004324 
59329.519476 -0.004303 
59329.557086 -0.004283 
59329.594696 -0.004264 
59329.632306 -0.004246 
59329.669917 -0.004230 
59329.707527 -0.004214 
59329.745137 -0.004199 
59329.782747 -0.004186 
59329.820357 -0.004173 
59329.857967 -0.004162 
59329.895578 -0.004151 
59329.933188 -0.004142 
59329.970798 -0.004133 
59330.008408 -0.004126 
59330.046018 -0.004120 
59330.083628 -0.004115 
59330.121238 -0.004110 
59330.158849 -0.004107 
59330.196459 -0.004105 
59330.234069 -0.004104 
59330.271679 -0.004104 
59330.309289 -0.004105 
59330.346899 -0.004107 
59330.384510 -0.004110 
59330.422120 -0.004114 
59330.459730 -0.004119 
59330.497340 -0.004125 
59330.534950 -0.004132 
59330.572560 -0.004141 
59330.610170 -0.004150 
59330.647781 -0.004160 
59330.685391 -0.004171 
59330.723001 -0.004183 
59330.760611 -0.004196 
59330.798221 -0.004210 
59330.835831 -0.004225 
59330.873442 -0.004241 
59330.911052 -0.004258 
59330.948662 -0.004276 
59330.986272 -0.004294 
59331.023882 -0.004314 
59331.061492 -0.004335 
59331.099102 -0.004357 
59331.136713 -0.004379 
59331.174323 -0.004403 
59331.211933 -0.004427 
59331.249543 -0.004452 
59331.287153 -0.004479 
59331.324763 -0.004506 
59331.362374 -0.004534 
59331.399984 -0.004563 
59331.437594 -0.004592 
59331.475204 -0.004623 
59331.512814 -0.004654 
59331.550424 -0.004687 
59331.588035 -0.004720 
59331.625645 -0.004754 
59331.663255 -0.004789 
59331.700865 -0.004825 
59331.738475 -0.004861 
59331.776085 -0.004898 
59331.813695 -0.004937 
59331.851306 -0.004975 
59331.888916 -0.005015 
59331.926526 -0.005056 
59331.964136 -0.005097 
59332.001746 -0.005139 
59332.039356 -0.005182 
59332.076967 -0.005225 
59332.114577 -0.005269 
59332.152187 -0.005314 
59332.189797 -0.005360 
59332.227407 -0.005407 
59332.265017 -0.005454 
59332.302627 -0.005502 
59332.340238 -0.005550 
59332.377848 -0.005599 
59332.415458 -0.005649 
59332.453068 -0.005699 
59332.490678 -0.005751 
59332.528288 -0.005802 
59332.565899 -0.005855 
59332.603509 -0.005908 
59332.641119 -0.005962 
59332.678729 -0.006016 
59332.716339 -0.006071 
59332.753949 -0.006126 
59332.791559 -0.006182 
59332.829170 -0.006239 
59332.866780 -0.006296 
59332.904390 -0.006353 
59332.942000 -0.006412 
59332.979610 -0.006470 
59333.017220 -0.006530 
59333.054831 -0.006589 
59333.092441 -0.006650 
59333.130051 -0.006710 
59333.167661 -0.006772 
59333.205271 -0.006833 
59333.242881 -0.006896 
59333.280492 -0.006958 
59333.318102 -0.007021 
59333.355712 -0.007085 
59333.393322 -0.007149 
59333.430932 -0.007213 
59333.468542 -0.007278 
59333.506152 -0.007343 
59333.543763 -0.007409 
59333.581373 -0.007474 
59333.618983 -0.007541 
59333.656593 -0.007607 
59333.694203 -0.007674 
59333.731813 -0.007742 
59333.769424 -0.007809 
59333.807034 -0.007877 
59333.844644 -0.007946 
59333.882254 -0.008014 
59333.919864 -0.008083 
59333.957474 -0.008153 
59333.995084 -0.008222 
59334.032695 -0.008292 
59334.070305 -0.008362 
59334.107915 -0.008432 
59334.145525 -0.008503 
59334.183135 -0.008573 
59334.220745 -0.008644 
59334.258356 -0.008716 
59334.295966 -0.008787 
59334.333576 -0.008859 
59334.371186 -0.008930 
59334.408796 -0.009002 
59334.446406 -0.009075 
59334.484016 -0.009147 
59334.521627 -0.009219 
59334.559237 -0.009292 
59334.596847 -0.009365 
59334.634457 -0.009438 
59334.672067 -0.009511 
59334.709677 -0.009584 
59334.747288 -0.009657 
