# time model 
59329.481866 -0.374091 
59329.519476 -0.374677 
59329.557086 -0.375226 
59329.594696 -0.375738 
59329.632306 -0.376213 
59329.669917 -0.376650 
59329.707527 -0.377051 
59329.745137 -0.377414 
59329.782747 -0.377740 
59329.820357 -0.378029 
59329.857967 -0.378281 
59329.895578 -0.378497 
59329.933188 -0.378675 
59329.970798 -0.378816 
59330.008408 -0.378921 
59330.046018 -0.378989 
59330.083628 -0.379021 
59330.121238 -0.379016 
59330.158849 -0.378974 
59330.196459 -0.378896 
59330.234069 -0.378782 
59330.271679 -0.378632 
59330.309289 -0.378445 
59330.346899 -0.378223 
59330.384510 -0.377965 
59330.422120 -0.377671 
59330.459730 -0.377341 
59330.497340 -0.376976 
59330.534950 -0.376575 
59330.572560 -0.376140 
59330.610170 -0.375669 
59330.647781 -0.375163 
59330.685391 -0.374623 
59330.723001 -0.374047 
59330.760611 -0.373437 
59330.798221 -0.372793 
59330.835831 -0.372115 
59330.873442 -0.371402 
59330.911052 -0.370656 
59330.948662 -0.369876 
59330.986272 -0.369062 
59331.023882 -0.368215 
59331.061492 -0.367335 
59331.099102 -0.366422 
59331.136713 -0.365476 
59331.174323 -0.364497 
59331.211933 -0.363486 
59331.249543 -0.362443 
59331.287153 -0.361367 
59331.324763 -0.360260 
59331.362374 -0.359121 
59331.399984 -0.357951 
59331.437594 -0.356749 
59331.475204 -0.355517 
59331.512814 -0.354254 
59331.550424 -0.352960 
59331.588035 -0.351636 
59331.625645 -0.350282 
59331.663255 -0.348897 
59331.700865 -0.347484 
59331.738475 -0.346041 
59331.776085 -0.344568 
59331.813695 -0.343067 
59331.851306 -0.341537 
59331.888916 -0.339979 
59331.926526 -0.338392 
59331.964136 -0.336778 
59332.001746 -0.335136 
59332.039356 -0.333466 
59332.076967 -0.331769 
59332.114577 -0.330046 
59332.152187 -0.328295 
59332.189797 -0.326519 
59332.227407 -0.324716 
59332.265017 -0.322887 
59332.302627 -0.321032 
59332.340238 -0.319153 
59332.377848 -0.317248 
59332.415458 -0.315318 
59332.453068 -0.313364 
59332.490678 -0.311385 
59332.528288 -0.309383 
59332.565899 -0.307357 
59332.603509 -0.305307 
59332.641119 -0.303234 
59332.678729 -0.301139 
59332.716339 -0.299021 
59332.753949 -0.296880 
59332.791559 -0.294717 
59332.829170 -0.292533 
59332.866780 -0.290327 
59332.904390 -0.288100 
59332.942000 -0.285852 
59332.979610 -0.283584 
59333.017220 -0.281295 
59333.054831 -0.278986 
59333.092441 -0.276657 
59333.130051 -0.274309 
59333.167661 -0.271942 
59333.205271 -0.269556 
59333.242881 -0.267151 
59333.280492 -0.264728 
59333.318102 -0.262287 
59333.355712 -0.259828 
59333.393322 -0.257352 
59333.430932 -0.254858 
59333.468542 -0.252348 
59333.506152 -0.249821 
59333.543763 -0.247278 
59333.581373 -0.244718 
59333.618983 -0.242143 
59333.656593 -0.239553 
59333.694203 -0.236947 
59333.731813 -0.234327 
59333.769424 -0.231692 
59333.807034 -0.229042 
59333.844644 -0.226379 
59333.882254 -0.223702 
59333.919864 -0.221011 
59333.957474 -0.218308 
59333.995084 -0.215591 
59334.032695 -0.212862 
59334.070305 -0.210120 
59334.107915 -0.207367 
59334.145525 -0.204601 
59334.183135 -0.201824 
59334.220745 -0.199036 
59334.258356 -0.196237 
59334.295966 -0.193428 
59334.333576 -0.190608 
59334.371186 -0.187777 
59334.408796 -0.184937 
59334.446406 -0.182087 
59334.484016 -0.179228 
59334.521627 -0.176360 
59334.559237 -0.173483 
59334.596847 -0.170598 
59334.634457 -0.167704 
59334.672067 -0.164802 
59334.709677 -0.161893 
59334.747288 -0.158976 
59334.784898 -0.156052 
59334.822508 -0.153120 
59334.860118 -0.150182 
59334.897728 -0.147238 
59334.935338 -0.144287 
59334.972949 -0.141330 
59335.010559 -0.138368 
59335.048169 -0.135400 
59335.085779 -0.132426 
59335.123389 -0.129448 
59335.160999 -0.126465 
59335.198609 -0.123477 
59335.236220 -0.120485 
59335.273830 -0.117488 
59335.311440 -0.114488 
59335.349050 -0.111485 
59335.386660 -0.108478 
59335.424270 -0.105467 
59335.461881 -0.102454 
59335.499491 -0.099438 
59335.537101 -0.096419 
59335.574711 -0.093398 
59335.612321 -0.090375 
59335.649931 -0.087350 
59335.687541 -0.084324 
59335.725152 -0.081295 
59335.762762 -0.078266 
59335.800372 -0.075236 
59335.837982 -0.072204 
59335.875592 -0.069172 
59335.913202 -0.066140 
59335.950813 -0.063107 
59335.988423 -0.060074 
59336.026033 -0.057041 
59336.063643 -0.054009 
59336.101253 -0.050977 
59336.138863 -0.047946 
59336.176473 -0.044915 
59336.214084 -0.041886 
59336.251694 -0.038858 
59336.289304 -0.035831 
59336.326914 -0.032805 
59336.364524 -0.029782 
59336.402134 -0.026760 
59336.439745 -0.023741 
59336.477355 -0.020723 
59336.514965 -0.017708 
59336.552575 -0.014696 
59336.590185 -0.011686 
59336.627795 -0.008679 
59336.665406 -0.005676 
59336.703016 -0.002675 
59336.740626 0.000322 
59336.778236 0.003316 
59336.815846 0.006306 
59336.853456 0.009292 
59336.891066 0.012274 
59336.928677 0.015253 
59336.966287 0.018227 
59337.003897 0.021196 
59337.041507 0.024162 
59337.079117 0.027122 
59337.116727 0.030078 
59337.154338 0.033029 
59337.191948 0.035975 
59337.229558 0.038915 
59337.267168 0.041851 
59337.304778 0.044781 
59337.342388 0.047705 
59337.379998 0.050624 
59337.417609 0.053537 
59337.455219 0.056444 
59337.492829 0.059345 
59337.530439 0.062240 
59337.568049 0.065129 
59337.605659 0.068012 
59337.643270 0.070887 
59337.680880 0.073757 
59337.718490 0.076619 
59337.756100 0.079475 
59337.793710 0.082324 
59337.831320 0.085166 
59337.868930 0.088001 
59337.906541 0.090828 
59337.944151 0.093649 
59337.981761 0.096461 
59338.019371 0.099267 
59338.056981 0.102064 
59338.094591 0.104854 
59338.132202 0.107636 
59338.169812 0.110411 
59338.207422 0.113177 
59338.245032 0.115935 
59338.282642 0.118685 
59338.320252 0.121427 
59338.357863 0.124160 
59338.395473 0.126885 
59338.433083 0.129601 
59338.470693 0.132308 
59338.508303 0.135007 
59338.545913 0.137697 
59338.583523 0.140379 
59338.621134 0.143051 
59338.658744 0.145714 
59338.696354 0.148368 
59338.733964 0.151013 
59338.771574 0.153648 
59338.809184 0.156274 
59338.846795 0.158890 
59338.884405 0.161497 
59338.922015 0.164094 
59338.959625 0.166682 
59338.997235 0.169260 
59339.034845 0.171827 
59339.072455 0.174385 
59339.110066 0.176933 
59339.147676 0.179470 
59339.185286 0.181998 
59339.222896 0.184515 
59339.260506 0.187021 
59339.298116 0.189518 
59339.335727 0.192003 
59339.373337 0.194478 
59339.410947 0.196942 
59339.448557 0.199396 
59339.486167 0.201838 
59339.523777 0.204270 
59339.561387 0.206691 
59339.598998 0.209100 
59339.636608 0.211498 
59339.674218 0.213885 
59339.711828 0.216261 
59339.749438 0.218625 
59339.787048 0.220978 
59339.824659 0.223319 
59339.862269 0.225648 
59339.899879 0.227966 
59339.937489 0.230271 
59339.975099 0.232565 
59340.012709 0.234847 
59340.050320 0.237116 
59340.087930 0.239373 
59340.125540 0.241619 
59340.163150 0.243851 
59340.200760 0.246071 
59340.238370 0.248279 
59340.275980 0.250474 
59340.313591 0.252656 
59340.351201 0.254825 
59340.388811 0.256982 
59340.426421 0.259125 
59340.464031 0.261256 
59340.501641 0.263373 
59340.539252 0.265477 
59340.576862 0.267567 
59340.614472 0.269644 
59340.652082 0.271707 
59340.689692 0.273757 
59340.727302 0.275793 
59340.764912 0.277815 
59340.802523 0.279823 
59340.840133 0.281816 
59340.877743 0.283796 
59340.915353 0.285762 
59340.952963 0.287713 
59340.990573 0.289649 
59341.028184 0.291571 
59341.065794 0.293478 
59341.103404 0.295370 
59341.141014 0.297248 
59341.178624 0.299110 
59341.216234 0.300958 
59341.253844 0.302790 
59341.291455 0.304606 
59341.329065 0.306407 
59341.366675 0.308193 
59341.404285 0.309963 
59341.441895 0.311717 
59341.479505 0.313455 
59341.517116 0.315177 
59341.554726 0.316883 
59341.592336 0.318572 
59341.629946 0.320245 
59341.667556 0.321902 
59341.705166 0.323542 
59341.742777 0.325165 
59341.780387 0.326771 
59341.817997 0.328360 
59341.855607 0.329932 
59341.893217 0.331487 
59341.930827 0.333024 
59341.968437 0.334544 
59342.006048 0.336046 
59342.043658 0.337531 
59342.081268 0.338997 
59342.118878 0.340445 
59342.156488 0.341876 
59342.194098 0.343287 
59342.231709 0.344681 
59342.269319 0.346056 
59342.306929 0.347412 
59342.344539 0.348749 
59342.382149 0.350067 
59342.419759 0.351366 
59342.457369 0.352646 
59342.494980 0.353907 
59342.532590 0.355148 
59342.570200 0.356369 
59342.607810 0.357570 
59342.645420 0.358752 
59342.683030 0.359913 
59342.720641 0.361054 
59342.758251 0.362175 
59342.795861 0.363275 
59342.833471 0.364355 
59342.871081 0.365414 
59342.908691 0.366451 
59342.946301 0.367468 
59342.983912 0.368464 
59343.021522 0.369438 
59343.059132 0.370391 
59343.096742 0.371322 
59343.134352 0.372231 
59343.171962 0.373118 
59343.209573 0.373984 
59343.247183 0.374827 
59343.284793 0.375647 
59343.322403 0.376445 
59343.360013 0.377221 
59343.397623 0.377974 
59343.435234 0.378703 
59343.472844 0.379410 
59343.510454 0.380093 
59343.548064 0.380754 
59343.585674 0.381390 
59343.623284 0.382003 
59343.660894 0.382592 
59343.698505 0.383158 
59343.736115 0.383699 
59343.773725 0.384216 
59343.811335 0.384709 
59343.848945 0.385177 
59343.886555 0.385621 
59343.924166 0.386040 
59343.961776 0.386434 
59343.999386 0.386803 
59344.036996 0.387147 
59344.074606 0.387465 
59344.112216 0.387758 
59344.149826 0.388026 
59344.187437 0.388268 
59344.225047 0.388484 
59344.262657 0.388675 
59344.300267 0.388839 
59344.337877 0.388977 
59344.375487 0.389089 
59344.413098 0.389174 
59344.450708 0.389233 
59344.488318 0.389265 
59344.525928 0.389271 
59344.563538 0.389249 
59344.601148 0.389201 
59344.638758 0.389125 
59344.676369 0.389023 
59344.713979 0.388892 
59344.751589 0.388735 
59344.789199 0.388550 
59344.826809 0.388337 
59344.864419 0.388096 
59344.902030 0.387828 
59344.939640 0.387532 
59344.977250 0.387207 
59345.014860 0.386855 
59345.052470 0.386474 
59345.090080 0.386065 
59345.127691 0.385627 
59345.165301 0.385161 
59345.202911 0.384666 
59345.240521 0.384143 
59345.278131 0.383591 
59345.315741 0.383010 
59345.353351 0.382400 
59345.390962 0.381761 
59345.428572 0.381094 
59345.466182 0.380397 
59345.503792 0.379670 
59345.541402 0.378915 
59345.579012 0.378130 
59345.616623 0.377316 
59345.654233 0.376473 
59345.691843 0.375600 
59345.729453 0.374698 
59345.767063 0.373766 
59345.804673 0.372804 
59345.842283 0.371813 
59345.879894 0.370792 
59345.917504 0.369741 
59345.955114 0.368661 
59345.992724 0.367551 
59346.030334 0.366411 
59346.067944 0.365241 
59346.105555 0.364042 
59346.143165 0.362812 
59346.180775 0.361553 
59346.218385 0.360264 
59346.255995 0.358945 
59346.293605 0.357596 
59346.331215 0.356218 
59346.368826 0.354809 
59346.406436 0.353371 
59346.444046 0.351903 
59346.481656 0.350405 
59346.519266 0.348877 
59346.556876 0.347320 
59346.594487 0.345732 
59346.632097 0.344115 
59346.669707 0.342469 
59346.707317 0.340792 
59346.744927 0.339087 
59346.782537 0.337351 
59346.820148 0.335586 
59346.857758 0.333792 
59346.895368 0.331968 
59346.932978 0.330115 
59346.970588 0.328233 
59347.008198 0.326321 
59347.045808 0.324380 
59347.083419 0.322411 
59347.121029 0.320412 
59347.158639 0.318385 
59347.196249 0.316328 
59347.233859 0.314243 
59347.271469 0.312130 
59347.309080 0.309987 
59347.346690 0.307817 
59347.384300 0.305618 
59347.421910 0.303391 
59347.459520 0.301136 
59347.497130 0.298853 
59347.534740 0.296543 
