# time model 
59318.650141 -2.086135 
59318.687751 -1.879844 
59318.725361 -1.655743 
59318.762971 -1.417661 
59318.800582 -1.169560 
59318.838192 -0.915381 
59318.875802 -0.658897 
59318.913412 -0.403600 
59318.951022 -0.152619 
59318.988632 0.091331 
59319.026243 0.325970 
59319.063853 0.549447 
59319.101463 0.760321 
59319.139073 0.957520 
59319.176683 1.140303 
59319.214293 1.308211 
59319.251903 1.461023 
59319.289514 1.598709 
59319.327124 1.721395 
59319.364734 1.829324 
59319.402344 1.922828 
59319.439954 2.002301 
59319.477564 2.068180 
59319.515175 2.120925 
59319.552785 2.161009 
59319.590395 2.188904 
59319.628005 2.205076 
59319.665615 2.209976 
59319.703225 2.204039 
59319.740836 2.187679 
59319.778446 2.161286 
59319.816056 2.125230 
59319.853666 2.079856 
59319.891276 2.025487 
59319.928886 1.962424 
59319.966496 1.890949 
59320.004107 1.811325 
59320.041717 1.723797 
59320.079327 1.628600 
59320.116937 1.525955 
59320.154547 1.416074 
59320.192157 1.299166 
59320.229768 1.175439 
59320.267378 1.045103 
59320.304988 0.908375 
59320.342598 0.765487 
59320.380208 0.616687 
59320.417818 0.462253 
59320.455428 0.302491 
59320.493039 0.137751 
59320.530649 -0.031565 
59320.568259 -0.204995 
59320.605869 -0.382005 
59320.643479 -0.561970 
59320.681089 -0.744170 
59320.718700 -0.927766 
59320.756310 -1.111789 
59320.793920 -1.295126 
59320.831530 -1.476500 
59320.869140 -1.654460 
59320.906750 -1.827368 
59320.944360 -1.993400 
59320.981971 -2.150537 
59321.019581 -2.296587 
59321.057191 -2.429199 
59321.094801 -2.545907 
59321.132411 -2.644181 
59321.170021 -2.721506 
59321.207632 -2.775468 
59321.245242 -2.803866 
59321.282852 -2.804834 
59321.320462 -2.776957 
59321.358072 -2.719392 
59321.395682 -2.631965 
59321.433293 -2.515232 
59321.470903 -2.370509 
59321.508513 -2.199844 
59321.546123 -2.005950 
59321.583733 -1.792088 
59321.621343 -1.561921 
59321.658953 -1.319351 
59321.696564 -1.068351 
59321.734174 -0.812811 
59321.771784 -0.556402 
59321.809394 -0.302479 
59321.847004 -0.054010 
59321.884614 0.186463 
59321.922225 0.416834 
59321.959835 0.635419 
59321.997445 0.840929 
59322.035055 1.032431 
59322.072665 1.209302 
59322.110275 1.371183 
59322.147885 1.517936 
59322.185496 1.649596 
59322.223106 1.766342 
59322.260716 1.868454 
59322.298326 1.956293 
59322.335936 2.030272 
59322.373546 2.090838 
59322.411157 2.138460 
59322.448767 2.173609 
59322.486377 2.196758 
59322.523987 2.208365 
59322.561597 2.208878 
59322.599207 2.198721 
59322.636817 2.178299 
59322.674428 2.147997 
59322.712038 2.108171 
59322.749648 2.059160 
59322.787258 2.001277 
59322.824868 1.934815 
59322.862478 1.860048 
59322.900089 1.777232 
59322.937699 1.686608 
59322.975309 1.588404 
59323.012919 1.482837 
59323.050529 1.370120 
59323.088139 1.250458 
59323.125750 1.124060 
59323.163360 0.991139 
59323.200970 0.851917 
59323.238580 0.706632 
59323.276190 0.555543 
59323.313800 0.398937 
59323.351410 0.237139 
59323.389021 0.070516 
59323.426631 -0.100506 
59323.464241 -0.275437 
59323.501851 -0.453709 
59323.539461 -0.634662 
59323.577071 -0.817528 
59323.614682 -1.001419 
59323.652292 -1.185310 
59323.689902 -1.368024 
59323.727512 -1.548216 
59323.765122 -1.724361 
59323.802732 -1.894748 
59323.840342 -2.057472 
59323.877953 -2.210445 
59323.915563 -2.351407 
59323.953173 -2.477955 
59323.990783 -2.587590 
59324.028393 -2.677779 
59324.066003 -2.746034 
59324.103614 -2.790014 
59324.141224 -2.807637 
59324.178834 -2.797201 
59324.216444 -2.757509 
59324.254054 -2.687974 
59324.291664 -2.588709 
59324.329274 -2.460575 
59324.366885 -2.305184 
59324.404495 -2.124864 
59324.442105 -1.922562 
59324.479715 -1.701718 
59324.517325 -1.466111 
59324.554935 -1.219693 
59324.592546 -0.966418 
59324.630156 -0.710105 
59324.667766 -0.454309 
59324.705376 -0.202236 
59324.742986 0.043313 
59324.780596 0.279972 
59324.818207 0.505806 
59324.855817 0.719292 
59324.893427 0.919290 
59324.931037 1.104995 
59324.968647 1.275897 
59325.006257 1.431730 
59325.043867 1.572430 
59325.081478 1.698094 
59325.119088 1.808944 
59325.156698 1.905298 
59325.194308 1.987538 
59325.231918 2.056094 
59325.269528 2.111423 
59325.307139 2.153997 
59325.344749 2.184287 
59325.382359 2.202763 
59325.419969 2.209878 
59325.457579 2.206070 
59325.495189 2.191758 
59325.532799 2.167338 
59325.570410 2.133182 
59325.608020 2.089642 
59325.645630 2.037043 
59325.683240 1.975693 
59325.720850 1.905875 
59325.758460 1.827857 
59325.796071 1.741889 
