# time model 
59329.481866 -0.632586 
59329.519476 -0.624427 
59329.557086 -0.616428 
59329.594696 -0.608593 
59329.632306 -0.600930 
59329.669917 -0.593445 
59329.707527 -0.586144 
59329.745137 -0.579034 
59329.782747 -0.572120 
59329.820357 -0.565409 
59329.857967 -0.558907 
59329.895578 -0.552619 
59329.933188 -0.546552 
59329.970798 -0.540711 
59330.008408 -0.535102 
59330.046018 -0.529730 
59330.083628 -0.524602 
59330.121238 -0.519722 
59330.158849 -0.515097 
59330.196459 -0.510730 
59330.234069 -0.506627 
59330.271679 -0.502793 
59330.309289 -0.499233 
59330.346899 -0.495952 
59330.384510 -0.492955 
59330.422120 -0.490244 
59330.459730 -0.487826 
59330.497340 -0.485705 
59330.534950 -0.483883 
59330.572560 -0.482366 
59330.610170 -0.481157 
59330.647781 -0.480260 
59330.685391 -0.479677 
59330.723001 -0.479413 
59330.760611 -0.479471 
59330.798221 -0.479853 
59330.835831 -0.480562 
59330.873442 -0.481601 
59330.911052 -0.482973 
59330.948662 -0.484679 
59330.986272 -0.486722 
59331.023882 -0.489104 
59331.061492 -0.491827 
59331.099102 -0.494891 
59331.136713 -0.498299 
59331.174323 -0.502052 
59331.211933 -0.506150 
59331.249543 -0.510595 
59331.287153 -0.515387 
59331.324763 -0.520527 
59331.362374 -0.526014 
59331.399984 -0.531850 
59331.437594 -0.538033 
59331.475204 -0.544564 
59331.512814 -0.551442 
59331.550424 -0.558666 
59331.588035 -0.566236 
59331.625645 -0.574150 
59331.663255 -0.582407 
59331.700865 -0.591005 
59331.738475 -0.599943 
59331.776085 -0.609219 
59331.813695 -0.618831 
59331.851306 -0.628776 
59331.888916 -0.639053 
59331.926526 -0.649658 
59331.964136 -0.660588 
59332.001746 -0.671841 
59332.039356 -0.683414 
59332.076967 -0.695302 
59332.114577 -0.707503 
59332.152187 -0.720012 
59332.189797 -0.732825 
59332.227407 -0.745939 
59332.265017 -0.759350 
59332.302627 -0.773051 
59332.340238 -0.787040 
59332.377848 -0.801311 
59332.415458 -0.815859 
59332.453068 -0.830679 
59332.490678 -0.845765 
59332.528288 -0.861113 
59332.565899 -0.876716 
59332.603509 -0.892568 
59332.641119 -0.908664 
59332.678729 -0.924998 
59332.716339 -0.941563 
59332.753949 -0.958353 
59332.791559 -0.975361 
59332.829170 -0.992581 
59332.866780 -1.010006 
59332.904390 -1.027629 
59332.942000 -1.045443 
59332.979610 -1.063441 
59333.017220 -1.081615 
59333.054831 -1.099958 
59333.092441 -1.118463 
59333.130051 -1.137122 
59333.167661 -1.155928 
59333.205271 -1.174872 
59333.242881 -1.193947 
59333.280492 -1.213145 
59333.318102 -1.232458 
59333.355712 -1.251878 
59333.393322 -1.271396 
59333.430932 -1.291004 
59333.468542 -1.310694 
59333.506152 -1.330459 
59333.543763 -1.350288 
59333.581373 -1.370175 
59333.618983 -1.390110 
59333.656593 -1.410085 
59333.694203 -1.430091 
59333.731813 -1.450120 
59333.769424 -1.470164 
59333.807034 -1.490213 
59333.844644 -1.510259 
59333.882254 -1.530294 
59333.919864 -1.550308 
59333.957474 -1.570294 
59333.995084 -1.590243 
59334.032695 -1.610146 
59334.070305 -1.629994 
59334.107915 -1.649780 
59334.145525 -1.669494 
59334.183135 -1.689128 
59334.220745 -1.708674 
59334.258356 -1.728123 
59334.295966 -1.747468 
59334.333576 -1.766699 
59334.371186 -1.785809 
59334.408796 -1.804790 
59334.446406 -1.823633 
59334.484016 -1.842330 
59334.521627 -1.860874 
59334.559237 -1.879257 
59334.596847 -1.897471 
59334.634457 -1.915508 
59334.672067 -1.933361 
59334.709677 -1.951023 
59334.747288 -1.968485 
59334.784898 -1.985742 
59334.822508 -2.002786 
59334.860118 -2.019609 
59334.897728 -2.036206 
59334.935338 -2.052569 
59334.972949 -2.068691 
59335.010559 -2.084567 
59335.048169 -2.100190 
59335.085779 -2.115553 
59335.123389 -2.130651 
59335.160999 -2.145478 
59335.198609 -2.160029 
59335.236220 -2.174296 
59335.273830 -2.188276 
59335.311440 -2.201963 
59335.349050 -2.215352 
59335.386660 -2.228438 
59335.424270 -2.241215 
59335.461881 -2.253681 
59335.499491 -2.265829 
59335.537101 -2.277657 
59335.574711 -2.289159 
59335.612321 -2.300333 
59335.649931 -2.311174 
59335.687541 -2.321679 
59335.725152 -2.331844 
59335.762762 -2.341667 
59335.800372 -2.351145 
59335.837982 -2.360275 
59335.875592 -2.369053 
59335.913202 -2.377479 
59335.950813 -2.385550 
59335.988423 -2.393263 
59336.026033 -2.400618 
59336.063643 -2.407612 
59336.101253 -2.414245 
59336.138863 -2.420515 
59336.176473 -2.426420 
59336.214084 -2.431962 
59336.251694 -2.437138 
59336.289304 -2.441948 
59336.326914 -2.446393 
59336.364524 -2.450472 
59336.402134 -2.454186 
59336.439745 -2.457535 
59336.477355 -2.460519 
59336.514965 -2.463140 
59336.552575 -2.465399 
59336.590185 -2.467297 
59336.627795 -2.468834 
59336.665406 -2.470014 
59336.703016 -2.470837 
59336.740626 -2.471306 
59336.778236 -2.471422 
59336.815846 -2.471189 
59336.853456 -2.470608 
59336.891066 -2.469683 
59336.928677 -2.468417 
59336.966287 -2.466811 
59337.003897 -2.464871 
59337.041507 -2.462598 
59337.079117 -2.459998 
59337.116727 -2.457073 
59337.154338 -2.453827 
59337.191948 -2.450266 
59337.229558 -2.446392 
59337.267168 -2.442210 
59337.304778 -2.437725 
59337.342388 -2.432942 
59337.379998 -2.427866 
59337.417609 -2.422501 
59337.455219 -2.416853 
59337.492829 -2.410927 
59337.530439 -2.404728 
59337.568049 -2.398263 
59337.605659 -2.391536 
59337.643270 -2.384554 
59337.680880 -2.377322 
59337.718490 -2.369847 
59337.756100 -2.362135 
59337.793710 -2.354192 
59337.831320 -2.346024 
59337.868930 -2.337638 
59337.906541 -2.329041 
59337.944151 -2.320238 
59337.981761 -2.311238 
59338.019371 -2.302047 
59338.056981 -2.292671 
59338.094591 -2.283118 
59338.132202 -2.273395 
59338.169812 -2.263508 
59338.207422 -2.253466 
59338.245032 -2.243275 
