# time model 
59318.650141 -2.193289 
59318.687751 -1.957317 
59318.725361 -1.697181 
59318.762971 -1.420079 
59318.800582 -1.132977 
59318.838192 -0.842235 
59318.875802 -0.553360 
59318.913412 -0.270897 
59318.951022 0.001585 
59318.988632 0.261422 
59319.026243 0.506750 
59319.063853 0.736373 
59319.101463 0.949635 
59319.139073 1.146302 
59319.176683 1.326453 
59319.214293 1.490393 
59319.251903 1.638587 
59319.289514 1.771596 
59319.327124 1.890042 
59319.364734 1.994571 
59319.402344 2.085831 
59319.439954 2.164456 
59319.477564 2.231054 
59319.515175 2.286200 
59319.552785 2.330431 
59319.590395 2.364241 
59319.628005 2.388084 
59319.665615 2.402373 
59319.703225 2.407480 
59319.740836 2.403735 
59319.778446 2.391431 
59319.816056 2.370826 
59319.853666 2.342142 
59319.891276 2.305565 
59319.928886 2.261255 
59319.966496 2.209337 
59320.004107 2.149910 
59320.041717 2.083047 
59320.079327 2.008793 
59320.116937 1.927169 
59320.154547 1.838176 
59320.192157 1.741791 
59320.229768 1.637974 
59320.267378 1.526664 
59320.304988 1.407789 
59320.342598 1.281261 
59320.380208 1.146985 
59320.417818 1.004859 
59320.455428 0.854783 
59320.493039 0.696663 
59320.530649 0.530422 
59320.568259 0.356007 
59320.605869 0.173406 
59320.643479 -0.017336 
59320.681089 -0.216096 
59320.718700 -0.422649 
59320.756310 -0.636630 
59320.793920 -0.857502 
59320.831530 -1.084502 
59320.869140 -1.316594 
59320.906750 -1.552402 
59320.944360 -1.790143 
59320.981971 -2.027560 
59321.019581 -2.261854 
59321.057191 -2.489629 
59321.094801 -2.706870 
59321.132411 -2.908964 
59321.170021 -3.090778 
59321.207632 -3.246835 
59321.245242 -3.371576 
59321.282852 -3.459728 
59321.320462 -3.506737 
59321.358072 -3.509238 
59321.395682 -3.465469 
59321.433293 -3.375569 
59321.470903 -3.241680 
59321.508513 -3.067819 
59321.546123 -2.859544 
59321.583733 -2.623469 
59321.621343 -2.366709 
59321.658953 -2.096356 
59321.696564 -1.819046 
59321.734174 -1.540652 
59321.771784 -1.266121 
59321.809394 -0.999419 
59321.847004 -0.743570 
59321.884614 -0.500749 
59321.922225 -0.272405 
59321.959835 -0.059391 
59321.997445 0.137909 
59322.035055 0.319468 
59322.072665 0.485524 
59322.110275 0.636496 
59322.147885 0.772928 
59322.185496 0.895435 
59322.223106 1.004670 
59322.260716 1.101297 
59322.298326 1.185971 
59322.335936 1.259323 
59322.373546 1.321951 
59322.411157 1.374417 
59322.448767 1.417242 
59322.486377 1.450902 
59322.523987 1.475830 
59322.561597 1.492419 
59322.599207 1.501016 
59322.636817 1.501929 
59322.674428 1.495429 
59322.712038 1.481747 
59322.749648 1.461081 
59322.787258 1.433592 
59322.824868 1.399411 
59322.862478 1.358638 
59322.900089 1.311343 
59322.937699 1.257570 
59322.975309 1.197335 
59323.012919 1.130629 
59323.050529 1.057421 
59323.088139 0.977656 
59323.125750 0.891263 
59323.163360 0.798149 
59323.200970 0.698208 
59323.238580 0.591322 
59323.276190 0.477363 
59323.313800 0.356200 
59323.351410 0.227707 
59323.389021 0.091766 
59323.426631 -0.051722 
59323.464241 -0.202821 
59323.501851 -0.361550 
59323.539461 -0.527859 
59323.577071 -0.701607 
59323.614682 -0.882535 
59323.652292 -1.070224 
59323.689902 -1.264058 
59323.727512 -1.463167 
59323.765122 -1.666375 
59323.802732 -1.872129 
59323.840342 -2.078430 
59323.877953 -2.282767 
59323.915563 -2.482056 
59323.953173 -2.672599 
59323.990783 -2.850084 
59324.028393 -3.009634 
59324.066003 -3.145942 
59324.103614 -3.253490 
59324.141224 -3.326874 
59324.178834 -3.361213 
59324.216444 -3.352607 
59324.254054 -3.298590 
59324.291664 -3.198484 
59324.329274 -3.053597 
59324.366885 -2.867197 
59324.404495 -2.644259 
59324.442105 -2.391044 
59324.479715 -2.114556 
59324.517325 -1.821999 
59324.554935 -1.520295 
59324.592546 -1.215721 
59324.630156 -0.913682 
59324.667766 -0.618613 
59324.705376 -0.333979 
59324.742986 -0.062350 
59324.780596 0.194486 
59324.818207 0.435398 
59324.855817 0.659777 
59324.893427 0.867423 
59324.931037 1.058437 
59324.968647 1.233139 
59325.006257 1.392000 
59325.043867 1.535581 
59325.081478 1.664501 
59325.119088 1.779399 
59325.156698 1.880915 
59325.194308 1.969674 
59325.231918 2.046273 
59325.269528 2.111274 
59325.307139 2.165205 
59325.344749 2.208548 
59325.382359 2.241747 
59325.419969 2.265204 
59325.457579 2.279280 
59325.495189 2.284298 
59325.532799 2.280541 
59325.570410 2.268258 
59325.608020 2.247663 
59325.645630 2.218937 
59325.683240 2.182230 
59325.720850 2.137665 
59325.758460 2.085332 
59325.796071 2.025300 
59325.833681 1.957609 
59325.871291 1.882278 
59325.908901 1.799303 
59325.946511 1.708659 
59325.984121 1.610302 
59326.021731 1.504172 
59326.059342 1.390194 
59326.096952 1.268281 
59326.134562 1.138337 
59326.172172 1.000264 
59326.209782 0.853963 
59326.247392 0.699345 
59326.285003 0.536337 
59326.322613 0.364895 
59326.360223 0.185016 
59326.397833 -0.003244 
59326.435443 -0.199745 
59326.473053 -0.404243 
59326.510664 -0.616349 
59326.548274 -0.835495 
59326.585884 -1.060884 
59326.623494 -1.291435 
59326.661104 -1.525720 
59326.698714 -1.761897 
59326.736324 -1.997638 
59326.773935 -2.230066 
59326.811545 -2.455705 
59326.849155 -2.670457 
59326.886765 -2.869631 
59326.924375 -3.048034 
59326.961985 -3.200153 
59326.999596 -3.320436 
59327.037206 -3.403661 
59327.074816 -3.445387 
59327.112426 -3.442412 
59327.150036 -3.393184 
59327.187646 -3.298075 
59327.225256 -3.159454 
59327.262867 -2.981538 
59327.300477 -2.770031 
59327.338087 -2.531627 
59327.375697 -2.273455 
59327.413307 -2.002562 
59327.450917 -1.725492 
59327.488528 -1.448005 
59327.526138 -1.174915 
59327.563748 -0.910062 
59327.601358 -0.656349 
59327.638968 -0.415845 
59327.676578 -0.189910 
59327.714188 0.020678 
59327.751799 0.215595 
59327.789409 0.394862 
59327.827019 0.558753 
59327.864629 0.707716 
59327.902239 0.842316 
59327.939849 0.963185 
59327.977460 1.070991 
59328.015070 1.166406 
59328.052680 1.250093 
59328.090290 1.322689 
59328.127900 1.384799 
59328.165510 1.436990 
59328.203121 1.479785 
59328.240731 1.513665 
59328.278341 1.539069 
59328.315951 1.556389 
59328.353561 1.565979 
59328.391171 1.568150 
59328.428781 1.563175 
59328.466392 1.551290 
59328.504002 1.532693 
59328.541612 1.507552 
59328.579222 1.475998 
59328.616832 1.438136 
59328.654442 1.394037 
59328.692053 1.343747 
59328.729663 1.287285 
59328.767273 1.224645 
59328.804883 1.155795 
59328.842493 1.080686 
59328.880103 0.999243 
59328.917713 0.911379 
59328.955324 0.816986 
59328.992934 0.715949 
59329.030544 0.608140 
59329.068154 0.493432 
59329.105764 0.371698 
59329.143374 0.242822 
59329.180985 0.106712 
59329.218595 -0.036695 
59329.256205 -0.187409 
59329.293815 -0.345373 
59329.331425 -0.510436 
59329.369035 -0.682322 
59329.406645 -0.860594 
59329.444256 -1.044611 
59329.481866 -1.233474 
59329.519476 -1.425967 
59329.557086 -1.620493 
59329.594696 -1.814999 
59329.632306 -2.006913 
59329.669917 -2.193084 
59329.707527 -2.369745 
59329.745137 -2.532518 
59329.782747 -2.676474 
59329.820357 -2.796274 
59329.857967 -2.886404 
59329.895578 -2.941507 
59329.933188 -2.956806 
59329.970798 -2.928564 
59330.008408 -2.854524 
59330.046018 -2.734255 
59330.083628 -2.569318 
59330.121238 -2.363219 
59330.158849 -2.121127 
59330.196459 -1.849435 
59330.234069 -1.555212 
59330.271679 -1.245664 
59330.309289 -0.927666 
59330.346899 -0.607412 
59330.384510 -0.290207 
59330.422120 0.019621 
59330.459730 0.318704 
59330.497340 0.604558 
59330.534950 0.875470 
59330.572560 1.130359 
59330.610170 1.368659 
59330.647781 1.590194 
59330.685391 1.795081 
59330.723001 1.983644 
59330.760611 2.156350 
59330.798221 2.313754 
59330.835831 2.456461 
59330.873442 2.585095 
59330.911052 2.700276 
59330.948662 2.802609 
59330.986272 2.892670 
59331.023882 2.971000 
59331.061492 3.038104 
59331.099102 3.094441 
59331.136713 3.140433 
59331.174323 3.176460 
59331.211933 3.202860 
59331.249543 3.219932 
59331.287153 3.227941 
59331.324763 3.227112 
59331.362374 3.217638 
59331.399984 3.199680 
59331.437594 3.173368 
59331.475204 3.138802 
59331.512814 3.096055 
59331.550424 3.045176 
59331.588035 2.986186 
59331.625645 2.919085 
59331.663255 2.843851 
59331.700865 2.760441 
59331.738475 2.668796 
59331.776085 2.568837 
59331.813695 2.460475 
59331.851306 2.343606 
59331.888916 2.218123 
59331.926526 2.083911 
59331.964136 1.940862 
59332.001746 1.788875 
59332.039356 1.627868 
59332.076967 1.457790 
59332.114577 1.278634 
59332.152187 1.090455 
59332.189797 0.893392 
59332.227407 0.687698 
59332.265017 0.473771 
59332.302627 0.252197 
59332.340238 0.023796 
59332.377848 -0.210319 
59332.415458 -0.448680 
59332.453068 -0.689395 
59332.490678 -0.930078 
59332.528288 -1.167786 
59332.565899 -1.398972 
59332.603509 -1.619468 
59332.641119 -1.824515 
59332.678729 -2.008875 
59332.716339 -2.167013 
59332.753949 -2.293396 
59332.791559 -2.382873 
59332.829170 -2.431127 
59332.866780 -2.435138 
59332.904390 -2.393572 
59332.942000 -2.307040 
59332.979610 -2.178149 
59333.017220 -2.011311 
59333.054831 -1.812377 
59333.092441 -1.588115 
59333.130051 -1.345667 
59333.167661 -1.092029 
59333.205271 -0.833658 
59333.242881 -0.576194 
59333.280492 -0.324325 
59333.318102 -0.081764 
59333.355712 0.148704 
59333.393322 0.365113 
59333.430932 0.566194 
59333.468542 0.751241 
59333.506152 0.919991 
59333.543763 1.072513 
59333.581373 1.209120 
59333.618983 1.330294 
59333.656593 1.436623 
59333.694203 1.528762 
59333.731813 1.607397 
59333.769424 1.673217 
59333.807034 1.726899 
59333.844644 1.769096 
59333.882254 1.800426 
59333.919864 1.821471 
59333.957474 1.832767 
59333.995084 1.834812 
59334.032695 1.828058 
59334.070305 1.812914 
59334.107915 1.789750 
59334.145525 1.758895 
59334.183135 1.720638 
59334.220745 1.675233 
59334.258356 1.622898 
59334.295966 1.563819 
59334.333576 1.498148 
59334.371186 1.426008 
59334.408796 1.347493 
59334.446406 1.262669 
59334.484016 1.171575 
59334.521627 1.074228 
59334.559237 0.970619 
59334.596847 0.860719 
59334.634457 0.744479 
59334.672067 0.621831 
59334.709677 0.492695 
59334.747288 0.356978 
59334.784898 0.214577 
59334.822508 0.065390 
59334.860118 -0.090683 
59334.897728 -0.253729 
59334.935338 -0.423816 
59334.972949 -0.600972 
59335.010559 -0.785178 
59335.048169 -0.976340 
59335.085779 -1.174269 
59335.123389 -1.378647 
59335.160999 -1.588990 
59335.198609 -1.804606 
59335.236220 -2.024534 
59335.273830 -2.247494 
59335.311440 -2.471812 
59335.349050 -2.695353 
59335.386660 -2.915455 
59335.424270 -3.128871 
59335.461881 -3.331737 
59335.499491 -3.519580 
59335.537101 -3.687392 
59335.574711 -3.829776 
59335.612321 -3.941197 
59335.649931 -4.016327 
59335.687541 -4.050468 
59335.725152 -4.040022 
59335.762762 -3.982921 
59335.800372 -3.878953 
59335.837982 -3.729904 
59335.875592 -3.539484 
59335.913202 -3.313021 
59335.950813 -3.057004 
59335.988423 -2.778532 
59336.026033 -2.484780 
59336.063643 -2.182541 
59336.101253 -1.877897 
59336.138863 -1.576024 
59336.176473 -1.281120 
59336.214084 -0.996429 
59336.251694 -0.724323 
59336.289304 -0.466425 
59336.326914 -0.223734 
59336.364524 0.003244 
59336.402134 0.214381 
59336.439745 0.409830 
59336.477355 0.589942 
59336.514965 0.755202 
59336.552575 0.906179 
59336.590185 1.043483 
59336.627795 1.167744 
59336.665406 1.279582 
59336.703016 1.379601 
59336.740626 1.468374 
59336.778236 1.546438 
59336.815846 1.614289 
59336.853456 1.672384 
59336.891066 1.721136 
59336.928677 1.760916 
59336.966287 1.792055 
59337.003897 1.814842 
59337.041507 1.829532 
59337.079117 1.836341 
59337.116727 1.835450 
59337.154338 1.827010 
59337.191948 1.811138 
59337.229558 1.787923 
59337.267168 1.757425 
59337.304778 1.719678 
59337.342388 1.674691 
59337.379998 1.622450 
59337.417609 1.562917 
59337.455219 1.496036 
59337.492829 1.421729 
59337.530439 1.339904 
59337.568049 1.250453 
59337.605659 1.153260 
59337.643270 1.048196 
59337.680880 0.935135 
59337.718490 0.813948 
59337.756100 0.684521 
59337.793710 0.546757 
59337.831320 0.400590 
59337.868930 0.246000 
59337.906541 0.083033 
59337.944151 -0.088181 
59337.981761 -0.267392 
59338.019371 -0.454204 
59338.056981 -0.648025 
59338.094591 -0.848025 
59338.132202 -1.053074 
59338.169812 -1.261676 
59338.207422 -1.471907 
59338.245032 -1.681340 
59338.282642 -1.886983 
59338.320252 -2.085237 
59338.357863 -2.271882 
59338.395473 -2.442119 
59338.433083 -2.590684 
59338.470693 -2.712050 
59338.508303 -2.800732 
59338.545913 -2.851681 
59338.583523 -2.860737 
59338.621134 -2.825090 
59338.658744 -2.743658 
59338.696354 -2.617321 
59338.733964 -2.448943 
59338.771574 -2.243160 
59338.809184 -2.005988 
59338.846795 -1.744295 
59338.884405 -1.465253 
59338.922015 -1.175840 
59338.959625 -0.882447 
59338.997235 -0.590629 
59339.034845 -0.304980 
59339.072455 -0.029119 
59339.110066 0.234250 
59339.147676 0.483230 
59339.185286 0.716601 
59339.222896 0.933696 
59339.260506 1.134273 
59339.298116 1.318414 
59339.335727 1.486433 
59339.373337 1.638804 
59339.410947 1.776104 
59339.448557 1.898973 
59339.486167 2.008076 
59339.523777 2.104080 
59339.561387 2.187640 
59339.598998 2.259384 
59339.636608 2.319906 
59339.674218 2.369763 
59339.711828 2.409469 
59339.749438 2.439495 
59339.787048 2.460272 
59339.824659 2.472185 
59339.862269 2.475583 
59339.899879 2.470771 
59339.937489 2.458019 
59339.975099 2.437561 
59340.012709 2.409596 
59340.050320 2.374289 
59340.087930 2.331776 
59340.125540 2.282161 
59340.163150 2.225523 
59340.200760 2.161911 
59340.238370 2.091350 
59340.275980 2.013841 
59340.313591 1.929363 
59340.351201 1.837872 
59340.388811 1.739309 
59340.426421 1.633594 
59340.464031 1.520636 
59340.501641 1.400332 
59340.539252 1.272573 
59340.576862 1.137250 
59340.614472 0.994255 
59340.652082 0.843499 
59340.689692 0.684914 
59340.727302 0.518469 
59340.764912 0.344190 
59340.802523 0.162175 
59340.840133 -0.027375 
59340.877743 -0.224126 
59340.915353 -0.427573 
59340.952963 -0.636995 
59340.990573 -0.851399 
59341.028184 -1.069457 
59341.065794 -1.289445 
59341.103404 -1.509166 
59341.141014 -1.725887 
59341.178624 -1.936285 
59341.216234 -2.136419 
59341.253844 -2.321742 
59341.291455 -2.487185 
59341.329065 -2.627315 
59341.366675 -2.736597 
59341.404285 -2.809749 
59341.441895 -2.842179 
59341.479505 -2.830444 
59341.517116 -2.772680 
59341.554726 -2.668908 
59341.592336 -2.521150 
59341.629946 -2.333322 
59341.667556 -2.110914 
59341.705166 -1.860507 
59341.742777 -1.589229 
59341.780387 -1.304220 
59341.817997 -1.012193 
59341.855607 -0.719115 
59341.893217 -0.430035 
59341.930827 -0.149021 
59341.968437 0.120807 
59342.006048 0.377186 
59342.043658 0.618590 
59342.081268 0.844097 
59342.118878 1.053266 
59342.156488 1.246023 
59342.194098 1.422562 
59342.231709 1.583268 
59342.269319 1.728652 
59342.306929 1.859304 
59342.344539 1.975855 
59342.382149 2.078947 
59342.419759 2.169216 
59342.457369 2.247277 
59342.494980 2.313715 
59342.532590 2.369077 
59342.570200 2.413872 
59342.607810 2.448567 
59342.645420 2.473586 
59342.683030 2.489312 
59342.720641 2.496087 
59342.758251 2.494213 
59342.795861 2.483956 
59342.833471 2.465545 
59342.871081 2.439176 
59342.908691 2.405010 
59342.946301 2.363178 
59342.983912 2.313784 
59343.021522 2.256901 
59343.059132 2.192578 
59343.096742 2.120837 
59343.134352 2.041679 
59343.171962 1.955080 
59343.209573 1.860998 
59343.247183 1.759373 
59343.284793 1.650125 
59343.322403 1.533164 
59343.360013 1.408386 
59343.397623 1.275683 
59343.435234 1.134942 
59343.472844 0.986053 
59343.510454 0.828920 
59343.548064 0.663466 
59343.585674 0.489645 
59343.623284 0.307460 
59343.660894 0.116983 
59343.698505 -0.081627 
59343.736115 -0.288091 
59343.773725 -0.501973 
59343.811335 -0.722643 
59343.848945 -0.949220 
59343.886555 -1.180518 
59343.924166 -1.414981 
59343.961776 -1.650611 
59343.999386 -1.884901 
59344.036996 -2.114774 
59344.074606 -2.336541 
59344.112216 -2.545895 
59344.149826 -2.737959 
59344.187437 -2.907413 
59344.225047 -3.048703 
59344.262657 -3.156362 
59344.300267 -3.225411 
59344.337877 -3.251820 
59344.375487 -3.232958 
59344.413098 -3.167962 
59344.450708 -3.057945 
59344.488318 -2.905990 
59344.525928 -2.716917 
59344.563538 -2.496862 
59344.601148 -2.252752 
59344.638758 -1.991749 
59344.676369 -1.720769 
59344.713979 -1.446104 
59344.751589 -1.173188 
59344.789199 -0.906487 
59344.826809 -0.649496 
59344.864419 -0.404809 
59344.902030 -0.174227 
59344.939640 0.041112 
59344.977250 0.240605 
59345.014860 0.424060 
59345.052470 0.591598 
59345.090080 0.743560 
59345.127691 0.880441 
59345.165301 1.002833 
59345.202911 1.111383 
59345.240521 1.206762 
59345.278131 1.289640 
59345.315741 1.360671 
59345.353351 1.420484 
59345.390962 1.469670 
59345.428572 1.508783 
59345.466182 1.538332 
59345.503792 1.558787 
59345.541402 1.570571 
59345.579012 1.574068 
59345.616623 1.569620 
59345.654233 1.557528 
59345.691843 1.538057 
59345.729453 1.511435 
59345.767063 1.477855 
59345.804673 1.437479 
59345.842283 1.390436 
59345.879894 1.336823 
59345.917504 1.276715 
59345.955114 1.210153 
59345.992724 1.137156 
59346.030334 1.057719 
59346.067944 0.971814 
59346.105555 0.879390 
59346.143165 0.780381 
59346.180775 0.674702 
59346.218385 0.562252 
59346.255995 0.442924 
59346.293605 0.316602 
59346.331215 0.183169 
59346.368826 0.042515 
59346.406436 -0.105457 
59346.444046 -0.260817 
59346.481656 -0.423596 
59346.519266 -0.593770 
59346.556876 -0.771237 
59346.594487 -0.955790 
59346.632097 -1.147086 
59346.669707 -1.344604 
59346.707317 -1.547602 
59346.744927 -1.755058 
59346.782537 -1.965611 
59346.820148 -2.177491 
59346.857758 -2.388450 
59346.895368 -2.595696 
59346.932978 -2.795841 
59346.970588 -2.984879 
59347.008198 -3.158205 
59347.045808 -3.310706 
59347.083419 -3.436931 
59347.121029 -3.531367 
59347.158639 -3.588802 
59347.196249 -3.604768 
59347.233859 -3.576007 
59347.271469 -3.500881 
59347.309080 -3.379663 
59347.346690 -3.214627 
59347.384300 -3.009914 
59347.421910 -2.771184 
59347.459520 -2.505128 
59347.497130 -2.218914 
59347.534740 -1.919663 
59347.572351 -1.614023 
59347.609961 -1.307869 
59347.647571 -1.006143 
59347.685181 -0.712806 
59347.722791 -0.430883 
59347.760401 -0.162550 
59347.798012 0.090733 
59347.835622 0.328100 
59347.873232 0.549148 
59347.910842 0.753827 
59347.948452 0.942347 
59347.986062 1.115100 
59348.023672 1.272599 
59348.061283 1.415428 
59348.098893 1.544209 
59348.136503 1.659574 
59348.174113 1.762146 
59348.211723 1.852526 
59348.249333 1.931284 
59348.286944 1.998953 
59348.324554 2.056025 
59348.362164 2.102953 
59348.399774 2.140145 
59348.437384 2.167970 
59348.474994 2.186756 
59348.512605 2.196791 
59348.550215 2.198327 
59348.587825 2.191581 
59348.625435 2.176734 
59348.663045 2.153938 
59348.700655 2.123312 
59348.738265 2.084947 
59348.775876 2.038906 
59348.813486 1.985229 
59348.851096 1.923927 
59348.888706 1.854992 
59348.926316 1.778391 
