# time model 
59330.452438 -1.618750 
59330.505369 -1.600779 
59330.558301 -1.582763 
59330.611233 -1.564705 
59330.664165 -1.546604 
59330.717097 -1.528461 
59330.770029 -1.510278 
59330.822960 -1.492056 
59330.875892 -1.473796 
59330.928824 -1.455498 
59330.981756 -1.437164 
59331.034688 -1.418794 
59331.087620 -1.400390 
59331.140551 -1.381952 
59331.193483 -1.363481 
59331.246415 -1.344979 
59331.299347 -1.326446 
59331.352279 -1.307883 
59331.405211 -1.289291 
59331.458142 -1.270671 
59331.511074 -1.252024 
59331.564006 -1.233350 
59331.616938 -1.214651 
59331.669870 -1.195928 
59331.722802 -1.177180 
59331.775733 -1.158410 
59331.828665 -1.139618 
59331.881597 -1.120805 
59331.934529 -1.101971 
59331.987461 -1.083118 
59332.040393 -1.064246 
59332.093324 -1.045357 
59332.146256 -1.026450 
59332.199188 -1.007527 
59332.252120 -0.988589 
59332.305052 -0.969636 
59332.357984 -0.950670 
59332.410915 -0.931690 
59332.463847 -0.912698 
59332.516779 -0.893695 
59332.569711 -0.874680 
59332.622643 -0.855656 
59332.675575 -0.836623 
59332.728506 -0.817581 
59332.781438 -0.798532 
59332.834370 -0.779476 
59332.887302 -0.760413 
59332.940234 -0.741345 
59332.993166 -0.722273 
59333.046097 -0.703196 
59333.099029 -0.684117 
59333.151961 -0.665035 
59333.204893 -0.645951 
59333.257825 -0.626866 
59333.310756 -0.607781 
59333.363688 -0.588696 
59333.416620 -0.569612 
59333.469552 -0.550530 
59333.522484 -0.531451 
59333.575416 -0.512376 
59333.628347 -0.493304 
59333.681279 -0.474237 
59333.734211 -0.455175 
59333.787143 -0.436120 
59333.840075 -0.417072 
59333.893007 -0.398031 
59333.945938 -0.378999 
59333.998870 -0.359976 
59334.051802 -0.340962 
59334.104734 -0.321959 
59334.157666 -0.302968 
59334.210598 -0.283988 
59334.263529 -0.265021 
59334.316461 -0.246068 
59334.369393 -0.227129 
59334.422325 -0.208204 
59334.475257 -0.189296 
59334.528189 -0.170404 
59334.581120 -0.151529 
59334.634052 -0.132671 
59334.686984 -0.113833 
59334.739916 -0.095014 
59334.792848 -0.076215 
59334.845780 -0.057437 
59334.898711 -0.038681 
59334.951643 -0.019947 
59335.004575 -0.001237 
59335.057507 0.017449 
59335.110439 0.036111 
59335.163371 0.054747 
59335.216302 0.073356 
59335.269234 0.091939 
59335.322166 0.110493 
59335.375098 0.129018 
59335.428030 0.147514 
59335.480962 0.165979 
59335.533893 0.184413 
59335.586825 0.202814 
59335.639757 0.221183 
59335.692689 0.239518 
59335.745621 0.257818 
59335.798553 0.276082 
59335.851484 0.294310 
59335.904416 0.312501 
59335.957348 0.330653 
59336.010280 0.348767 
59336.063212 0.366840 
59336.116144 0.384873 
59336.169075 0.402864 
59336.222007 0.420812 
59336.274939 0.438716 
59336.327871 0.456576 
59336.380803 0.474390 
59336.433735 0.492158 
59336.486666 0.509879 
59336.539598 0.527551 
59336.592530 0.545174 
59336.645462 0.562747 
59336.698394 0.580268 
59336.751326 0.597737 
59336.804257 0.615154 
59336.857189 0.632516 
59336.910121 0.649822 
59336.963053 0.667073 
59337.015985 0.684266 
59337.068917 0.701402 
59337.121848 0.718478 
59337.174780 0.735494 
59337.227712 0.752448 
59337.280644 0.769341 
59337.333576 0.786170 
59337.386508 0.802934 
59337.439439 0.819633 
59337.492371 0.836266 
59337.545303 0.852831 
59337.598235 0.869328 
59337.651167 0.885755 
59337.704098 0.902111 
59337.757030 0.918396 
59337.809962 0.934608 
59337.862894 0.950745 
59337.915826 0.966808 
59337.968758 0.982795 
59338.021689 0.998704 
59338.074621 1.014536 
59338.127553 1.030288 
59338.180485 1.045959 
59338.233417 1.061549 
59338.286349 1.077056 
59338.339280 1.092480 
59338.392212 1.107819 
59338.445144 1.123072 
59338.498076 1.138238 
59338.551008 1.153317 
59338.603940 1.168306 
59338.656871 1.183204 
59338.709803 1.198012 
59338.762735 1.212727 
59338.815667 1.227349 
59338.868599 1.241876 
59338.921531 1.256308 
59338.974462 1.270643 
59339.027394 1.284880 
59339.080326 1.299019 
59339.133258 1.313058 
59339.186190 1.326996 
59339.239122 1.340832 
59339.292053 1.354565 
59339.344985 1.368195 
59339.397917 1.381719 
59339.450849 1.395137 
59339.503781 1.408449 
59339.556713 1.421652 
59339.609644 1.434747 
59339.662576 1.447732 
59339.715508 1.460605 
59339.768440 1.473367 
59339.821372 1.486016 
59339.874304 1.498552 
59339.927235 1.510973 
59339.980167 1.523278 
59340.033099 1.535467 
59340.086031 1.547538 
59340.138963 1.559491 
59340.191895 1.571326 
59340.244826 1.583040 
59340.297758 1.594633 
59340.350690 1.606105 
59340.403622 1.617455 
59340.456554 1.628682 
59340.509486 1.639784 
59340.562417 1.650762 
59340.615349 1.661615 
59340.668281 1.672341 
59340.721213 1.682941 
59340.774145 1.693413 
59340.827077 1.703757 
59340.880008 1.713972 
59340.932940 1.724058 
59340.985872 1.734014 
59341.038804 1.743839 
59341.091736 1.753533 
59341.144668 1.763095 
59341.197599 1.772525 
59341.250531 1.781823 
59341.303463 1.790987 
59341.356395 1.800017 
59341.409327 1.808914 
59341.462259 1.817676 
59341.515190 1.826303 
59341.568122 1.834795 
59341.621054 1.843151 
59341.673986 1.851371 
59341.726918 1.859456 
59341.779850 1.867404 
59341.832781 1.875215 
59341.885713 1.882889 
59341.938645 1.890427 
59341.991577 1.897827 
59342.044509 1.905090 
59342.097441 1.912216 
59342.150372 1.919204 
59342.203304 1.926055 
59342.256236 1.932768 
59342.309168 1.939343 
59342.362100 1.945782 
59342.415031 1.952083 
59342.467963 1.958246 
59342.520895 1.964272 
59342.573827 1.970162 
59342.626759 1.975915 
59342.679691 1.981531 
59342.732622 1.987010 
59342.785554 1.992354 
59342.838486 1.997562 
59342.891418 2.002634 
59342.944350 2.007572 
59342.997282 2.012375 
59343.050213 2.017043 
59343.103145 2.021578 
59343.156077 2.025980 
59343.209009 2.030249 
59343.261941 2.034386 
59343.314873 2.038391 
59343.367804 2.042266 
59343.420736 2.046010 
59343.473668 2.049625 
59343.526600 2.053110 
59343.579532 2.056468 
59343.632464 2.059698 
59343.685395 2.062801 
59343.738327 2.065779 
59343.791259 2.068632 
59343.844191 2.071361 
59343.897123 2.073967 
59343.950055 2.076451 
59344.002986 2.078814 
59344.055918 2.081057 
59344.108850 2.083181 
59344.161782 2.085187 
59344.214714 2.087076 
59344.267646 2.088850 
59344.320577 2.090509 
59344.373509 2.092055 
59344.426441 2.093488 
59344.479373 2.094812 
59344.532305 2.096025 
59344.585237 2.097131 
59344.638168 2.098129 
59344.691100 2.099023 
59344.744032 2.099812 
59344.796964 2.100499 
59344.849896 2.101085 
59344.902828 2.101571 
59344.955759 2.101959 
59345.008691 2.102250 
59345.061623 2.102447 
59345.114555 2.102550 
59345.167487 2.102561 
59345.220419 2.102482 
59345.273350 2.102315 
59345.326282 2.102061 
59345.379214 2.101722 
59345.432146 2.101300 
59345.485078 2.100797 
59345.538010 2.100213 
59345.590941 2.099552 
59345.643873 2.098815 
59345.696805 2.098003 
59345.749737 2.097119 
59345.802669 2.096165 
59345.855601 2.095142 
59345.908532 2.094053 
59345.961464 2.092899 
59346.014396 2.091683 
59346.067328 2.090405 
59346.120260 2.089070 
59346.173192 2.087677 
59346.226123 2.086230 
59346.279055 2.084731 
59346.331987 2.083181 
59346.384919 2.081583 
59346.437851 2.079939 
59346.490783 2.078251 
59346.543714 2.076520 
59346.596646 2.074750 
59346.649578 2.072942 
59346.702510 2.071099 
59346.755442 2.069223 
59346.808373 2.067315 
59346.861305 2.065379 
59346.914237 2.063415 
59346.967169 2.061428 
59347.020101 2.059418 
59347.073033 2.057388 
59347.125964 2.055340 
59347.178896 2.053277 
59347.231828 2.051200 
59347.284760 2.049113 
59347.337692 2.047016 
59347.390624 2.044914 
59347.443555 2.042807 
59347.496487 2.040698 
59347.549419 2.038589 
59347.602351 2.036483 
59347.655283 2.034382 
59347.708215 2.032288 
59347.761146 2.030203 
59347.814078 2.028130 
59347.867010 2.026071 
59347.919942 2.024028 
59347.972874 2.022003 
59348.025806 2.019999 
59348.078737 2.018018 
59348.131669 2.016063 
59348.184601 2.014134 
59348.237533 2.012236 
59348.290465 2.010369 
59348.343397 2.008536 
59348.396328 2.006740 
59348.449260 2.004982 
59348.502192 2.003265 
59348.555124 2.001591 
59348.608056 1.999961 
59348.660988 1.998379 
59348.713919 1.996847 
59348.766851 1.995365 
59348.819783 1.993938 
59348.872715 1.992566 
59348.925647 1.991251 
59348.978579 1.989997 
59349.031510 1.988804 
59349.084442 1.987676 
59349.137374 1.986613 
59349.190306 1.985618 
59349.243238 1.984694 
59349.296170 1.983841 
59349.349101 1.983062 
59349.402033 1.982359 
59349.454965 1.981733 
59349.507897 1.981187 
59349.560829 1.980723 
59349.613761 1.980342 
59349.666692 1.980046 
59349.719624 1.979837 
59349.772556 1.979717 
59349.825488 1.979687 
59349.878420 1.979749 
59349.931352 1.979905 
59349.984283 1.980157 
59350.037215 1.980506 
59350.090147 1.980955 
59350.143079 1.981503 
59350.196011 1.982154 
59350.248943 1.982908 
59350.301874 1.983767 
59350.354806 1.984734 
59350.407738 1.985808 
59350.460670 1.986992 
59350.513602 1.988286 
59350.566534 1.989694 
59350.619465 1.991215 
59350.672397 1.992851 
59350.725329 1.994603 
59350.778261 1.996473 
59350.831193 1.998462 
59350.884125 2.000571 
59350.937056 2.002802 
59350.989988 2.005154 
59351.042920 2.007631 
59351.095852 2.010232 
59351.148784 2.012959 
59351.201715 2.015812 
59351.254647 2.018793 
59351.307579 2.021903 
59351.360511 2.025142 
59351.413443 2.028512 
59351.466375 2.032014 
59351.519306 2.035647 
59351.572238 2.039414 
59351.625170 2.043314 
59351.678102 2.047349 
59351.731034 2.051519 
59351.783966 2.055826 
59351.836897 2.060268 
59351.889829 2.064848 
59351.942761 2.069566 
59351.995693 2.074421 
59352.048625 2.079416 
59352.101557 2.084550 
59352.154488 2.089824 
59352.207420 2.095237 
59352.260352 2.100792 
59352.313284 2.106487 
59352.366216 2.112323 
59352.419148 2.118301 
59352.472079 2.124421 
59352.525011 2.130682 
59352.577943 2.137086 
59352.630875 2.143632 
59352.683807 2.150321 
59352.736739 2.157152 
59352.789670 2.164126 
59352.842602 2.171242 
59352.895534 2.178501 
59352.948466 2.185903 
59353.001398 2.193447 
59353.054330 2.201134 
59353.107261 2.208963 
59353.160193 2.216935 
59353.213125 2.225049 
59353.266057 2.233304 
59353.318989 2.241701 
59353.371921 2.250240 
59353.424852 2.258920 
59353.477784 2.267740 
59353.530716 2.276701 
59353.583648 2.285803 
59353.636580 2.295043 
59353.689512 2.304424 
59353.742443 2.313943 
59353.795375 2.323600 
59353.848307 2.333396 
59353.901239 2.343329 
59353.954171 2.353398 
59354.007103 2.363604 
59354.060034 2.373946 
59354.112966 2.384423 
59354.165898 2.395034 
59354.218830 2.405779 
59354.271762 2.416657 
59354.324694 2.427667 
59354.377625 2.438809 
59354.430557 2.450082 
59354.483489 2.461486 
59354.536421 2.473018 
59354.589353 2.484679 
59354.642285 2.496468 
59354.695216 2.508384 
59354.748148 2.520426 
59354.801080 2.532593 
59354.854012 2.544884 
59354.906944 2.557298 
59354.959876 2.569835 
59355.012807 2.582493 
59355.065739 2.595272 
59355.118671 2.608170 
59355.171603 2.621187 
59355.224535 2.634322 
59355.277467 2.647572 
59355.330398 2.660938 
59355.383330 2.674419 
59355.436262 2.688013 
59355.489194 2.701719 
59355.542126 2.715537 
59355.595058 2.729464 
59355.647989 2.743500 
59355.700921 2.757645 
59355.753853 2.771896 
59355.806785 2.786252 
59355.859717 2.800713 
59355.912648 2.815277 
59355.965580 2.829944 
59356.018512 2.844711 
59356.071444 2.859578 
59356.124376 2.874544 
59356.177308 2.889607 
59356.230239 2.904766 
59356.283171 2.920020 
59356.336103 2.935368 
59356.389035 2.950809 
59356.441967 2.966341 
59356.494899 2.981963 
59356.547830 2.997674 
59356.600762 3.013473 
59356.653694 3.029358 
59356.706626 3.045328 
59356.759558 3.061383 
59356.812490 3.077520 
59356.865421 3.093738 
59356.918353 3.110037 
59356.971285 3.126416 
59357.024217 3.142871 
59357.077149 3.159404 
59357.130081 3.176012 
59357.183012 3.192694 
59357.235944 3.209448 
59357.288876 3.226275 
59357.341808 3.243172 
59357.394740 3.260138 
59357.447672 3.277172 
59357.500603 3.294273 
59357.553535 3.311439 
59357.606467 3.328670 
59357.659399 3.345963 
59357.712331 3.363319 
59357.765263 3.380735 
59357.818194 3.398211 
59357.871126 3.415745 
59357.924058 3.433337 
59357.976990 3.450984 
59358.029922 3.468686 
59358.082854 3.486441 
59358.135785 3.504249 
59358.188717 3.522109 
59358.241649 3.540018 
59358.294581 3.557976 
59358.347513 3.575982 
59358.400445 3.594035 
59358.453376 3.612134 
59358.506308 3.630276 
59358.559240 3.648462 
59358.612172 3.666691 
59358.665104 3.684960 
59358.718036 3.703270 
59358.770967 3.721618 
59358.823899 3.740004 
59358.876831 3.758427 
59358.929763 3.776886 
59358.982695 3.795380 
59359.035627 3.813907 
59359.088558 3.832467 
59359.141490 3.851058 
59359.194422 3.869680 
59359.247354 3.888332 
59359.300286 3.907012 
59359.353218 3.925719 
59359.406149 3.944454 
59359.459081 3.963213 
59359.512013 3.981998 
59359.564945 4.000806 
59359.617877 4.019637 
59359.670809 4.038489 
59359.723740 4.057363 
59359.776672 4.076256 
59359.829604 4.095168 
59359.882536 4.114098 
59359.935468 4.133046 
59359.988400 4.152010 
59360.041331 4.170989 
59360.094263 4.189982 
59360.147195 4.208989 
59360.200127 4.228009 
59360.253059 4.247041 
59360.305990 4.266084 
59360.358922 4.285137 
59360.411854 4.304199 
59360.464786 4.323270 
59360.517718 4.342348 
59360.570650 4.361434 
59360.623581 4.380525 
59360.676513 4.399622 
59360.729445 4.418723 
59360.782377 4.437828 
59360.835309 4.456935 
59360.888241 4.476045 
59360.941172 4.495156 
59360.994104 4.514267 
59361.047036 4.533378 
59361.099968 4.552488 
59361.152900 4.571597 
59361.205832 4.590702 
59361.258763 4.609805 
59361.311695 4.628903 
59361.364627 4.647997 
59361.417559 4.667085 
59361.470491 4.686167 
59361.523423 4.705242 
59361.576354 4.724309 
59361.629286 4.743367 
59361.682218 4.762417 
59361.735150 4.781456 
59361.788082 4.800485 
59361.841014 4.819503 
59361.893945 4.838508 
59361.946877 4.857501 
59361.999809 4.876480 
59362.052741 4.895445 
59362.105673 4.914395 
59362.158605 4.933329 
59362.211536 4.952247 
59362.264468 4.971148 
59362.317400 4.990032 
59362.370332 5.008896 
59362.423264 5.027742 
59362.476196 5.046567 
59362.529127 5.065372 
59362.582059 5.084156 
59362.634991 5.102917 
59362.687923 5.121656 
59362.740855 5.140371 
59362.793787 -0.000000 
