# time model 
2449300.559923 1.726111 
2449302.241974 1.750522 
2449303.924026 0.778050 
2449305.606078 -1.072922 
2449307.288129 -3.045065 
2449308.970181 -4.134802 
2449310.652233 -3.871336 
2449312.334284 -2.492382 
2449314.016336 -0.598932 
2449315.698388 1.116377 
2449317.380439 2.004744 
2449319.062491 1.701671 
2449320.744543 0.515932 
2449322.426594 -0.583143 
2449324.108646 -0.738400 
2449325.790698 0.181423 
2449327.472749 1.726879 
2449329.154801 3.216176 
2449330.836853 3.923180 
2449332.518904 3.264923 
2449334.200956 1.203509 
2449335.883008 -1.415320 
2449337.565059 -3.326411 
2449339.247111 -3.815028 
2449340.929163 -3.006055 
2449342.611215 -1.498828 
2449344.293266 -0.029392 
2449345.975318 0.709677 
2449347.657370 0.328269 
2449349.339421 -0.871482 
2449351.021473 -1.922212 
2449352.703525 -1.972831 
2449354.385576 -0.890908 
2449356.067628 0.892423 
2449357.749680 2.728990 
2449359.431731 3.931524 
2449361.113783 3.935283 
2449362.795835 2.646647 
2449364.477886 0.726039 
2449366.159938 -0.835283 
2449367.841990 -1.501794 
2449369.524041 -1.330014 
2449371.206093 -0.658968 
2449372.888145 0.030763 
2449374.570196 0.170456 
2449376.252248 -0.617352 
2449377.934300 -2.060622 
2449379.616352 -3.232239 
2449381.298403 -3.323284 
2449382.980455 -2.232505 
2449384.662507 -0.404475 
2449386.344558 1.513801 
2449388.026610 2.848555 
2449389.708662 3.063758 
2449391.390713 2.112171 
2449393.072765 0.703592 
2449394.754817 -0.159301 
2449396.436868 -0.020120 
2449398.118920 0.859057 
2449399.800972 1.864256 
2449401.483023 2.347608 
2449403.165075 1.820170 
2449404.847127 0.176024 
2449406.529178 -2.044128 
2449408.211230 -3.786250 
2449409.893282 -4.245716 
2449411.575333 -3.375889 
2449413.257385 -1.672748 
2449414.939437 0.181978 
2449416.621488 1.495656 
2449418.303540 1.729216 
2449419.985592 0.849389 
2449421.667644 -0.410151 
2449423.349695 -1.025098 
2449425.031747 -0.516088 
2449426.713799 0.884294 
2449428.395850 2.572698 
2449430.077902 3.833769 
2449431.759954 3.983964 
2449433.442005 2.653597 
2449435.124057 0.229578 
2449436.806109 -2.151071 
2449438.488160 -3.429197 
2449440.170212 -3.314050 
2449441.852264 -2.185685 
2449443.534315 -0.722577 
2449445.216367 0.340279 
2449446.898419 0.422804 
2449448.580470 -0.530138 
2449450.262522 -1.793531 
2449451.944574 -2.353538 
2449453.626625 -1.740344 
2449455.308677 -0.182298 
2449456.990729 1.738461 
2449458.672781 3.341407 
2449460.354832 3.983541 
2449462.036884 3.316969 
2449463.718936 1.674241 
2449465.400987 0.000271 
2449467.083039 -0.926948 
2449468.765091 -0.994617 
2449470.447142 -0.510037 
2449472.129194 0.110777 
2449473.811246 0.389092 
2449475.493297 -0.129021 
2449477.175349 -1.482641 
2449478.857401 -2.979120 
2449480.539452 -3.653392 
2449482.221504 -3.081149 
2449483.903556 -1.518796 
2449485.585607 0.440951 
2449487.267659 2.119929 
2449488.949711 2.890408 
2449490.631762 2.436991 
2449492.313814 1.140274 
2449493.995866 -0.011955 
2449495.677917 -0.237627 
2449497.359969 0.497266 
2449499.042021 1.682989 
2449500.724073 2.630403 
2449502.406124 2.695269 
2449504.088176 1.507075 
2449505.770228 -0.697759 
2449507.452279 -2.960588 
2449509.134331 -4.198465 
