# time model 
2449300.559923 -0.548678 
2449313.101259 -0.575025 
2449325.642595 -0.600961 
2449338.183931 -0.626518 
2449350.725267 -0.651714 
2449363.266603 -0.676552 
2449375.807939 -0.701016 
2449388.349275 -0.725059 
2449400.890611 -0.748595 
2449413.431947 -0.771473 
2449425.973283 -0.793444 
2449438.514619 -0.814105 
2449451.055955 -0.832790 
2449463.597291 -0.848380 
2449476.138627 -0.858913 
2449488.679963 -0.860756 
2449501.221299 -0.846647 
2449513.762635 -0.800354 
2449526.303971 -0.679086 
2449538.845307 -0.335534 
2449551.386643 1.029437 
2449563.927979 4.908137 
2449576.469315 3.179989 
2449589.010651 2.169354 
2449601.551987 1.625842 
2449614.093323 1.278472 
2449626.634659 1.031543 
2449639.175995 0.843556 
2449651.717331 0.693500 
2449664.258667 0.569512 
2449676.800003 0.464336 
2449689.341339 0.373253 
2449701.882675 0.293049 
2449714.424011 0.221447 
2449726.965347 0.156782 
2449739.506684 0.097804 
2449752.048020 0.043553 
2449764.589356 -0.006721 
2449777.130692 -0.053618 
2449789.672028 -0.097619 
2449802.213364 -0.139120 
2449814.754700 -0.178447 
2449827.296036 -0.215874 
2449839.837372 -0.251632 
2449852.378708 -0.285916 
2449864.920044 -0.318895 
2449877.461380 -0.350714 
2449890.002716 -0.381502 
2449902.544052 -0.411980 
2449915.085388 -0.441076 
2449927.626724 -0.469486 
2449940.168060 -0.497281 
2449952.709396 -0.524527 
2449965.250732 -0.551278 
2449977.792068 -0.577583 
2449990.333404 -0.603481 
2450002.874740 -0.629002 
2450015.416076 -0.654162 
2450027.957412 -0.678965 
2450040.498748 -0.703390 
2450053.040084 -0.727389 
2450065.581420 -0.750868 
2450078.122756 -0.773670 
2450090.664092 -0.795534 
2450103.205428 -0.816036 
2450115.746764 -0.834477 
2450128.288100 -0.849677 
2450140.829436 -0.859557 
2450153.370772 -0.860246 
2450165.912109 -0.843927 
2450178.453445 -0.792905 
2450190.994781 -0.659553 
2450203.536117 -0.274116 
2450216.077453 1.332651 
2450228.618789 4.829745 
2450241.160125 3.044294 
2450253.701461 2.102329 
2450266.242797 1.585410 
2450278.784133 1.250768 
2450291.325469 1.010971 
2450303.866805 0.827425 
2450316.408141 0.680349 
2450328.949477 0.558472 
2450341.490813 0.454853 
2450354.032149 0.364960 
2450366.573485 0.285687 
2450379.114821 0.214830 
2450391.656157 0.150772 
2450404.197493 0.092295 
2450416.738829 0.038464 
2450429.280165 -0.011455 
2450441.821501 -0.058048 
2450454.362837 -0.101788 
2450466.904173 -0.143063 
2450479.445509 -0.182193 
2450491.986845 -0.219447 
2450504.528181 -0.255052 
2450517.069517 -0.289202 
2450529.610853 -0.322061 
2450542.152189 -0.353774 
2450554.693525 -0.384467 
2450567.234861 -0.414862 
2450579.776197 -0.443888 
2450592.317534 -0.472234 
2450604.858870 -0.499973 
2450617.400206 -0.527168 
2450629.941542 -0.553873 
2450642.482878 -0.580137 
2450655.024214 -0.605997 
2450667.565550 -0.631482 
2450680.106886 -0.656607 
2450692.648222 -0.681374 
2450705.189558 -0.705760 
2450717.730894 -0.729713 
2450730.272230 -0.753134 
2450742.813566 -0.775858 
2450755.354902 -0.797610 
2450767.896238 -0.817947 
2450780.437574 -0.836134 
2450792.978910 -0.850924 
2450805.520246 -0.860116 
2450818.061582 -0.859579 
2450830.602918 -0.840894 
2450843.144254 -0.784733 
2450855.685590 -0.637956 
2450868.226926 -0.204030 
2450880.768262 1.693251 
2450893.309598 4.678563 
2450905.850934 2.918841 
2450918.392270 2.039026 
2450930.933606 1.546627 
2450943.474942 1.223941 
2450956.016278 0.990924 
2450968.557614 0.811638 
2450981.098950 0.667436 
2450993.640286 0.547604 
2451006.181622 0.445502 
2451018.722959 0.356768 
2451031.264295 0.278405 
2451043.805631 0.208278 
2451056.346967 0.144815 
2451068.888303 0.086831 
2451081.429639 0.033413 
2451093.970975 -0.016157 
2451106.512311 -0.062451 
2451119.053647 -0.105934 
2451131.594983 -0.146985 
2451144.136319 -0.185920 
2451156.677655 -0.223004 
2451169.218991 -0.258458 
2451181.760327 -0.292474 
2451194.301663 -0.325215 
2451206.842999 -0.356823 
2451219.384335 -0.388028 
2451231.925671 -0.417737 
2451244.467007 -0.446693 
2451257.008343 -0.474977 
2451269.549679 -0.502660 
2451282.091015 -0.529804 
2451294.632351 -0.556464 
2451307.173687 -0.582687 
2451319.715023 -0.608509 
2451332.256359 -0.633958 
2451344.797695 -0.659049 
2451357.339031 -0.683780 
2451369.880367 -0.708127 
2451382.421703 -0.732033 
2451394.963039 -0.755394 
2451407.504375 -0.778037 
2451420.045711 -0.799674 
2451432.587047 -0.819839 
2451445.128384 -0.837759 
2451457.669720 -0.852119 
2451470.211056 -0.860585 
2451482.752392 -0.858745 
2451495.293728 -0.837522 
2451507.835064 -0.775772 
2451520.376400 -0.614033 
2451532.917736 -0.123660 
2451545.459072 2.117446 
2451558.000408 4.489068 
2451570.541744 2.802682 
2451583.083080 1.979124 
2451595.624416 1.509386 
2451608.165752 1.197944 
2451620.707088 0.971381 
2451633.248424 0.796181 
2451645.789760 0.654754 
2451658.331096 0.536905 
2451670.872432 0.436277 
2451683.413768 0.348674 
2451695.955104 0.271202 
2451708.496440 0.201790 
2451721.037776 0.138910 
2451733.579112 0.081410 
2451746.120448 0.028398 
2451758.661784 -0.020828 
2451771.203120 -0.066828 
2451783.744456 -0.110056 
2451796.285792 -0.150887 
2451808.827128 -0.189630 
2451821.368464 -0.226545 
2451833.909800 -0.261851 
2451846.451136 -0.295735 
2451858.992472 -0.328359 
2451871.533809 -0.359862 
2451884.075145 -0.390974 
2451896.616481 -0.420605 
2451909.157817 -0.449492 
2451921.699153 -0.477713 
2451934.240489 -0.505341 
2451946.781825 -0.532436 
2451959.323161 -0.559051 
2451971.864497 -0.585233 
2451984.405833 -0.611018 
2451996.947169 -0.636431 
2452009.488505 -0.661487 
2452022.029841 -0.686182 
2452034.571177 -0.710489 
2452047.112513 -0.734347 
2452059.653849 -0.757647 
2452072.195185 -0.780206 
2452084.736521 -0.801724 
2452097.277857 -0.821709 
2452109.819193 -0.839350 
2452122.360529 -0.853259 
2452134.901865 -0.860958 
2452147.443201 -0.857733 
2452159.984537 -0.833785 
2452172.525873 -0.765943 
2452185.067209 -0.587478 
2452197.608545 -0.031012 
2452210.149881 2.605059 
2452222.691217 4.284702 
2452235.232553 2.694919 
2452247.773889 1.922340 
2452260.315225 1.473584 
2452272.856561 1.172735 
2452285.397897 0.952320 
2452297.939234 0.781043 
2452310.480570 0.642295 
2452323.021906 0.526369 
2452335.563242 0.427177 
2452348.104578 0.340678 
2452360.645914 0.264076 
2452373.187250 0.195364 
2452385.728586 0.133057 
2452398.269922 0.076032 
2452410.811258 0.023419 
2452423.352594 -0.025468 
2452435.893930 -0.071177 
2452448.435266 -0.114156 
2452460.976602 -0.154770 
2452473.517938 -0.193323 
2452486.059274 -0.230070 
2452498.600610 -0.265229 
2452511.141946 -0.298984 
2452523.683282 -0.331492 
2452536.224618 -0.362892 
2452548.765954 -0.393911 
2452561.307290 -0.423466 
2452573.848626 -0.452284 
2452586.389962 -0.480445 
2452598.931298 -0.508017 
2452611.472634 -0.535063 
2452624.013970 -0.561634 
2452636.555306 -0.587776 
2452649.096642 -0.613523 
2452661.637978 -0.638901 
2452674.179314 -0.663922 
2452686.720650 -0.688581 
2452699.261986 -0.712847 
2452711.803322 -0.736656 
2452724.344658 -0.759893 
2452736.885995 -0.782366 
2452749.427331 -0.803759 
2452761.968667 -0.823558 
2452774.510003 -0.840907 
2452787.051339 -0.854341 
2452799.592675 -0.861230 
2452812.134011 -0.856532 
2452824.675347 -0.829654 
2452837.216683 -0.755158 
2452849.758019 -0.557932 
2452862.299355 0.076388 
2452874.840691 3.142491 
2452887.382027 4.079687 
2452899.923363 2.594730 
2452912.464699 1.868419 
2452925.006035 1.439132 
2452937.547371 1.148272 
2452950.088707 0.933719 
2452962.630043 0.766212 
2452975.171379 0.630052 
2452987.712715 0.515993 
2453000.254051 0.418197 
2453012.795387 0.332776 
2453025.336723 0.257025 
2453037.878059 0.188999 
2453050.419395 0.127255 
2453062.960731 0.070697 
2453075.502067 0.018476 
2453088.043403 -0.030077 
2453100.584739 -0.075501 
2453113.126075 -0.118233 
2453125.667411 -0.158632 
2453138.208747 -0.196998 
2453150.750083 -0.233581 
2453163.291420 -0.268595 
2453175.832756 -0.302220 
2453188.374092 -0.334614 
2453200.915428 -0.365913 
2453213.456764 -0.396841 
2453225.998100 -0.426320 
2453238.539436 -0.455070 
2453251.080772 -0.483170 
2453263.622108 -0.510689 
2453276.163444 -0.537686 
2453288.704780 -0.564213 
2453301.246116 -0.590314 
2453313.787452 -0.616024 
2453326.328788 -0.641367 
2453338.870124 -0.666354 
2453351.411460 -0.690975 
2453363.952796 -0.715200 
2453376.494132 -0.738960 
2453389.035468 -0.762132 
2453401.576804 -0.784515 
2453414.118140 -0.805779 
2453426.659476 -0.825383 
2453439.200812 -0.842427 
2453451.742148 -0.855362 
2453464.283484 -0.861395 
2453476.824820 -0.855128 
2453489.366156 -0.825097 
2453501.907492 -0.743320 
2453514.448828 -0.524972 
2453526.990164 0.201618 
2453539.531500 3.694602 
2453552.072836 3.881865 
2453564.614172 2.501369 
2453577.155508 1.817133 
2453589.696845 1.405946 
2453602.238181 1.124518 
2453614.779517 0.915560 
2453627.320853 0.751677 
2453639.862189 0.618019 
2453652.403525 0.505771 
2453664.944861 0.409335 
2453677.486197 0.324965 
2453690.027533 0.250048 
2453702.568869 0.182694 
2453715.110205 0.121501 
2453727.651541 0.065403 
2453740.192877 0.013569 
2453752.734213 -0.034656 
2453765.275549 -0.079799 
2453777.816885 -0.122287 
2453790.358221 -0.162475 
2453802.899557 -0.200656 
2453815.440893 -0.237077 
2453827.982229 -0.271947 
2453840.523565 -0.305445 
2453853.064901 -0.337726 
2453865.606237 -0.368924 
2453878.147573 -0.399763 
2453890.688909 -0.429166 
2453903.230245 -0.457849 
2453915.771581 -0.485890 
2453928.312917 -0.513355 
2453940.854253 -0.540304 
2453953.395589 -0.566787 
2453965.936925 -0.592849 
2453978.478261 -0.618522 
2453991.019597 -0.643830 
2454003.560933 -0.668782 
2454016.102270 -0.693366 
2454028.643606 -0.717549 
2454041.184942 -0.741258 
2454053.726278 -0.764363 
2454066.267614 -0.786654 
2454078.808950 -0.807784 
2454091.350286 -0.827184 
2454103.891622 -0.843908 
2454116.432958 -0.856319 
2454128.974294 -0.861446 
2454141.515630 -0.853507 
2454154.056966 -0.820078 
2454166.598302 -0.730316 
2454179.139638 -0.488101 
2454191.680974 0.348509 
2454204.222310 4.202221 
2454216.763646 3.695075 
2454229.304982 2.414171 
2454241.846318 1.768279 
2454254.387654 1.373948 
2454266.928990 1.101439 
2454279.470326 0.897824 
2454292.011662 0.737428 
2454304.552998 0.606189 
2454317.094334 0.495699 
2454329.635670 0.400588 
2454342.177006 0.317245 
2454354.718342 0.243143 
2454367.259678 0.176448 
2454379.801014 0.115797 
2454392.342350 0.060149 
2454404.883686 0.008695 
2454417.425022 -0.039206 
2454429.966358 -0.084071 
2454442.507695 -0.126320 
2454455.049031 -0.166299 
2454467.590367 -0.204297 
2454480.131703 -0.240557 
2454492.673039 -0.275285 
2454505.214375 -0.308658 
2454517.755711 -0.340827 
2454530.297047 -0.371926 
2454542.838383 -0.402677 
2454555.379719 -0.432006 
2454567.921055 -0.460623 
2454580.462391 -0.488604 
2454593.003727 -0.516016 
2454605.545063 -0.542917 
2454618.086399 -0.569358 
2454630.627735 -0.595380 
2454643.169071 -0.621017 
2454655.710407 -0.646290 
2454668.251743 -0.671206 
2454680.793079 -0.695754 
2454693.334415 -0.719894 
2454705.875751 -0.743550 
2454718.417087 -0.766587 
2454730.958423 -0.788782 
2454743.499759 -0.809772 
2454756.041095 -0.828960 
2454768.582431 -0.845349 
2454781.123767 -0.857208 
2454793.665103 -0.861377 
2454806.206439 -0.851654 
2454818.747775 -0.814558 
2454831.289111 -0.716020 
2454843.830447 -0.446723 
2454856.371783 0.521820 
2454868.913120 4.619588 
2454881.454456 3.520807 
2454893.995792 2.332541 
2454906.537128 1.721673 
2454919.078464 1.343068 
2454931.619800 1.079003 
2454944.161136 0.880495 
2454956.702472 0.723454 
2454969.243808 0.594555 
2454981.785144 0.485773 
2454994.326480 0.391953 
2455006.867816 0.309614 
2455019.409152 0.236308 
2455031.950488 0.170260 
2455044.491824 0.110140 
2455057.033160 0.054936 
