# time model 
2449300.559923 -1.286065 
2449313.101259 -1.306037 
2449325.642595 -1.325526 
2449338.183931 -1.344524 
2449350.725267 -1.363022 
2449363.266603 -1.381009 
2449375.807939 -1.398472 
2449388.349275 -1.415396 
2449400.890611 -1.431767 
2449413.431947 -1.447567 
2449425.973283 -1.462776 
2449438.514619 -1.477374 
2449451.055955 -1.491338 
2449463.597291 -1.504640 
2449476.138627 -1.517254 
2449488.679963 -1.529147 
2449501.221299 -1.540286 
2449513.762635 -1.550633 
2449526.303971 -1.560148 
2449538.845307 -1.568783 
2449551.386643 -1.576491 
2449563.927979 -1.583217 
2449576.469315 -1.588902 
2449589.010651 -1.593479 
2449601.551987 -1.596876 
2449614.093323 -1.599016 
2449626.634659 -1.599811 
2449639.175995 -1.599164 
2449651.717331 -1.596971 
2449664.258667 -1.593116 
2449676.800003 -1.587470 
2449689.341339 -1.579892 
2449701.882675 -1.570225 
2449714.424011 -1.558296 
2449726.965347 -1.543914 
2449739.506684 -1.526865 
2449752.048020 -1.506914 
2449764.589356 -1.483800 
2449777.130692 -1.457233 
2449789.672028 -1.426890 
2449802.213364 -1.392413 
2449814.754700 -1.353405 
2449827.296036 -1.309424 
2449839.837372 -1.259982 
2449852.378708 -1.204537 
2449864.920044 -1.142494 
2449877.461380 -1.073196 
2449890.002716 -0.995925 
2449902.544052 -0.909904 
2449915.085388 -0.814295 
2449927.626724 -0.708209 
2449940.168060 -0.590723 
2449952.709396 -0.460897 
2449965.250732 -0.317817 
2449977.792068 -0.160643 
2449990.333404 0.011315 
2450002.874740 0.198500 
2450015.416076 0.400981 
2450027.957412 0.618307 
2450040.498748 0.849336 
2450053.040084 1.092069 
2450065.581420 1.343512 
2450078.122756 1.599606 
2450090.664092 1.855279 
2450103.205428 2.104645 
2450115.746764 2.341379 
2450128.288100 2.559230 
2450140.829436 2.752882 
2450153.370772 2.917369 
2450165.912109 3.050112 
2450178.453445 3.149929 
2450190.994781 3.217274 
2450203.536117 3.253965 
2450216.077453 3.262812 
2450228.618789 3.247219 
2450241.160125 3.210824 
2450253.701461 3.157229 
2450266.242797 3.089800 
2450278.784133 3.011558 
2450291.325469 2.925129 
2450303.866805 2.832740 
2450316.408141 2.736239 
2450328.949477 2.637135 
2450341.490813 2.536638 
2450354.032149 2.435709 
2450366.573485 2.335098 
2450379.114821 2.235382 
2450391.656157 2.136998 
2450404.197493 2.040270 
2450416.738829 1.945431 
2450429.280165 1.852645 
2450441.821501 1.762015 
2450454.362837 1.673605 
2450466.904173 1.587441 
2450479.445509 1.503525 
2450491.986845 1.421837 
2450504.528181 1.342344 
2450517.069517 1.265001 
2450529.610853 1.189755 
2450542.152189 1.116547 
2450554.693525 1.045316 
2450567.234861 0.975997 
2450579.776197 0.908525 
2450592.317534 0.842836 
2450604.858870 0.778864 
2450617.400206 0.716547 
2450629.941542 0.655823 
2450642.482878 0.596631 
2450655.024214 0.538914 
2450667.565550 0.482615 
2450680.106886 0.427680 
2450692.648222 0.374057 
2450705.189558 0.321698 
2450717.730894 0.270553 
2450730.272230 0.220579 
2450742.813566 0.171731 
2450755.354902 0.123968 
2450767.896238 0.077251 
2450780.437574 0.031542 
2450792.978910 -0.013195 
2450805.520246 -0.056993 
2450818.061582 -0.099885 
2450830.602918 -0.141901 
2450843.144254 -0.183072 
2450855.685590 -0.223425 
2450868.226926 -0.262986 
2450880.768262 -0.301780 
2450893.309598 -0.339831 
2450905.850934 -0.377163 
2450918.392270 -0.413795 
2450930.933606 -0.449749 
2450943.474942 -0.485044 
2450956.016278 -0.519697 
2450968.557614 -0.553727 
2450981.098950 -0.587149 
2450993.640286 -0.619979 
2451006.181622 -0.652230 
2451018.722959 -0.683918 
2451031.264295 -0.715053 
2451043.805631 -0.745649 
2451056.346967 -0.775716 
2451068.888303 -0.805264 
2451081.429639 -0.834304 
2451093.970975 -0.862843 
2451106.512311 -0.890890 
2451119.053647 -0.918453 
2451131.594983 -0.945537 
2451144.136319 -0.972197 
2451156.677655 -0.998342 
2451169.218991 -1.024024 
2451181.760327 -1.049248 
2451194.301663 -1.074016 
2451206.842999 -1.098331 
2451219.384335 -1.122194 
2451231.925671 -1.145605 
2451244.467007 -1.168565 
2451257.008343 -1.191072 
2451269.549679 -1.213124 
2451282.091015 -1.234718 
2451294.632351 -1.255851 
2451307.173687 -1.276518 
2451319.715023 -1.296714 
2451332.256359 -1.316431 
2451344.797695 -1.335661 
2451357.339031 -1.354395 
2451369.880367 -1.372624 
2451382.421703 -1.390334 
2451394.963039 -1.407513 
2451407.504375 -1.424146 
2451420.045711 -1.440216 
2451432.587047 -1.455706 
2451445.128384 -1.470594 
2451457.669720 -1.484858 
2451470.211056 -1.498475 
2451482.752392 -1.511416 
2451495.293728 -1.523652 
2451507.835064 -1.535150 
2451520.376400 -1.545874 
2451532.917736 -1.555784 
2451545.459072 -1.564839 
2451558.000408 -1.572989 
2451570.541744 -1.580184 
2451583.083080 -1.586365 
2451595.624416 -1.591471 
2451608.165752 -1.595432 
2451620.707088 -1.598173 
2451633.248424 -1.599611 
2451645.789760 -1.599654 
2451658.331096 -1.598201 
2451670.872432 -1.595142 
2451683.413768 -1.590354 
2451695.955104 -1.583703 
2451708.496440 -1.575037 
2451721.037776 -1.564194 
2451733.579112 -1.550989 
2451746.120448 -1.535221 
2451758.661784 -1.516664 
2451771.203120 -1.495071 
2451783.744456 -1.470164 
2451796.285792 -1.441637 
2451808.827128 -1.409149 
2451821.368464 -1.372322 
2451833.909800 -1.330735 
2451846.451136 -1.283923 
2451858.992472 -1.231369 
2451871.533809 -1.172504 
2451884.075145 -1.106699 
2451896.616481 -1.033267 
2451909.157817 -0.951458 
2451921.699153 -0.860461 
2451934.240489 -0.759410 
2451946.781825 -0.647397 
2451959.323161 -0.523484 
2451971.864497 -0.386741 
2451984.405833 -0.236285 
2451996.947169 -0.071346 
2452009.488505 0.108651 
2452022.029841 0.303966 
2452034.571177 0.514414 
2452047.112513 0.739199 
2452059.653849 0.976743 
2452072.195185 1.224534 
2452084.736521 1.479016 
2452097.277857 1.735577 
2452109.819193 1.988677 
2452122.360529 2.232142 
2452134.901865 2.459615 
2452147.443201 2.665408 
2452159.984537 2.843911 
2452172.525873 2.991819 
2452185.067209 3.107143 
2452197.608545 3.189592 
2452210.149881 3.240386 
2452222.691217 3.261917 
2452235.232553 3.257359 
2452247.773889 3.230280 
2452260.315225 3.184329 
2452272.856561 3.123000 
2452285.397897 3.049486 
2452297.939234 2.966601 
2452310.480570 2.876760 
2452323.021906 2.781983 
2452335.563242 2.683934 
2452348.104578 2.583958 
2452360.645914 2.483126 
2452373.187250 2.382284 
2452385.728586 2.282085 
2452398.269922 2.183029 
2452410.811258 2.085489 
2452423.352594 1.989739 
2452435.893930 1.895972 
2452448.435266 1.804319 
2452460.976602 1.714861 
2452473.517938 1.627640 
2452486.059274 1.542669 
2452498.600610 1.459938 
2452511.141946 1.379419 
2452523.683282 1.301072 
2452536.224618 1.224847 
2452548.765954 1.150689 
2452561.307290 1.078537 
2452573.848626 1.008328 
2452586.389962 0.939997 
2452598.931298 0.873478 
2452611.472634 0.808708 
2452624.013970 0.745621 
2452636.555306 0.684157 
2452649.096642 0.624252 
2452661.637978 0.565849 
2452674.179314 0.508890 
2452686.720650 0.453321 
2452699.261986 0.399088 
2452711.803322 0.346142 
2452724.344658 0.294432 
2452736.885995 0.243913 
