# time model 
2449300.559923 2.206295 
2449313.101259 -1.734053 
2449325.642595 0.812504 
2449338.183931 0.165119 
2449350.725267 -0.970643 
2449363.266603 1.668953 
2449375.807939 -2.046336 
2449388.349275 -0.148027 
2449400.890611 2.222822 
2449413.431947 -1.819958 
2449425.973283 0.700009 
2449438.514619 0.622470 
2449451.055955 -1.075542 
2449463.597291 1.561112 
2449476.138627 -1.954392 
2449488.679963 -0.256671 
2449501.221299 2.205989 
2449513.762635 -1.899347 
2449526.303971 0.587913 
2449538.845307 1.045558 
2449551.386643 -1.179525 
2449563.927979 1.451021 
2449576.469315 -1.810477 
2449589.010651 -0.364920 
2449601.551987 2.163438 
2449614.093323 -1.970295 
2449626.634659 0.476263 
2449639.175995 1.410832 
2449651.717331 -1.282344 
2449664.258667 1.339461 
2449676.800003 -1.605820 
2449689.341339 -0.472779 
2449701.882675 2.101338 
2449714.424011 -2.030320 
2449726.965347 0.365085 
2449739.506684 1.705308 
2449752.048020 -1.383667 
2449764.589356 1.227014 
2449777.130692 -1.333938 
2449789.672028 -0.580241 
2449802.213364 2.024548 
2449814.754700 -2.076241 
2449827.296036 0.254383 
2449839.837372 1.926377 
2449852.378708 -1.483058 
2449864.920044 1.114109 
2449877.461380 -0.993501 
2449890.002716 -0.687283 
2449902.544052 1.936831 
2449915.085388 -2.104004 
2449927.626724 0.144152 
2449940.168060 2.078962 
2449952.709396 -1.579943 
2449965.250732 1.001063 
2449977.792068 -0.591535 
2449990.333404 -0.793862 
2450002.874740 1.841075 
2450015.416076 -2.108505 
2450027.957412 0.034378 
2450040.498748 2.172057 
2450053.040084 -1.673578 
2450065.581420 0.888100 
2450078.122756 -0.145468 
2450090.664092 -0.899906 
2450103.205428 1.739478 
2450115.746764 -2.083430 
2450128.288100 -0.074958 
2450140.829436 2.215962 
2450153.370772 -1.762993 
2450165.912109 0.775379 
2450178.453445 0.317905 
2450190.994781 -1.005313 
2450203.536117 1.633708 
2450216.077453 -2.021200 
2450228.618789 -0.183887 
2450241.160125 2.220554 
2450253.701461 -1.846934 
2450266.242797 0.663008 
2450278.784133 0.767076 
2450291.325469 -1.109933 
2450303.866805 1.525024 
2450316.408141 -1.913142 
2450328.949477 -0.292400 
2450341.490813 2.194472 
2450354.032149 -1.923777 
2450366.573485 0.551055 
2450379.114821 1.173229 
2450391.656157 -1.213563 
2450404.197493 1.414374 
2450416.738829 -1.750109 
2450429.280165 -0.400520 
2450441.821501 2.144863 
2450454.362837 -1.991429 
2450466.904173 0.439559 
2450479.445509 1.516052 
2450491.986845 -1.315931 
2450504.528181 1.302465 
2450517.069517 -1.523820 
2450529.610853 -0.508250 
2450542.152189 2.077442 
2450554.693525 -2.047195 
2450567.234861 0.328538 
2450579.776197 1.786176 
2450592.317534 -1.416671 
2450604.858870 1.189826 
2450617.400206 -1.229138 
2450629.941542 -0.615577 
2450642.482878 1.996681 
2450655.024214 -2.087626 
2450667.565550 0.217992 
2450680.106886 1.983857 
2450692.648222 -1.515307 
2450705.189558 1.076845 
2450717.730894 -0.867152 
2450730.272230 -0.722472 
2450742.813566 1.906032 
2450755.354902 -2.108341 
2450767.896238 0.107914 
2450780.437574 2.115726 
2450792.978910 -1.611213 
2450805.520246 0.963805 
2450818.061582 -0.448203 
2450830.602918 -0.828884 
2450843.144254 1.808136 
2450855.685590 -2.103852 
2450868.226926 -0.001714 
2450880.768262 2.191463 
2450893.309598 -1.703576 
2450905.850934 0.850907 
2450918.392270 0.006874 
2450930.933606 -0.934732 
2450943.474942 1.705002 
2450956.016278 -2.067426 
2450968.557614 -0.110923 
2450981.098950 2.221367 
2450993.640286 -1.791341 
2451006.181622 0.738292 
2451018.722959 0.469077 
2451031.264295 -1.039898 
2451043.805631 1.598149 
2451056.346967 -1.991088 
2451068.888303 -0.219704 
2451081.429639 2.214964 
2451093.970975 -1.873142 
2451106.512311 0.626053 
2451119.053647 0.906933 
2451131.594983 -1.144217 
2451144.136319 1.488725 
2451156.677655 -1.865911 
2451169.218991 -0.328086 
2451181.760327 2.180410 
2451194.301663 -1.947214 
2451206.842999 0.514247 
2451219.384335 1.293926 
2451231.925671 -1.247465 
2451244.467007 1.377592 
2451257.008343 -1.682842 
2451269.549679 -0.436078 
2451282.091015 2.124362 
2451294.632351 -2.011279 
2451307.173687 0.402907 
2451319.715023 1.613292 
2451332.256359 -1.349342 
2451344.797695 1.265392 
2451357.339031 -1.434337 
2451369.880367 -0.543677 
2451382.421703 2.052104 
2451394.963039 -2.062412 
2451407.504375 0.292043 
2451420.045711 1.859120 
2451432.587047 -1.449447 
2451445.128384 1.152603 
2451457.669720 -1.116948 
2451470.211056 -0.650866 
2451482.752392 1.967746 
2451495.293728 -2.096878 
2451507.835064 0.181653 
2451520.376400 2.034162 
2451532.917736 -1.547261 
2451545.459072 1.039575 
2451558.000408 -0.734525 
2451570.541744 -0.757609 
2451583.083080 1.874450 
2451595.624416 -2.109950 
2451608.165752 0.071725 
2451620.707088 2.146387 
2451633.248424 -1.642099 
2451645.789760 0.926563 
2451658.331096 -0.300875 
2451670.872432 -0.863845 
2451683.413768 1.774632 
2451695.955104 -2.095739 
2451708.496440 -0.037758 
2451721.037776 2.205895 
2451733.579112 -1.733077 
2451746.120448 0.813745 
2451758.661784 0.160004 
2451771.203120 -0.969483 
2451783.744456 1.670124 
2451796.285792 -2.047093 
2451808.827128 -0.146828 
2451821.368464 2.222837 
2451833.909800 -1.819044 
2451846.451136 0.701246 
2451858.992472 0.617568 
2451871.533809 -1.074391 
2451884.075145 1.562313 
2451896.616481 -1.955671 
2451909.157817 -0.255477 
2451921.699153 2.206327 
2451934.240489 -1.898515 
2451946.781825 0.589145 
2451959.323161 1.041179 
2451971.864497 -1.178386 
2451984.405833 1.452242 
2451996.947169 -1.812378 
2452009.488505 -0.363730 
2452022.029841 2.164023 
2452034.571177 -1.969568 
2452047.112513 0.477490 
2452059.653849 1.407182 
2452072.195185 -1.281219 
2452084.736521 1.340695 
2452097.277857 -1.608432 
2452109.819193 -0.471594 
2452122.360529 2.102110 
2452134.901865 -2.029729 
2452147.443201 0.366306 
2452159.984537 1.702468 
2452172.525873 -1.382561 
2452185.067209 1.228255 
2452197.608545 -1.337309 
2452210.149881 -0.579060 
2452222.691217 2.025459 
2452235.232553 -2.075825 
2452247.773889 0.255599 
2452260.315225 1.924329 
2452272.856561 -1.481976 
2452285.397897 1.115354 
2452297.939234 -0.997607 
2452310.480570 -0.686107 
2452323.021906 1.937845 
2452335.563242 -2.103815 
2452348.104578 0.145363 
2452360.645914 2.077624 
2452373.187250 -1.578893 
2452385.728586 1.002307 
2452398.269922 -0.596243 
2452410.811258 -0.792691 
2452423.352594 1.842164 
2452435.893930 -2.108604 
2452448.435266 0.035584 
2452460.976602 2.171319 
2452473.517938 -1.672568 
2452486.059274 0.889342 
