# time model 
2449300.559923 2.248913 
2449313.101259 -3.475371 
2449325.642595 -2.260444 
2449338.183931 -2.991410 
2449350.725267 -3.931743 
2449363.266603 0.517218 
2449375.807939 -1.448565 
2449388.349275 0.700314 
2449400.890611 2.403118 
2449413.431947 -3.328205 
2449425.973283 -2.260363 
2449438.514619 -2.735519 
2449451.055955 -4.381100 
2449463.597291 -0.027988 
2449476.138627 -1.617590 
2449488.679963 0.496523 
2449501.221299 2.544230 
2449513.762635 -3.122752 
2449526.303971 -2.181590 
2449538.845307 -2.422363 
2449551.386643 -4.743615 
2449563.927979 -0.527882 
2449576.469315 -1.728020 
2449589.010651 0.284956 
2449601.551987 2.667325 
2449614.093323 -2.867368 
2449626.634659 -2.032970 
2449639.175995 -2.065952 
2449651.717331 -5.016616 
2449664.258667 -0.975031 
2449676.800003 -1.772971 
2449689.341339 0.066312 
2449701.882675 2.772530 
2449714.424011 -2.564785 
2449726.965347 -1.818906 
2449739.506684 -1.671124 
2449752.048020 -5.193526 
2449764.589356 -1.357623 
2449777.130692 -1.743688 
2449789.672028 -0.152362 
2449802.213364 2.865356 
2449814.754700 -2.211548 
2449827.296036 -1.538660 
2449839.837372 -1.233238 
2449852.378708 -5.262703 
2449864.920044 -1.658274 
2449877.461380 -1.629206 
2449890.002716 -0.355858 
2449902.544052 2.958943 
2449915.085388 -1.795512 
2449927.626724 -1.183599 
2449940.168060 -0.736532 
2449952.709396 -5.204185 
2449965.250732 -1.850547 
2449977.792068 -1.412743 
2449990.333404 -0.516332 
2450002.874740 3.079286 
2450015.416076 -1.290150 
2450027.957412 -0.730824 
2450040.498748 -0.148408 
2450053.040084 -4.981863 
2450065.581420 -1.890450 
2450078.122756 -1.061296 
2450090.664092 -0.582685 
2450103.205428 3.277330 
2450115.746764 -0.641275 
2450128.288100 -0.128192 
2450140.829436 0.596181 
2450153.370772 -4.524783 
2450165.912109 -1.695689 
2450178.453445 -0.500305 
2450190.994781 -0.454470 
2450203.536117 3.658538 
2450216.077453 0.265781 
2450228.618789 0.742977 
2450241.160125 1.635805 
2450253.701461 -3.680156 
2450266.242797 -1.093177 
2450278.784133 0.447953 
2450291.325469 0.083566 
2450303.866805 4.455831 
2450316.408141 1.685982 
2450328.949477 2.155704 
2450341.490813 3.276617 
2450354.032149 -2.113747 
2450366.573485 0.282400 
2450379.114821 2.164898 
2450391.656157 1.447830 
2450404.197493 6.091475 
2450416.738829 4.031612 
2450429.280165 4.483877 
2450441.821501 5.829399 
2450454.362837 0.368956 
2450466.904173 2.448234 
2450479.445509 4.408910 
2450491.986845 3.070222 
2450504.528181 7.575380 
2450517.069517 5.820772 
2450529.610853 5.716308 
2450542.152189 6.764379 
2450554.693525 0.773497 
2450567.234861 2.060326 
2450579.776197 3.659085 
2450592.317534 1.477148 
2450604.858870 5.716284 
2450617.400206 4.382165 
2450629.941542 3.924036 
2450642.482878 5.053822 
2450655.024214 -0.947745 
2450667.565550 0.041619 
2450680.106886 1.721592 
2450692.648222 -0.810114 
2450705.189558 3.529162 
2450717.730894 2.973287 
2450730.272230 2.393857 
2450742.813566 3.810562 
2450755.354902 -2.006708 
2450767.896238 -1.246013 
2450780.437574 0.498016 
2450792.978910 -2.354973 
2450805.520246 2.020961 
2450818.061582 2.214570 
2450830.602918 1.457884 
2450843.144254 3.140029 
2450855.685590 -2.457628 
2450868.226926 -1.969014 
2450880.768262 -0.236819 
2450893.309598 -3.420849 
2450905.850934 0.910281 
2450918.392270 1.799399 
2450930.933606 0.827963 
2450943.474942 2.764899 
2450956.016278 -2.558476 
2450968.557614 -2.370574 
2450981.098950 -0.697108 
2450993.640286 -4.203436 
2451006.181622 0.018498 
2451018.722959 1.541911 
2451031.264295 0.345964 
2451043.805631 2.537689 
2451056.346967 -2.441226 
2451068.888303 -2.574620 
2451081.429639 -0.985906 
2451093.970975 -4.794866 
2451106.512311 -0.737190 
2451119.053647 1.346479 
2451131.594983 -0.065208 
2451144.136319 2.383798 
2451156.677655 -2.172665 
2451169.218991 -2.645848 
2451181.760327 -1.153484 
2451194.301663 -5.238505 
2451206.842999 -1.394898 
2451219.384335 1.163118 
2451231.925671 -0.444339 
2451244.467007 2.262784 
2451257.008343 -1.790512 
2451269.549679 -2.621395 
2451282.091015 -1.226136 
2451294.632351 -5.554793 
2451307.173687 -1.971517 
2451319.715023 0.967689 
2451332.256359 -0.810679 
2451344.797695 2.151595 
2451357.339031 -1.319828 
2451369.880367 -2.524482 
2451382.421703 -1.218529 
2451394.963039 -5.752390 
2451407.504375 -2.473001 
2451420.045711 0.752540 
2451432.587047 -1.172134 
2451445.128384 2.037294 
2451457.669720 -0.780894 
2451470.211056 -2.370386 
2451482.752392 -1.139086 
2451495.293728 -5.833116 
2451507.835064 -2.899035 
2451520.376400 0.521252 
2451532.917736 -1.528922 
2451545.459072 1.913916 
