# time model 
2450957.954413 1.398087 
2450958.569193 1.926374 
2450959.183974 2.366407 
2450959.798754 2.634742 
2450960.413535 2.640402 
2450961.028315 2.325306 
2450961.643096 1.712703 
2450962.257876 0.915869 
2450962.872656 0.085565 
2450963.487437 -0.656661 
2450964.102217 -1.246706 
2450964.716998 -1.668043 
2450965.331778 -1.930357 
2450965.946558 -2.053079 
2450966.561339 -2.056528 
2450967.176119 -1.958286 
2450967.790900 -1.772285 
2450968.405680 -1.509089 
2450969.020461 -1.176648 
2450969.635241 -0.781312 
2450970.250021 -0.329135 
2450970.864802 0.172315 
2450971.479582 0.711241 
2450972.094363 1.267516 
2450972.709143 1.806914 
2450973.323924 2.274551 
2450973.938704 2.591838 
2450974.553484 2.666865 
2450975.168265 2.429061 
2450975.783045 1.879374 
2450976.397826 1.112611 
2450977.012606 0.277334 
2450977.627386 -0.493640 
2450978.242167 -1.122537 
2450978.856947 -1.583489 
2450979.471728 -1.881775 
2450980.086508 -2.035578 
2450980.701289 -2.065481 
2450981.316069 -1.989862 
2450981.930849 -1.823520 
2450982.545630 -1.577757 
2450983.160410 -1.261056 
2450983.775191 -0.880042 
2450984.389971 -0.440699 
2450985.004752 0.049965 
2450985.619532 0.581463 
2450986.234312 1.136095 
2450986.849093 1.683563 
2450987.463873 2.174383 
2450988.078654 2.535342 
2450988.693434 2.675549 
2450989.308215 2.514962 
2450989.922995 2.033680 
2450990.537775 1.305625 
2450991.152556 0.472960 
2450991.767336 -0.322458 
2450992.382117 -0.988866 
2450992.996897 -1.489811 
2450993.611677 -1.825126 
2450994.226458 -2.011177 
2450994.841238 -2.068564 
2450995.456019 -2.016394 
2450996.070799 -1.870338 
2450996.685580 -1.642476 
2450997.300360 -1.341879 
2450997.915140 -0.975514 
2450998.529921 -0.549387 
2450999.144701 -0.070076 
2450999.759482 0.453031 
2451000.374262 1.004360 
2451000.989043 1.557161 
2451001.603823 2.067063 
2451002.218603 2.466500 
2451002.833384 2.667184 
2451003.448164 2.582521 
2451004.062945 2.173892 
2451004.677725 1.492822 
2451005.292505 0.670914 
2451005.907286 -0.143823 
2451006.522066 -0.845808 
2451007.136847 -1.386826 
2451007.751627 -1.760138 
2451008.366408 -1.979608 
2451008.981188 -2.065552 
2451009.595968 -2.037705 
2451010.210749 -1.912606 
2451010.825529 -1.703147 
2451011.440310 -1.419039 
