# time model 
2450422.002379 -1.988326 
2450422.769313 -1.942863 
2450423.536248 -1.773759 
2450424.303182 -1.499607 
2450425.070117 -1.130469 
2450425.837051 -0.670714 
2450426.603986 -0.122115 
2450427.370920 0.511228 
2450428.137855 1.212836 
2450428.904789 1.932818 
2450429.671723 2.550724 
2450430.438658 2.843132 
2450431.205592 2.557444 
2450431.972527 1.673431 
2450432.739461 0.525946 
2450433.506396 -0.504859 
2450434.273330 -1.251626 
2450435.040265 -1.712571 
2450435.807199 -1.940270 
2450436.574134 -1.987577 
2450437.341068 -1.893684 
2450438.108002 -1.684195 
2450438.874937 -1.374205 
2450439.641871 -0.971354 
2450440.408806 -0.478644 
2450441.175740 0.102043 
2450441.942675 0.763642 
2450442.709609 1.480615 
2450443.476544 2.182138 
2450444.243478 2.711188 
2450445.010412 2.814399 
2450445.777347 2.289295 
2450446.544281 1.257410 
2450447.311216 0.118291 
2450448.078150 -0.815640 
2450448.845085 -1.452447 
2450449.612019 -1.820639 
2450450.378954 -1.976308 
2450451.145888 -1.967761 
2450451.912823 -1.828887 
2450452.679757 -1.581036 
2450453.446691 -1.236219 
2450454.213626 -0.800032 
2450454.980560 -0.274567 
2450455.747495 0.337369 
2450456.514429 1.024006 
2450457.281364 1.747151 
2450458.048298 2.409152 
2450458.815233 2.813559 
2450459.582167 2.696524 
2450460.349101 1.948881 
2450461.116036 0.828192 
2450461.882970 -0.258989 
2450462.649905 -1.084901 
2450463.416839 -1.616548 
2450464.183774 -1.899913 
2450464.950708 -1.990162 
2450465.717643 -1.930343 
2450466.484577 -1.749359 
2450467.251511 -1.464751 
2450468.018446 -1.085842 
2450468.785380 -0.616566 
2450469.552315 -0.058653 
2450470.319249 0.583091 
2450471.086184 1.289896 
2450471.853118 2.006401 
2450472.620053 2.602096 
2450473.386987 2.843627 
2450474.153922 2.488472 
2450474.920856 1.556133 
2450475.687790 0.405878 
2450476.454725 -0.598713 
2450477.221659 -1.313466 
2450477.988594 -1.746854 
2450478.755528 -1.953062 
2450479.522463 -1.983750 
2450480.289397 -1.876559 
2450481.056332 -1.655819 
2450481.823266 -1.335695 
2450482.590200 -0.923200 
2450483.357135 -0.421022 
2450484.124069 0.168785 
2450484.891004 0.837996 
2450485.657938 1.557835 
2450486.424873 2.250367 
2450487.191807 2.747317 
2450487.958742 2.789753 
2450488.725676 2.197764 
2450489.492610 1.134033 
2450490.259545 0.005980 
2450491.026479 -0.897540 
2450491.793414 -1.503411 
2450492.560348 -1.846331 
2450493.327283 -1.982490 
2450494.094217 -1.958718 
2450494.861152 -1.807431 
2450495.628086 -1.548832 
2450496.395021 -1.194120 
2450497.161955 -0.748370 
2450497.928889 -0.213509 
2450498.695824 0.407204 
2450499.462758 1.100243 
2450500.229693 1.822970 
2450500.996627 2.468858 
2450501.763562 2.830232 
2450502.530496 2.645616 
2450503.297431 1.840007 
2450504.064365 0.704924 
2450504.831299 -0.361018 
2450505.598234 -1.154913 
2450506.365168 -1.657460 
2450507.132103 -1.917808 
2450507.899037 -1.990315 
2450508.665972 -1.916464 
2450509.432906 -1.723796 
2450510.199841 -1.428833 
2450510.966775 -1.040196 
2450511.733710 -0.561413 
2450512.500644 0.005769 
2450513.267578 0.655723 
2450514.034513 1.367135 
2450514.801447 2.078728 
2450515.568382 2.649507 
2450516.335316 2.837107 
2450517.102251 2.412573 
2450517.869185 1.436400 
2450518.636120 0.287705 
2450519.403054 -0.689149 
2450520.169988 -1.372090 
2450520.936923 -1.778575 
2450521.703857 -1.963883 
2450522.470792 -1.978376 
2450523.237726 -1.858159 
2450524.004661 -1.626326 
2450524.771595 -1.296146 
2450525.538530 -0.874032 
2450526.305464 -0.362403 
2450527.072398 0.236441 
2450527.839333 0.912966 
2450528.606267 1.634833 
2450529.373202 2.316492 
2450530.140136 2.778260 
2450530.907071 2.757551 
2450531.674005 2.100621 
2450532.440940 1.010096 
2450533.207874 -0.103566 
2450533.974809 -0.975983 
2450534.741743 -1.551387 
2450535.508677 -1.869696 
2450536.275612 -1.986877 
2450537.042546 -1.948245 
2450537.809481 -1.784769 
2450538.576415 -1.515548 
2450539.343350 -1.150995 
2450540.110284 -0.695700 
2450540.877219 -0.151471 
2450541.644153 0.477882 
2450542.411087 1.176874 
2450543.178022 1.898023 
2450543.944956 2.525428 
2450544.711891 2.840562 
2450545.478825 2.587258 
2450546.245760 1.727309 
2450547.012694 0.582676 
