# time model 
2450422.002379 -3.031366 
2450422.769313 -3.686738 
2450423.536248 -3.957936 
2450424.303182 -3.944954 
2450425.070117 -3.718917 
2450425.837051 -3.327554 
2450426.603986 -2.803074 
2450427.370920 -2.169408 
2450428.137855 -1.449513 
2450428.904789 -0.674619 
2450429.671723 0.102370 
2450430.438658 0.789183 
2450431.205592 1.242160 
2450431.972527 1.292968 
2450432.739461 0.851799 
2450433.506396 0.026682 
2450434.273330 -0.912177 
2450435.040265 -1.714163 
2450435.807199 -2.258242 
2450436.574134 -2.530067 
2450437.341068 -2.562512 
2450438.108002 -2.397068 
2450438.874937 -2.069248 
2450439.641871 -1.605441 
2450440.408806 -1.024301 
2450441.175740 -0.339671 
2450441.942675 0.435414 
2450442.709609 1.282857 
2450443.476544 2.170075 
2450444.243478 3.035413 
2450445.010412 3.770795 
2450445.777347 4.219026 
2450446.544281 4.226765 
2450447.311216 3.769284 
2450448.078150 3.028835 
2450448.845085 2.282522 
2450449.612019 1.717302 
2450450.378954 1.363403 
2450451.145888 1.122241 
2450451.912823 0.807836 
2450452.679757 0.237578 
2450453.446691 -0.565948 
2450454.213626 -1.309530 
2450454.980560 -1.725135 
2450455.747495 -1.759962 
2450456.514429 -1.486443 
2450457.281364 -1.001762 
2450458.048298 -0.404395 
2450458.815233 0.190633 
2450459.582167 0.630885 
2450460.349101 0.734203 
2450461.116036 0.368897 
2450461.882970 -0.418015 
2450462.649905 -1.386302 
2450463.416839 -2.266484 
2450464.183774 -2.904755 
2450464.950708 -3.266957 
2450465.717643 -3.379678 
2450466.484577 -3.285188 
2450467.251511 -3.021819 
2450468.018446 -2.618875 
2450468.785380 -2.097341 
2450469.552315 -1.472569 
2450470.319249 -0.757904 
2450471.086184 0.029717 
2450471.853118 0.861867 
2450472.620053 1.685123 
2450473.386987 2.403744 
2450474.153922 2.870325 
2450474.920856 2.920559 
2450475.687790 2.484943 
2450476.454725 1.698529 
2450477.221659 0.840712 
2450477.988594 0.150584 
2450478.755528 -0.265243 
2450479.522463 -0.399995 
2450480.289397 -0.288367 
2450481.056332 0.027560 
2450481.823266 0.509518 
2450482.590200 1.121654 
2450483.357135 1.821273 
2450484.124069 2.541174 
2450484.891004 3.164058 
2450485.657938 3.513012 
2450486.424873 3.437782 
2450487.191807 2.999628 
2450487.958742 2.425982 
2450488.725676 1.788527 
2450489.492610 0.963516 
2450490.259545 -0.118168 
2450491.026479 -1.321103 
2450491.793414 -2.412349 
2450492.560348 -3.234071 
2450493.327283 -3.746064 
2450494.094217 -3.977010 
2450494.861152 -3.975648 
2450495.628086 -3.787229 
2450496.395021 -3.446800 
2450497.161955 -2.979589 
2450497.928889 -2.403732 
2450498.695824 -1.733959 
2450499.462758 -0.986534 
2450500.229693 -0.186740 
2450500.996627 0.619187 
2450501.763562 1.347216 
2450502.530496 1.861738 
2450503.297431 1.994555 
2450504.064365 1.638075 
2450504.831299 0.871686 
2450505.598234 -0.045992 
2450506.365168 -0.851443 
2450507.132103 -1.405060 
2450507.899037 -1.681394 
2450508.665972 -1.709177 
2450509.432906 -1.529440 
2450510.199841 -1.178180 
2450510.966775 -0.682273 
2450511.733710 -0.060540 
2450512.500644 0.673376 
2450513.267578 1.506969 
2450514.034513 2.422880 
2450514.801447 3.389103 
2450515.568382 4.343059 
2450516.335316 5.169760 
2450517.102251 5.686309 
2450517.869185 5.668421 
2450518.636120 4.948300 
2450519.403054 3.523588 
2450520.169988 1.605472 
2450520.936923 -0.379460 
2450521.703857 -1.996345 
2450522.470792 -3.069720 
2450523.237726 -3.649739 
2450524.004661 -3.851493 
2450524.771595 -3.775075 
2450525.538530 -3.491068 
2450526.305464 -3.046506 
2450527.072398 -2.473733 
2450527.839333 -1.798866 
2450528.606267 -1.050934 
2450529.373202 -0.274004 
2450530.140136 0.456103 
2450530.907071 1.014982 
2450531.674005 1.235726 
2450532.440940 0.981217 
2450533.207874 0.275073 
2450533.974809 -0.657627 
2450534.741743 -1.537536 
2450535.508677 -2.190642 
2450536.275612 -2.568679 
2450537.042546 -2.692304 
2450537.809481 -2.602672 
2450538.576415 -2.338421 
2450539.343350 -1.929531 
2450540.110284 -1.397444 
2450540.877219 -0.757554 
2450541.644153 -0.022749 
2450542.411087 0.791594 
2450543.178022 1.659797 
2450543.944956 2.533397 
2450544.711891 3.323981 
2450545.478825 3.891214 
2450546.245760 4.068808 
2450547.012694 3.766610 
2450547.779629 3.090374 
2450548.546563 2.307806 
2450549.313498 1.664919 
2450550.080432 1.268822 
2450550.847366 1.098637 
2450551.614301 1.046645 
2450552.381235 0.938072 
2450553.148170 0.579434 
2450553.915104 -0.071809 
