# time model 
2450422.002379 -1.214408 
2450422.769313 -1.575239 
2450423.536248 -1.800665 
2450424.303182 -1.928991 
2450425.070117 -1.988945 
2450425.837051 -2.000687 
2450426.603986 -1.978044 
2450427.370920 -1.930460 
2450428.137855 -1.864412 
2450428.904789 -1.784368 
2450429.671723 -1.693427 
2450430.438658 -1.593741 
2450431.205592 -1.486795 
2450431.972527 -1.373598 
2450432.739461 -1.254811 
2450433.506396 -1.130831 
2450434.273330 -1.001855 
2450435.040265 -0.867915 
2450435.807199 -0.728872 
2450436.574134 -0.584582 
2450437.341068 -0.434676 
2450438.108002 -0.278729 
2450438.874937 -0.116221 
2450439.641871 0.053471 
2450440.408806 0.231062 
2450441.175740 0.417366 
2450441.942675 0.613279 
2450442.709609 0.819761 
2450443.476544 1.037781 
2450444.243478 1.268211 
2450445.010412 1.511618 
2450445.777347 1.767868 
2450446.544281 2.035362 
2450447.311216 2.309613 
2450448.078150 2.580587 
2450448.845085 2.827971 
2450449.612019 3.013525 
2450450.378954 3.071843 
2450451.145888 2.909601 
2450451.912823 2.439828 
2450452.679757 1.666657 
2450453.446691 0.740667 
2450454.213626 -0.131745 
2450454.980560 -0.824500 
2450455.747495 -1.316671 
2450456.514429 -1.640723 
2450457.281364 -1.839440 
2450458.048298 -1.948912 
2450458.815233 -1.995604 
2450459.582167 -1.997935 
2450460.349101 -1.968510 
2450461.116036 -1.915944 
2450461.882970 -1.846153 
2450462.649905 -1.763225 
2450463.416839 -1.669995 
2450464.183774 -1.568433 
2450464.950708 -1.459894 
2450465.717643 -1.345292 
2450466.484577 -1.225218 
2450467.251511 -1.100016 
2450468.018446 -0.969838 
2450468.785380 -0.834685 
2450469.552315 -0.694385 
2450470.319249 -0.548767 
2450471.086184 -0.397439 
2450471.853118 -0.239953 
2450472.620053 -0.075764 
2450473.386987 0.095774 
2450474.153922 0.275399 
2450474.920856 0.463947 
2450475.687790 0.662333 
2450476.454725 0.871525 
2450477.221659 1.092481 
2450477.988594 1.326023 
2450478.755528 1.572596 
2450479.522463 1.831798 
2450480.289397 2.101497 
2450481.056332 2.376166 
2450481.823266 2.643817 
2450482.590200 2.880608 
2450483.357135 3.042512 
2450484.124069 3.056661 
2450484.891004 2.826069 
2450485.657938 2.276872 
2450486.424873 1.448056 
2450487.191807 0.517429 
2450487.958742 -0.318447 
2450488.725676 -0.961481 
2450489.492610 -1.409021 
2450490.259545 -1.698879 
2450491.026479 -1.873016 
2450491.793414 -1.965181 
2450492.560348 -1.999682 
2450493.327283 -1.993334 
2450494.094217 -1.957628 
2450494.861152 -1.900424 
2450495.628086 -1.827128 
2450496.395021 -1.741480 
