# epoch value error jitter offset 
57972.642391 22.643191  5.078183 0 0 
57989.571677 47.739175  8.617536 0 0 
57991.553196 33.220250 10.171814 0 0 
57991.656885 20.879007 10.558850 0 0 
57992.564895 21.238880  3.571107 0 0 
57992.647092 29.810737  3.272587 0 0 
57992.737182 25.542131  5.189513 0 0 
57993.569005 32.196841  3.195291 0 0 
57993.649707 22.960461 11.802830 0 0 
57994.540226 31.228558  2.759053 0 0 
57994.614332 31.552312 21.767566 0 0 
57994.726301 37.058736  3.692058 0 0 
57995.521310 25.694201  4.845356 0 0 
57995.613168 25.691747  3.731734 0 0 
57996.519648 15.617348 12.349865 0 0 
57996.586905 22.268333  7.970623 0 0 
57996.696770  4.909071  7.525772 0 0 
57997.518889 13.963524 21.024961 0 0 
57999.514325 16.830027  3.972518 0 0 
57999.683151 22.586229  3.847016 0 0 
58000.517294 20.405625  4.316025 0 0 
58000.587327 23.235970  4.420064 0 0 
58000.661400 23.416679  5.405641 0 0 
58001.483841 26.137540  3.149134 0 0 
58001.659262 21.928401  3.492940 0 0 
58011.441099 15.805194  4.722063 0 0 
58011.463972 14.609979  4.541254 0 0 
58011.492837 12.725140  4.253364 0 0 
58011.514782 13.103968  4.461711 0 0 
58011.537045 14.271575  4.171360 0 0 
58011.559660 16.078540  3.214904 0 0 
58011.588087 19.049147  4.718246 0 0 
58011.611718 10.159328  3.510125 0 0 
58011.634613 14.615676  4.152515 0 0 
58019.530387 27.495205  8.624151 0 0 
58019.576096 26.729976  9.522312 0 0 
58021.485174 33.640215  6.553157 0 0 
58021.550035 31.320285  9.325724 0 0 
58022.507855 29.049156  4.275063 0 0 
58022.613117 20.430731  4.775685 0 0 
58025.440973 17.914908  2.396308 0 0 
58025.604040 14.695753  2.881099 0 0 
58026.439462 22.123587  5.302273 0 0 
58026.524119 21.963393  5.668558 0 0 
58820.385845 16.665936 11.208488 0 0 
59416.667143 25.873249  4.383333 0 0 
59428.721191  6.728566  3.857249 0 0 
59442.689993 11.217596  5.232104 0 0 
59459.571626 14.107886  3.972523 0 0 
59473.565133 23.226227  7.004977 0 0 
57984.680256 33.600000  3.600000 1 1 
57984.751983 37.100000  3.400000 1 1 
57985.674925 40.800000  3.200000 1 1 
57985.734244 45.500000  3.800000 1 1 
57985.785126 39.000000  3.200000 1 1 
57985.813252 44.700000  3.800000 1 1 
57986.682822 45.500000  3.800000 1 1 
57986.754654 57.800000  3.200000 1 1 
57986.778833 54.100000  3.600000 1 1 
57986.826543 42.200000  3.800000 1 1 
57987.709214 54.800000  3.200000 1 1 
57987.734608 52.100000  3.200000 1 1 
57987.781925 58.700000  2.800000 1 1 
57987.806336 57.500000  2.800000 1 1 
57990.664452 47.800000  5.000000 1 1 
57990.695714 51.800000  4.400000 1 1 
57990.732741 54.100000  4.200000 1 1 
57990.800776 54.300000  4.200000 1 1 
57991.701381 45.900000  3.600000 1 1 
57991.772391 51.400000  3.000000 1 1 
57992.672127 50.300000  3.000000 1 1 
57992.697220 50.300000  3.000000 1 1 
57992.743541 58.800000  4.000000 1 1 
57992.771308 57.200000  3.800000 1 1 
57992.826622 59.600000  4.000000 1 1 
