# time model 
59319.654344 -8.054471 
59319.707276 -8.294478 
59319.760208 -8.547393 
59319.813139 -8.810191 
59319.866071 -9.079475 
59319.919003 -9.351510 
59319.971935 -9.622282 
59320.024867 -9.887567 
59320.077799 -10.143028 
59320.130730 -10.384327 
59320.183662 -10.607248 
59320.236594 -10.807828 
59320.289526 -10.982489 
59320.342458 -11.128153 
59320.395390 -11.242347 
59320.448321 -11.323280 
59320.501253 -11.369886 
59320.554185 -11.381841 
59320.607117 -11.359546 
59320.660049 -11.304075 
59320.712981 -11.217112 
59320.765912 -11.100855 
59320.818844 -10.957923 
59320.871776 -10.791253 
59320.924708 -10.603999 
59320.977640 -10.399441 
59321.030572 -10.180905 
59321.083503 -9.951689 
59321.136435 -9.715013 
59321.189367 -9.473974 
59321.242299 -9.231514 
59321.295231 -8.990403 
59321.348163 -8.753225 
59321.401094 -8.522377 
59321.454026 -8.300070 
59321.506958 -8.088336 
59321.559890 -7.889033 
59321.612822 -7.703860 
59321.665754 -7.534362 
59321.718685 -7.381946 
59321.771617 -7.247884 
59321.824549 -7.133325 
59321.877481 -7.039295 
59321.930413 -6.966705 
59321.983345 -6.916344 
59322.036276 -6.888882 
59322.089208 -6.884858 
59322.142140 -6.904671 
59322.195072 -6.948565 
59322.248004 -7.016611 
59322.300936 -7.108686 
59322.353867 -7.224449 
59322.406799 -7.363311 
59322.459731 -7.524406 
59322.512663 -7.706564 
59322.565595 -7.908281 
59322.618527 -8.127694 
59322.671458 -8.362562 
59322.724390 -8.610255 
59322.777322 -8.867756 
59322.830254 -9.131676 
59322.883186 -9.398290 
59322.936118 -9.663588 
59322.989049 -9.923353 
59323.041981 -10.173249 
59323.094913 -10.408940 
59323.147845 -10.626206 
59323.200777 -10.821081 
59323.253709 -10.989979 
59323.306640 -11.129812 
59323.359572 -11.238096 
59323.412504 -11.313028 
59323.465436 -11.353528 
59323.518368 -11.359259 
59323.571300 -11.330609 
59323.624231 -11.268642 
59323.677163 -11.175031 
59323.730095 -11.051967 
59323.783027 -10.902065 
59323.835959 -10.728256 
59323.888891 -10.533694 
59323.941822 -10.321659 
59323.994754 -10.095478 
59324.047686 -9.858453 
59324.100618 -9.613809 
59324.153550 -9.364647 
59324.206481 -9.113914 
59324.259413 -8.864386 
59324.312345 -8.618654 
59324.365277 -8.379120 
59324.418209 -8.148001 
59324.471141 -7.927334 
59324.524072 -7.718984 
59324.577004 -7.524654 
59324.629936 -7.345896 
59324.682868 -7.184121 
59324.735800 -7.040605 
59324.788732 -6.916502 
59324.841663 -6.812845 
59324.894595 -6.730545 
59324.947527 -6.670401 
59325.000459 -6.633084 
59325.053391 -6.619140 
59325.106323 -6.628971 
59325.159254 -6.662829 
59325.212186 -6.720790 
59325.265118 -6.802738 
59325.318050 -6.908337 
59325.370982 -7.037007 
59325.423914 -7.187891 
59325.476845 -7.359827 
59325.529777 -7.551320 
59325.582709 -7.760517 
59325.635641 -7.985187 
59325.688573 -8.222710 
59325.741505 -8.470079 
59325.794436 -8.723915 
59325.847368 -8.980501 
59325.900300 -9.235835 
59325.953232 -9.485704 
59326.006164 -9.725778 
59326.059096 -9.951719 
59326.112027 -10.159308 
59326.164959 -10.344574 
59326.217891 -10.503923 
59326.270823 -10.634260 
59326.323755 -10.733089 
59326.376687 -10.798594 
59326.429618 -10.829682 
59326.482550 -10.826005 
59326.535482 -10.787937 
59326.588414 -10.716532 
59326.641346 -10.613452 
59326.694278 -10.480883 
59326.747209 -10.321431 
59326.800141 -10.138026 
59326.853073 -9.933819 
59326.906005 -9.712091 
59326.958937 -9.476171 
59327.011869 -9.229363 
59327.064800 -8.974897 
59327.117732 -8.715876 
59327.170664 -8.455256 
59327.223596 -8.195815 
59327.276528 -7.940152 
59327.329460 -7.690673 
59327.382391 -7.449601 
59327.435323 -7.218979 
59327.488255 -7.000675 
59327.541187 -6.796398 
59327.594119 -6.607705 
59327.647051 -6.436010 
59327.699982 -6.282595 
59327.752914 -6.148616 
59327.805846 -6.035110 
59327.858778 -5.942995 
59327.911710 -5.873069 
59327.964642 -5.826011 
59328.017573 -5.802368 
59328.070505 -5.802548 
59328.123437 -5.826807 
59328.176369 -5.875227 
59328.229301 -5.947696 
59328.282233 -6.043885 
59328.335164 -6.163219 
59328.388096 -6.304849 
59328.441028 -6.467621 
59328.493960 -6.650047 
59328.546892 -6.850283 
59328.599824 -7.066108 
59328.652755 -7.294908 
59328.705687 -7.533688 
59328.758619 -7.779074 
59328.811551 -8.027359 
59328.864483 -8.274546 
59328.917414 -8.516425 
59328.970346 -8.748670 
59329.023278 -8.966942 
59329.076210 -9.167019 
59329.129142 -9.344924 
59329.182074 -9.497055 
59329.235005 -9.620306 
59329.287937 -9.712170 
59329.340869 -9.770815 
59329.393801 -9.795136 
59329.446733 -9.784769 
59329.499665 -9.740074 
59329.552596 -9.662093 
59329.605528 -9.552477 
59329.658460 -9.413401 
59329.711392 -9.247467 
59329.764324 -9.057597 
59329.817256 -8.846941 
59329.870187 -8.618776 
59329.923119 -8.376433 
59329.976051 -8.123217 
59330.028983 -7.862358 
59330.081915 -7.596966 
59330.134847 -7.329997 
59330.187778 -7.064236 
59330.240710 -6.802282 
59330.293642 -6.546547 
59330.346574 -6.299259 
59330.399506 -6.062462 
59330.452438 -5.838030 
59330.505369 -5.627673 
59330.558301 -5.432952 
59330.611233 -5.255283 
59330.664165 -5.095952 
59330.717097 -4.956117 
59330.770029 -4.836816 
59330.822960 -4.738969 
59330.875892 -4.663379 
59330.928824 -4.610724 
59330.981756 -4.581556 
59331.034688 -4.576286 
59331.087620 -4.595171 
59331.140551 -4.638297 
59331.193483 -4.705557 
59331.246415 -4.796626 
59331.299347 -4.910934 
59331.352279 -5.047636 
59331.405211 -5.205586 
59331.458142 -5.383303 
59331.511074 -5.578948 
59331.564006 -5.790309 
59331.616938 -6.014780 
59331.669870 -6.249372 
59331.722802 -6.490720 
59331.775733 -6.735120 
59331.828665 -6.978581 
59331.881597 -7.216899 
59331.934529 -7.445744 
59331.987461 -7.660779 
59332.040393 -7.857776 
59332.093324 -8.032753 
59332.146256 -8.182098 
59332.199188 -8.302693 
59332.252120 -8.392017 
59332.305052 -8.448225 
59332.357984 -8.470196 
59332.410915 -8.457550 
59332.463847 -8.410632 
59332.516779 -8.330471 
59332.569711 -8.218705 
59332.622643 -8.077501 
59332.675575 -7.909449 
59332.728506 -7.717470 
59332.781438 -7.504706 
59332.834370 -7.274434 
59332.887302 -7.029982 
59332.940234 -6.774659 
59332.993166 -6.511694 
59333.046097 -6.244199 
59333.099029 -5.975135 
59333.151961 -5.707288 
59333.204893 -5.443262 
59333.257825 -5.185473 
59333.310756 -4.936150 
59333.363688 -4.697341 
59333.416620 -4.470924 
59333.469552 -4.258611 
59333.522484 -4.061966 
59333.575416 -3.882407 
59333.628347 -3.721222 
59333.681279 -3.579572 
59333.734211 -3.458496 
59333.787143 -3.358918 
59333.840075 -3.281640 
59333.893007 -3.227346 
59333.945938 -3.196587 
59333.998870 -3.189778 
59334.051802 -3.207179 
59334.104734 -3.248880 
59334.157666 -3.314777 
59334.210598 -3.404550 
59334.263529 -3.517633 
59334.316461 -3.653189 
59334.369393 -3.810076 
59334.422325 -3.986820 
59334.475257 -4.181591 
59334.528189 -4.392182 
59334.581120 -4.615998 
59334.634052 -4.850054 
59334.686984 -5.090995 
59334.739916 -5.335122 
59334.792848 -5.578450 
59334.845780 -5.816777 
59334.898711 -6.045776 
59334.951643 -6.261108 
59335.004575 -6.458542 
59335.057507 -6.634089 
59335.110439 -6.784128 
59335.163371 -6.905532 
59335.216302 -6.995765 
59335.269234 -7.052967 
59335.322166 -7.076004 
59335.375098 -7.064480 
59335.428030 -7.018727 
59335.480962 -6.939759 
59335.533893 -6.829205 
59335.586825 -6.689220 
59335.639757 -6.522388 
59335.692689 -6.331623 
59335.745621 -6.120064 
59335.798553 -5.890988 
59335.851484 -5.647722 
59335.904416 -5.393575 
59335.957348 -5.131779 
59336.010280 -4.865451 
59336.063212 -4.597552 
59336.116144 -4.330874 
59336.169075 -4.068025 
59336.222007 -3.811425 
59336.274939 -3.563306 
59336.327871 -3.325722 
59336.380803 -3.100553 
59336.433735 -2.889515 
59336.486666 -2.694175 
59336.539598 -2.515955 
59336.592530 -2.356145 
59336.645462 -2.215909 
59336.698394 -2.096289 
59336.751326 -1.998212 
59336.804257 -1.922484 
59336.857189 -1.869788 
59336.910121 -1.840682 
59336.963053 -1.835583 
59337.015985 -1.854755 
59337.068917 -1.898292 
59337.121848 -1.966094 
59337.174780 -2.057846 
59337.227712 -2.172989 
59337.280644 -2.310691 
59337.333576 -2.469816 
59337.386508 -2.648900 
59337.439439 -2.846120 
59337.492371 -3.059277 
59337.545303 -3.285783 
59337.598235 -3.522663 
59337.651167 -3.766569 
59337.704098 -4.013810 
59337.757030 -4.260406 
59337.809962 -4.502157 
59337.862894 -4.734741 
59337.915826 -4.953817 
59337.968758 -5.155151 
59338.021689 -5.334748 
59338.074621 -5.488979 
59338.127553 -5.614706 
59338.180485 -5.709382 
59338.233417 -5.771132 
59338.286349 -5.798807 
59338.339280 -5.791996 
59338.392212 -5.751019 
59338.445144 -5.676875 
59338.498076 -5.571183 
59338.551008 -5.436087 
59338.603940 -5.274166 
59338.656871 -5.088327 
59338.709803 -4.881708 
59338.762735 -4.657581 
59338.815667 -4.419275 
59338.868599 -4.170099 
59338.921531 -3.913290 
59338.974462 -3.651964 
59339.027394 -3.389089 
59339.080326 -3.127459 
59339.133258 -2.869687 
59339.186190 -2.618196 
59339.239122 -2.375224 
59339.292053 -2.142826 
59339.344985 -1.922886 
59339.397917 -1.717125 
59339.450849 -1.527112 
59339.503781 -1.354271 
59339.556713 -1.199897 
59339.609644 -1.065154 
59339.662576 -0.951089 
59339.715508 -0.858629 
59339.768440 -0.788583 
59339.821372 -0.741638 
59339.874304 -0.718353 
59339.927235 -0.719148 
59339.980167 -0.744291 
59340.033099 -0.793878 
59340.086031 -0.867814 
59340.138963 -0.965788 
59340.191895 -1.087247 
59340.244826 -1.231364 
59340.297758 -1.397009 
59340.350690 -1.582725 
59340.403622 -1.786694 
59340.456554 -2.006727 
59340.509486 -2.240244 
59340.562417 -2.484275 
59340.615349 -2.735480 
59340.668281 -2.990174 
59340.721213 -3.244381 
59340.774145 -3.493907 
59340.827077 -3.734426 
59340.880008 -3.961599 
59340.932940 -4.171187 
59340.985872 -4.359189 
59341.038804 -4.521966 
59341.091736 -4.656367 
59341.144668 -4.759833 
59341.197599 -4.830473 
59341.250531 -4.867123 
59341.303463 -4.869356 
59341.356395 -4.837475 
59341.409327 -4.772468 
59341.462259 -4.675939 
59341.515190 -4.550022 
59341.568122 -4.397288 
59341.621054 -4.220636 
59341.673986 -4.023198 
59341.726918 -3.808246 
59341.779850 -3.579106 
59341.832781 -3.339087 
59341.885713 -3.091426 
59341.938645 -2.839243 
59341.991577 -2.585505 
59342.044509 -2.333010 
59342.097441 -2.084373 
59342.150372 -1.842020 
59342.203304 -1.608190 
59342.256236 -1.384941 
59342.309168 -1.174160 
59342.362100 -0.977569 
59342.415031 -0.796738 
59342.467963 -0.633093 
59342.520895 -0.487929 
59342.573827 -0.362413 
59342.626759 -0.257590 
59342.679691 -0.174390 
59342.732622 -0.113621 
59342.785554 -0.075973 
59342.838486 -0.062004 
59342.891418 -0.072136 
59342.944350 -0.106637 
59342.997282 -0.165608 
59343.050213 -0.248954 
59343.103145 -0.356369 
59343.156077 -0.487300 
59343.209009 -0.640926 
59343.261941 -0.816122 
59343.314873 -1.011434 
59343.367804 -1.225053 
59343.420736 -1.454792 
59343.473668 -1.698077 
59343.526600 -1.951948 
59343.579532 -2.213066 
59343.632464 -2.477753 
59343.685395 -2.742035 
59343.738327 -3.001718 
59343.791259 -3.252480 
59343.844191 -3.489975 
59343.897123 -3.709960 
59343.950055 -3.908425 
59344.002986 -4.081721 
59344.055918 -4.226684 
59344.108850 -4.340738 
59344.161782 -4.421979 
59344.214714 -4.469223 
59344.267646 -4.482028 
59344.320577 -4.460678 
59344.373509 -4.406147 
59344.426441 -4.320024 
59344.479373 -4.204432 
59344.532305 -4.061931 
59344.585237 -3.895412 
59344.638168 -3.708003 
59344.691100 -3.502970 
59344.744032 -3.283635 
59344.796964 -3.053309 
59344.849896 -2.815227 
59344.902828 -2.572508 
59344.955759 -2.328123 
59345.008691 -2.084870 
59345.061623 -1.845365 
59345.114555 -1.612035 
59345.167487 -1.387122 
59345.220419 -1.172686 
59345.273350 -0.970613 
59345.326282 -0.782627 
59345.379214 -0.610298 
59345.432146 -0.455055 
59345.485078 -0.318190 
59345.538010 -0.200872 
59345.590941 -0.104148 
59345.643873 -0.028944 
59345.696805 0.023928 
59345.749737 0.053779 
59345.802669 0.060051 
59345.855601 0.042320 
59345.908532 0.000317 
59345.961464 -0.066059 
59346.014396 -0.156717 
59346.067328 -0.271352 
59346.120260 -0.409416 
59346.173192 -0.570089 
59346.226123 -0.752253 
59346.279055 -0.954459 
59346.331987 -1.174901 
59346.384919 -1.411400 
59346.437851 -1.661388 
59346.490783 -1.921909 
59346.543714 -2.189633 
59346.596646 -2.460882 
59346.649578 -2.731690 
59346.702510 -2.997862 
59346.755442 -3.255077 
59346.808373 -3.498986 
59346.861305 -3.725342 
59346.914237 -3.930126 
59346.967169 -4.109680 
59347.020101 -4.260827 
59347.073033 -4.380977 
59347.125964 -4.468209 
59347.178896 -4.521323 
59347.231828 -4.539860 
59347.284760 -4.524091 
59347.337692 -4.474972 
59347.390624 -4.394080 
59347.443555 -4.283528 
59347.496487 -4.145865 
59347.549419 -3.983977 
59347.602351 -3.800985 
59347.655283 -3.600153 
59347.708215 -3.384803 
59347.761146 -3.158242 
59347.814078 -2.923709 
59347.867010 -2.684324 
59347.919942 -2.443059 
59347.972874 -2.202717 
59348.025806 -1.965915 
59348.078737 -1.735085 
59348.131669 -1.512470 
59348.184601 -1.300134 
59348.237533 -1.099965 
59348.290465 -0.913690 
59348.343397 -0.742881 
59348.396328 -0.588969 
59348.449260 -0.453250 
59348.502192 -0.336893 
59348.555124 -0.240948 
59348.608056 -0.166343 
59348.660988 -0.113892 
59348.713919 -0.084284 
59348.766851 -0.078084 
59348.819783 -0.095715 
59348.872715 -0.137451 
59348.925647 -0.203395 
59348.978579 -0.293461 
59349.031510 -0.407349 
59349.084442 -0.544515 
59349.137374 -0.704147 
59349.190306 -0.885131 
59349.243238 -1.086026 
59349.296170 -1.305034 
59349.349101 -1.539985 
59349.402033 -1.788318 
59349.454965 -2.047085 
59349.507897 -2.312963 
59349.560829 -2.582284 
59349.613761 -2.851085 
59349.666692 -3.115177 
59349.719624 -3.370239 
59349.772556 -3.611924 
59349.825488 -3.835982 
59349.878420 -4.038388 
59349.931352 -4.215477 
59349.984283 -4.364061 
59350.037215 -4.481539 
59350.090147 -4.565976 
59350.143079 -4.616159 
59350.196011 -4.631614 
59350.248943 -4.612598 
59350.301874 -4.560056 
59350.354806 -4.475555 
59350.407738 -4.361197 
59350.460670 -4.219525 
59350.513602 -4.053421 
59350.566534 -3.866004 
59350.619465 -3.660536 
59350.672397 -3.440340 
59350.725329 -3.208726 
59350.778261 -2.968935 
59350.831193 -2.724094 
59350.884125 -2.477177 
59350.937056 -2.230993 
59350.989988 -1.988164 
59351.042920 -1.751128 
59351.095852 -1.522134 
59351.148784 -1.303249 
59351.201715 -1.096369 
59351.254647 -0.903223 
59351.307579 -0.725391 
59351.360511 -0.564305 
59351.413443 -0.421268 
59351.466375 -0.297453 
59351.519306 -0.193912 
59351.572238 -0.111580 
59351.625170 -0.051275 
59351.678102 -0.013690 
59351.731034 0.000607 
59351.783966 -0.008814 
59351.836897 -0.042232 
59351.889829 -0.099755 
59351.942761 -0.181304 
59351.995693 -0.286585 
59352.048625 -0.415061 
59352.101557 -0.565928 
59352.154488 -0.738082 
59352.207420 -0.930088 
59352.260352 -1.140162 
59352.313284 -1.366139 
59352.366216 -1.605472 
