# time model 
59329.394057 0.747752 
59329.405285 0.748200 
59329.416513 0.748650 
59329.427741 0.749101 
59329.438969 0.749554 
59329.450197 0.750007 
59329.461424 0.750462 
59329.472652 0.750918 
59329.483880 0.751375 
59329.495108 0.751833 
59329.506336 0.752292 
59329.517564 0.752753 
59329.528792 0.753214 
59329.540020 0.753677 
59329.551247 0.754141 
59329.562475 0.754606 
59329.573703 0.755073 
59329.584931 0.755540 
59329.596159 0.756009 
59329.607387 0.756478 
59329.618615 0.756949 
59329.629842 0.757421 
59329.641070 0.757894 
59329.652298 0.758368 
59329.663526 0.758844 
59329.674754 0.759320 
59329.685982 0.759797 
59329.697210 0.760276 
59329.708438 0.760756 
59329.719665 0.761236 
59329.730893 0.761718 
59329.742121 0.762201 
59329.753349 0.762685 
59329.764577 0.763170 
59329.775805 0.763656 
59329.787033 0.764143 
59329.798261 0.764631 
59329.809488 0.765120 
59329.820716 0.765610 
59329.831944 0.766101 
59329.843172 0.766593 
59329.854400 0.767086 
59329.865628 0.767581 
59329.876856 0.768076 
59329.888084 0.768572 
59329.899311 0.769069 
59329.910539 0.769568 
59329.921767 0.770067 
59329.932995 0.770567 
59329.944223 0.771068 
59329.955451 0.771570 
59329.966679 0.772073 
59329.977906 0.772577 
59329.989134 0.773082 
59330.000362 0.773588 
59330.011590 0.774095 
59330.022818 0.774603 
59330.034046 0.775112 
59330.045274 0.775622 
59330.056502 0.776132 
59330.067729 0.776644 
59330.078957 0.777156 
59330.090185 0.777670 
59330.101413 0.778184 
59330.112641 0.778699 
59330.123869 0.779215 
59330.135097 0.779732 
59330.146325 0.780250 
59330.157552 0.780769 
59330.168780 0.781289 
59330.180008 0.781809 
59330.191236 0.782330 
59330.202464 0.782853 
59330.213692 0.783376 
59330.224920 0.783900 
59330.236148 0.784424 
59330.247375 0.784950 
59330.258603 0.785477 
59330.269831 0.786004 
59330.281059 0.786532 
59330.292287 0.787061 
59330.303515 0.787591 
59330.314743 0.788121 
59330.325970 0.788653 
59330.337198 0.789185 
59330.348426 0.789718 
59330.359654 0.790251 
59330.370882 0.790786 
59330.382110 0.791321 
59330.393338 0.791857 
59330.404566 0.792394 
59330.415793 0.792932 
59330.427021 0.793470 
59330.438249 0.794009 
59330.449477 0.794549 
59330.460705 0.795090 
59330.471933 0.795631 
59330.483161 0.796173 
59330.494389 0.796716 
59330.505616 0.797260 
59330.516844 0.797804 
59330.528072 0.798349 
59330.539300 0.798895 
59330.550528 0.799441 
59330.561756 0.799988 
59330.572984 0.800536 
59330.584211 0.801085 
59330.595439 0.801634 
59330.606667 0.802184 
59330.617895 0.802734 
59330.629123 0.803285 
59330.640351 0.803837 
59330.651579 0.804390 
59330.662807 0.804943 
59330.674034 0.805497 
59330.685262 0.806051 
59330.696490 0.806606 
59330.707718 0.807162 
59330.718946 0.807718 
59330.730174 0.808275 
59330.741402 0.808833 
59330.752630 0.809391 
59330.763857 0.809950 
59330.775085 0.810509 
59330.786313 0.811069 
59330.797541 0.811630 
59330.808769 0.812191 
59330.819997 0.812753 
59330.831225 0.813315 
59330.842453 0.813878 
59330.853680 0.814441 
59330.864908 0.815005 
59330.876136 0.815570 
59330.887364 0.816135 
59330.898592 0.816701 
59330.909820 0.817267 
59330.921048 0.817834 
59330.932275 0.818401 
59330.943503 0.818969 
59330.954731 0.819537 
59330.965959 0.820106 
59330.977187 0.820675 
59330.988415 0.821245 
59330.999643 0.821815 
59331.010871 0.822386 
59331.022098 0.822957 
59331.033326 0.823529 
59331.044554 0.824101 
59331.055782 0.824674 
59331.067010 0.825247 
59331.078238 0.825821 
59331.089466 0.826395 
59331.100694 0.826970 
59331.111921 0.827545 
59331.123149 0.828120 
59331.134377 0.828696 
59331.145605 0.829272 
59331.156833 0.829849 
59331.168061 0.830426 
59331.179289 0.831004 
59331.190517 0.831582 
59331.201744 0.832160 
59331.212972 0.832739 
59331.224200 0.833318 
59331.235428 0.833898 
59331.246656 0.834478 
59331.257884 0.835058 
59331.269112 0.835639 
59331.280339 0.836220 
59331.291567 0.836801 
59331.302795 0.837383 
59331.314023 0.837965 
59331.325251 0.838548 
59331.336479 0.839131 
59331.347707 0.839714 
59331.358935 0.840297 
59331.370162 0.840881 
59331.381390 0.841465 
59331.392618 0.842050 
59331.403846 0.842634 
59331.415074 0.843219 
59331.426302 0.843805 
59331.437530 0.844390 
59331.448758 0.844976 
59331.459985 0.845562 
59331.471213 0.846149 
59331.482441 0.846736 
59331.493669 0.847323 
59331.504897 0.847910 
59331.516125 0.848498 
59331.527353 0.849085 
59331.538580 0.849673 
59331.549808 0.850262 
59331.561036 0.850850 
59331.572264 0.851439 
59331.583492 0.852028 
59331.594720 0.852617 
59331.605948 0.853206 
59331.617176 0.853796 
59331.628403 0.854386 
59331.639631 0.854976 
59331.650859 0.855566 
59331.662087 0.856156 
59331.673315 0.856747 
59331.684543 0.857338 
59331.695771 0.857929 
59331.706999 0.858520 
59331.718226 0.859111 
59331.729454 0.859702 
59331.740682 0.860294 
59331.751910 0.860886 
59331.763138 0.861477 
59331.774366 0.862069 
59331.785594 0.862661 
59331.796822 0.863254 
59331.808049 0.863846 
59331.819277 0.864438 
59331.830505 0.865031 
59331.841733 0.865624 
59331.852961 0.866216 
59331.864189 0.866809 
59331.875417 0.867402 
59331.886644 0.867995 
59331.897872 0.868588 
59331.909100 0.869181 
59331.920328 0.869774 
59331.931556 0.870368 
59331.942784 0.870961 
59331.954012 0.871554 
59331.965240 0.872148 
59331.976467 0.872741 
59331.987695 0.873334 
59331.998923 0.873928 
59332.010151 0.874521 
59332.021379 0.875115 
59332.032607 0.875708 
59332.043835 0.876302 
59332.055063 0.876896 
59332.066290 0.877489 
59332.077518 0.878083 
59332.088746 0.878676 
59332.099974 0.879269 
59332.111202 0.879863 
59332.122430 0.880456 
59332.133658 0.881050 
59332.144886 0.881643 
59332.156113 0.882236 
59332.167341 0.882829 
59332.178569 0.883423 
59332.189797 0.884016 
59332.201025 0.884609 
59332.212253 0.885202 
59332.223481 0.885794 
59332.234708 0.886387 
59332.245936 0.886980 
59332.257164 0.887572 
59332.268392 0.888165 
59332.279620 0.888757 
59332.290848 0.889349 
59332.302076 0.889941 
59332.313304 0.890533 
59332.324531 0.891125 
59332.335759 0.891717 
59332.346987 0.892308 
59332.358215 0.892900 
59332.369443 0.893491 
59332.380671 0.894082 
59332.391899 0.894673 
59332.403127 0.895264 
59332.414354 0.895854 
59332.425582 0.896445 
59332.436810 0.897035 
59332.448038 0.897625 
59332.459266 0.898215 
59332.470494 0.898804 
59332.481722 0.899394 
59332.492950 0.899983 
59332.504177 0.900572 
59332.515405 0.901161 
59332.526633 0.901749 
59332.537861 0.902338 
59332.549089 0.902926 
59332.560317 0.903513 
59332.571545 0.904101 
59332.582772 0.904688 
59332.594000 0.905275 
59332.605228 0.905862 
59332.616456 0.906448 
59332.627684 0.907034 
59332.638912 0.907620 
59332.650140 0.908206 
59332.661368 0.908791 
59332.672595 0.909376 
59332.683823 0.909961 
59332.695051 0.910545 
59332.706279 0.911129 
59332.717507 0.911713 
59332.728735 0.912296 
59332.739963 0.912879 
59332.751191 0.913462 
59332.762418 0.914044 
59332.773646 0.914626 
59332.784874 0.915208 
59332.796102 0.915789 
59332.807330 0.916370 
59332.818558 0.916951 
59332.829786 0.917531 
59332.841013 0.918111 
59332.852241 0.918690 
59332.863469 0.919269 
59332.874697 0.919847 
59332.885925 0.920426 
59332.897153 0.921003 
59332.908381 0.921581 
59332.919609 0.922157 
59332.930836 0.922734 
59332.942064 0.923310 
59332.953292 0.923885 
59332.964520 0.924461 
59332.975748 0.925035 
59332.986976 0.925609 
59332.998204 0.926183 
59333.009432 0.926756 
59333.020659 0.927329 
59333.031887 0.927902 
59333.043115 0.928473 
59333.054343 0.929045 
59333.065571 0.929615 
59333.076799 0.930186 
59333.088027 0.930756 
59333.099255 0.931325 
59333.110482 0.931894 
59333.121710 0.932462 
59333.132938 0.933030 
59333.144166 0.933597 
59333.155394 0.934163 
59333.166622 0.934729 
59333.177850 0.935295 
59333.189077 0.935860 
59333.200305 0.936424 
59333.211533 0.936988 
59333.222761 0.937551 
59333.233989 0.938114 
59333.245217 0.938676 
59333.256445 0.939237 
59333.267673 0.939798 
59333.278900 0.940358 
59333.290128 0.940918 
59333.301356 0.941477 
59333.312584 0.942035 
59333.323812 0.942593 
59333.335040 0.943150 
59333.346268 0.943707 
59333.357496 0.944263 
59333.368723 0.944818 
59333.379951 0.945372 
59333.391179 0.945926 
59333.402407 0.946479 
59333.413635 0.947032 
59333.424863 0.947584 
59333.436091 0.948135 
59333.447319 0.948685 
59333.458546 0.949235 
