# time model 
59318.211098 -8.463198 
59318.222326 -8.450218 
59318.233554 -8.435870 
59318.244782 -8.420155 
59318.256009 -8.403079 
59318.267237 -8.384647 
59318.278465 -8.364866 
59318.289693 -8.343743 
59318.300921 -8.321287 
59318.312149 -8.297509 
59318.323377 -8.272420 
59318.334605 -8.246032 
59318.345832 -8.218360 
59318.357060 -8.189418 
59318.368288 -8.159221 
59318.379516 -8.127787 
59318.390744 -8.095134 
59318.401972 -8.061282 
59318.413200 -8.026249 
59318.424428 -7.990057 
59318.435655 -7.952729 
59318.446883 -7.914286 
59318.458111 -7.874754 
59318.469339 -7.834156 
59318.480567 -7.792519 
59318.491795 -7.749869 
59318.503023 -7.706233 
59318.514251 -7.661638 
59318.525478 -7.616114 
59318.536706 -7.569689 
59318.547934 -7.522395 
59318.559162 -7.474260 
59318.570390 -7.425316 
59318.581618 -7.375595 
59318.592846 -7.325128 
59318.604073 -7.273948 
59318.615301 -7.222088 
59318.626529 -7.169581 
59318.637757 -7.116460 
59318.648985 -7.062760 
59318.660213 -7.008513 
59318.671441 -6.953755 
59318.682669 -6.898519 
59318.693896 -6.842840 
59318.705124 -6.786752 
59318.716352 -6.730290 
59318.727580 -6.673490 
59318.738808 -6.616384 
59318.750036 -6.559008 
59318.761264 -6.501395 
59318.772492 -6.443582 
59318.783719 -6.385600 
59318.794947 -6.327486 
59318.806175 -6.269271 
59318.817403 -6.210990 
59318.828631 -6.152676 
59318.839859 -6.094361 
59318.851087 -6.036080 
59318.862314 -5.977863 
59318.873542 -5.919742 
59318.884770 -5.861750 
59318.895998 -5.803918 
59318.907226 -5.746275 
59318.918454 -5.688853 
59318.929682 -5.631681 
59318.940910 -5.574789 
59318.952137 -5.518205 
59318.963365 -5.461958 
59318.974593 -5.406075 
59318.985821 -5.350585 
59318.997049 -5.295513 
59319.008277 -5.240887 
59319.019505 -5.186731 
59319.030733 -5.133071 
59319.041960 -5.079932 
59319.053188 -5.027337 
59319.064416 -4.975310 
59319.075644 -4.923874 
59319.086872 -4.873051 
59319.098100 -4.822862 
59319.109328 -4.773330 
59319.120556 -4.724473 
59319.131783 -4.676313 
59319.143011 -4.628868 
59319.154239 -4.582158 
59319.165467 -4.536200 
59319.176695 -4.491012 
