# time model 
59318.650141 -2.265576 
59318.687751 -2.071024 
59318.725361 -1.858633 
59318.762971 -1.631887 
59318.800582 -1.394419 
59318.838192 -1.149874 
59318.875802 -0.901782 
59318.913412 -0.653449 
59318.951022 -0.407884 
59318.988632 -0.167744 
59319.026243 0.064689 
59319.063853 0.287517 
59319.101463 0.499210 
59319.139073 0.698582 
59319.176683 0.884756 
59319.214293 1.057128 
59319.251903 1.215327 
59319.289514 1.359175 
59319.327124 1.488658 
59319.364734 1.603885 
59319.402344 1.705064 
59319.439954 1.792479 
59319.477564 1.866467 
59319.515175 1.927398 
59319.552785 1.975670 
59319.590395 2.011686 
59319.628005 2.035853 
59319.665615 2.048576 
59319.703225 2.050245 
59319.740836 2.041241 
59319.778446 2.021925 
59319.816056 1.992644 
59319.853666 1.953724 
59319.891276 1.905473 
59319.928886 1.848184 
59319.966496 1.782128 
59320.004107 1.707566 
59320.041717 1.624742 
59320.079327 1.533888 
59320.116937 1.435230 
59320.154547 1.328986 
59320.192157 1.215370 
59320.229768 1.094600 
59320.267378 0.966896 
59320.304988 0.832489 
59320.342598 0.691625 
59320.380208 0.544571 
59320.417818 0.391619 
59320.455428 0.233101 
59320.493039 0.069389 
59320.530649 -0.099093 
59320.568259 -0.271854 
59320.605869 -0.448331 
59320.643479 -0.627873 
59320.681089 -0.809728 
59320.718700 -0.993030 
59320.756310 -1.176786 
59320.793920 -1.359856 
59320.831530 -1.540949 
59320.869140 -1.718604 
59320.906750 -1.891188 
59320.944360 -2.056890 
59320.981971 -2.213728 
59321.019581 -2.359561 
59321.057191 -2.492114 
59321.094801 -2.609021 
59321.132411 -2.707872 
59321.170021 -2.786290 
59321.207632 -2.842014 
59321.245242 -2.872996 
59321.282852 -2.877512 
59321.320462 -2.854264 
59321.358072 -2.802482 
59321.395682 -2.722009 
59321.433293 -2.613350 
59321.470903 -2.477692 
59321.508513 -2.316886 
59321.546123 -2.133381 
59321.583733 -1.930127 
59321.621343 -1.710453 
59321.658953 -1.477921 
59321.696564 -1.236187 
59321.734174 -0.988861 
59321.771784 -0.739393 
59321.809394 -0.490974 
59321.847004 -0.246472 
59321.884614 -0.008389 
59321.922225 0.221151 
59321.959835 0.440406 
59321.997445 0.647992 
59322.035055 0.842854 
59322.072665 1.024234 
59322.110275 1.191628 
59322.147885 1.344751 
59322.185496 1.483496 
59322.223106 1.607904 
59322.260716 1.718127 
59322.298326 1.814409 
59322.335936 1.897057 
59322.373546 1.966423 
59322.411157 2.022892 
59322.448767 2.066862 
59322.486377 2.098742 
59322.523987 2.118937 
59322.561597 2.127845 
59322.599207 2.125855 
59322.636817 2.113338 
59322.674428 2.090651 
59322.712038 2.058130 
59322.749648 2.016095 
59322.787258 1.964846 
59322.824868 1.904669 
59322.862478 1.835828 
59322.900089 1.758578 
59322.937699 1.673158 
59322.975309 1.579796 
59323.012919 1.478715 
59323.050529 1.370130 
59323.088139 1.254257 
59323.125750 1.131314 
59323.163360 1.001524 
59323.200970 0.865124 
59323.238580 0.722368 
59323.276190 0.573532 
59323.313800 0.418924 
59323.351410 0.258890 
59323.389021 0.093824 
59323.426631 -0.075824 
59323.464241 -0.249535 
59323.501851 -0.426712 
59323.539461 -0.606662 
59323.577071 -0.788590 
59323.614682 -0.971578 
59323.652292 -1.154573 
59323.689902 -1.336375 
59323.727512 -1.515624 
59323.765122 -1.690788 
59323.802732 -1.860160 
59323.840342 -2.021858 
59323.877953 -2.173831 
59323.915563 -2.313879 
59323.953173 -2.439685 
59323.990783 -2.548855 
59324.028393 -2.638986 
59324.066003 -2.707737 
59324.103614 -2.752922 
59324.141224 -2.772615 
59324.178834 -2.765255 
59324.216444 -2.729752 
59324.254054 -2.665583 
59324.291664 -2.572860 
59324.329274 -2.452370 
59324.366885 -2.305581 
59324.404495 -2.134601 
59324.442105 -1.942101 
59324.479715 -1.731205 
59324.517325 -1.505355 
59324.554935 -1.268170 
59324.592546 -1.023303 
59324.630156 -0.774311 
59324.667766 -0.524546 
59324.705376 -0.277071 
59324.742986 -0.034607 
59324.780596 0.200499 
59324.818207 0.426285 
59324.855817 0.641158 
59324.893427 0.843875 
59324.931037 1.033509 
59324.968647 1.209412 
59325.006257 1.371176 
59325.043867 1.518593 
59325.081478 1.651621 
59325.119088 1.770351 
59325.156698 1.874976 
59325.194308 1.965770 
59325.231918 2.043058 
59325.269528 2.107210 
59325.307139 2.158616 
59325.344749 2.197680 
59325.382359 2.224810 
59325.419969 2.240410 
