# time model 
59329.481866 -0.302718 
59329.519476 -0.302157 
59329.557086 -0.301571 
59329.594696 -0.300961 
59329.632306 -0.300326 
59329.669917 -0.299668 
59329.707527 -0.298984 
59329.745137 -0.298277 
59329.782747 -0.297545 
59329.820357 -0.296789 
59329.857967 -0.296009 
59329.895578 -0.295206 
59329.933188 -0.294378 
59329.970798 -0.293526 
59330.008408 -0.292650 
59330.046018 -0.291751 
59330.083628 -0.290828 
59330.121238 -0.289882 
59330.158849 -0.288911 
59330.196459 -0.287918 
59330.234069 -0.286901 
59330.271679 -0.285861 
59330.309289 -0.284797 
59330.346899 -0.283711 
59330.384510 -0.282601 
59330.422120 -0.281468 
59330.459730 -0.280313 
59330.497340 -0.279135 
59330.534950 -0.277934 
59330.572560 -0.276710 
59330.610170 -0.275464 
59330.647781 -0.274196 
59330.685391 -0.272905 
59330.723001 -0.271592 
59330.760611 -0.270256 
59330.798221 -0.268899 
59330.835831 -0.267520 
59330.873442 -0.266119 
59330.911052 -0.264696 
59330.948662 -0.263252 
59330.986272 -0.261786 
59331.023882 -0.260299 
59331.061492 -0.258790 
59331.099102 -0.257260 
59331.136713 -0.255709 
59331.174323 -0.254137 
59331.211933 -0.252544 
59331.249543 -0.250931 
59331.287153 -0.249296 
59331.324763 -0.247642 
59331.362374 -0.245966 
59331.399984 -0.244271 
59331.437594 -0.242555 
59331.475204 -0.240820 
59331.512814 -0.239064 
59331.550424 -0.237288 
59331.588035 -0.235493 
59331.625645 -0.233679 
59331.663255 -0.231845 
59331.700865 -0.229991 
59331.738475 -0.228118 
59331.776085 -0.226227 
59331.813695 -0.224316 
59331.851306 -0.222387 
59331.888916 -0.220439 
59331.926526 -0.218472 
59331.964136 -0.216487 
59332.001746 -0.214484 
59332.039356 -0.212463 
59332.076967 -0.210424 
59332.114577 -0.208366 
59332.152187 -0.206292 
59332.189797 -0.204199 
59332.227407 -0.202089 
59332.265017 -0.199962 
59332.302627 -0.197818 
