# time model 
59318.650141 2.878118 
59318.687751 3.007759 
59318.725361 3.157504 
59318.762971 3.325587 
59318.800582 3.509991 
59318.838192 3.708504 
59318.875802 3.918778 
59318.913412 4.138391 
59318.951022 4.364904 
59318.988632 4.595916 
59319.026243 4.829108 
59319.063853 5.062283 
59319.101463 5.293396 
59319.139073 5.520576 
59319.176683 5.742138 
59319.214293 5.956586 
59319.251903 6.162621 
59319.289514 6.359125 
59319.327124 6.545159 
59319.364734 6.719951 
59319.402344 6.882878 
59319.439954 7.033454 
59319.477564 7.171316 
59319.515175 7.296205 
59319.552785 7.407959 
59319.590395 7.506494 
59319.628005 7.591792 
59319.665615 7.663896 
59319.703225 7.722894 
59319.740836 7.768913 
59319.778446 7.802113 
59319.816056 7.822681 
59319.853666 7.830824 
59319.891276 7.826765 
59319.928886 7.810745 
59319.966496 7.783014 
59320.004107 7.743834 
59320.041717 7.693477 
59320.079327 7.632227 
59320.116937 7.560376 
59320.154547 7.478233 
59320.192157 7.386117 
59320.229768 7.284367 
59320.267378 7.173342 
59320.304988 7.053424 
59320.342598 6.925025 
59320.380208 6.788588 
59320.417818 6.644597 
59320.455428 6.493579 
59320.493039 6.336110 
59320.530649 6.172826 
59320.568259 6.004426 
59320.605869 5.831678 
59320.643479 5.655432 
59320.681089 5.476620 
59320.718700 5.296265 
59320.756310 5.115488 
59320.793920 4.935508 
59320.831530 4.757646 
59320.869140 4.583328 
59320.906750 4.414073 
59320.944360 4.251494 
59320.981971 4.097281 
59321.019581 3.953187 
59321.057191 3.821004 
59321.094801 3.702534 
59321.132411 3.599559 
59321.170021 3.513796 
59321.207632 3.446860 
59321.245242 3.400210 
59321.282852 3.375106 
59321.320462 3.372558 
59321.358072 3.393287 
59321.395682 3.437683 
59321.433293 3.505781 
59321.470903 3.597243 
59321.508513 3.711352 
59321.546123 3.847028 
59321.583733 4.002847 
59321.621343 4.177081 
59321.658953 4.367742 
59321.696564 4.572640 
59321.734174 4.789441 
59321.771784 5.015728 
59321.809394 5.249057 
59321.847004 5.487016 
59321.884614 5.727269 
59321.922225 5.967598 
59321.959835 6.205932 
59321.997445 6.440372 
59322.035055 6.669201 
59322.072665 6.890897 
59322.110275 7.104127 
59322.147885 7.307749 
59322.185496 7.500795 
59322.223106 7.682467 
59322.260716 7.852121 
59322.298326 8.009249 
59322.335936 8.153470 
59322.373546 8.284509 
59322.411157 8.402189 
59322.448767 8.506413 
59322.486377 8.597154 
59322.523987 8.674443 
59322.561597 8.738362 
59322.599207 8.789031 
59322.636817 8.826605 
59322.674428 8.851264 
59322.712038 8.863211 
59322.749648 8.862668 
59322.787258 8.849870 
59322.824868 8.825065 
59322.862478 8.788512 
59322.900089 8.740481 
59322.937699 8.681252 
59322.975309 8.611117 
59323.012919 8.530378 
59323.050529 8.439353 
59323.088139 8.338378 
59323.125750 8.227808 
59323.163360 8.108019 
59323.200970 7.979419 
59323.238580 7.842445 
59323.276190 7.697575 
59323.313800 7.545326 
59323.351410 7.386270 
59323.389021 7.221031 
59323.426631 7.050298 
59323.464241 6.874830 
59323.501851 6.695463 
59323.539461 6.513117 
59323.577071 6.328801 
59323.614682 6.143622 
59323.652292 5.958784 
59323.689902 5.775595 
59323.727512 5.595464 
59323.765122 5.419898 
59323.802732 5.250498 
59323.840342 5.088943 
59323.877953 4.936978 
59323.915563 4.796392 
59323.953173 4.668988 
59323.990783 4.556554 
59324.028393 4.460819 
59324.066003 4.383415 
59324.103614 4.325828 
59324.141224 4.289350 
59324.178834 4.275031 
59324.216444 4.283636 
59324.254054 4.315606 
59324.291664 4.371028 
59324.329274 4.449619 
59324.366885 4.550719 
59324.404495 4.673299 
59324.442105 4.815983 
59324.479715 4.977085 
59324.517325 5.154654 
59324.554935 5.346525 
59324.592546 5.550383 
59324.630156 5.763819 
59324.667766 5.984394 
59324.705376 6.209687 
59324.742986 6.437352 
59324.780596 6.665152 
59324.818207 6.890996 
59324.855817 7.112959 
59324.893427 7.329302 
59324.931037 7.538474 
59324.968647 7.739119 
59325.006257 7.930067 
59325.043867 8.110331 
59325.081478 8.279089 
59325.119088 8.435679 
59325.156698 8.579576 
59325.194308 8.710383 
59325.231918 8.827815 
59325.269528 8.931683 
59325.307139 9.021881 
59325.344749 9.098375 
59325.382359 9.161192 
59325.419969 9.210408 
59325.457579 9.246141 
59325.495189 9.268545 
59325.532799 9.277798 
59325.570410 9.274104 
59325.608020 9.257684 
59325.645630 9.228774 
59325.683240 9.187623 
59325.720850 9.134493 
59325.758460 9.069653 
59325.796071 8.993386 
59325.833681 8.905984 
59325.871291 8.807751 
59325.908901 8.699007 
59325.946511 8.580086 
59325.984121 8.451343 
59326.021731 8.313157 
59326.059342 8.165931 
59326.096952 8.010103 
59326.134562 7.846147 
59326.172172 7.674578 
59326.209782 7.495962 
