# time model 
59329.481866 0.308291 
59329.519476 0.248142 
59329.557086 0.186450 
59329.594696 0.123277 
59329.632306 0.058687 
59329.669917 -0.007253 
59329.707527 -0.074476 
59329.745137 -0.142909 
59329.782747 -0.212481 
59329.820357 -0.283116 
59329.857967 -0.354738 
59329.895578 -0.427269 
59329.933188 -0.500627 
59329.970798 -0.574732 
59330.008408 -0.649500 
59330.046018 -0.724846 
59330.083628 -0.800686 
59330.121238 -0.876933 
59330.158849 -0.953497 
59330.196459 -1.030291 
59330.234069 -1.107226 
59330.271679 -1.184210 
59330.309289 -1.261153 
59330.346899 -1.337965 
59330.384510 -1.414554 
59330.422120 -1.490828 
59330.459730 -1.566695 
59330.497340 -1.642065 
59330.534950 -1.716845 
59330.572560 -1.790945 
59330.610170 -1.864275 
59330.647781 -1.936744 
59330.685391 -2.008263 
59330.723001 -2.078744 
59330.760611 -2.148099 
59330.798221 -2.216241 
59330.835831 -2.283087 
59330.873442 -2.348550 
59330.911052 -2.412550 
59330.948662 -2.475004 
59330.986272 -2.535834 
59331.023882 -2.594961 
59331.061492 -2.652311 
59331.099102 -2.707808 
59331.136713 -2.761381 
59331.174323 -2.812961 
59331.211933 -2.862479 
59331.249543 -2.909871 
59331.287153 -2.955074 
59331.324763 -2.998028 
59331.362374 -3.038675 
59331.399984 -3.076960 
59331.437594 -3.112830 
59331.475204 -3.146237 
59331.512814 -3.177134 
59331.550424 -3.205477 
59331.588035 -3.231226 
59331.625645 -3.254343 
59331.663255 -3.274793 
59331.700865 -3.292546 
59331.738475 -3.307573 
59331.776085 -3.319849 
59331.813695 -3.329354 
59331.851306 -3.336068 
59331.888916 -3.339976 
59331.926526 -3.341068 
59331.964136 -3.339334 
59332.001746 -3.334771 
59332.039356 -3.327376 
59332.076967 -3.317151 
59332.114577 -3.304102 
59332.152187 -3.288238 
59332.189797 -3.269569 
59332.227407 -3.248113 
59332.265017 -3.223886 
59332.302627 -3.196912 
59332.340238 -3.167215 
59332.377848 -3.134825 
59332.415458 -3.099771 
59332.453068 -3.062091 
59332.490678 -3.021820 
59332.528288 -2.979001 
59332.565899 -2.933676 
59332.603509 -2.885894 
59332.641119 -2.835704 
59332.678729 -2.783158 
59332.716339 -2.728311 
59332.753949 -2.671222 
59332.791559 -2.611950 
59332.829170 -2.550560 
59332.866780 -2.487116 
59332.904390 -2.421686 
59332.942000 -2.354341 
59332.979610 -2.285151 
59333.017220 -2.214192 
59333.054831 -2.141539 
59333.092441 -2.067270 
59333.130051 -1.991465 
59333.167661 -1.914206 
59333.205271 -1.835575 
59333.242881 -1.755656 
59333.280492 -1.674534 
59333.318102 -1.592298 
59333.355712 -1.509033 
59333.393322 -1.424830 
59333.430932 -1.339777 
59333.468542 -1.253965 
59333.506152 -1.167484 
59333.543763 -1.080427 
59333.581373 -0.992885 
59333.618983 -0.904949 
59333.656593 -0.816713 
59333.694203 -0.728267 
59333.731813 -0.639705 
59333.769424 -0.551118 
59333.807034 -0.462597 
59333.844644 -0.374233 
59333.882254 -0.286117 
59333.919864 -0.198339 
59333.957474 -0.110987 
59333.995084 -0.024149 
59334.032695 0.062088 
59334.070305 0.147637 
59334.107915 0.232415 
59334.145525 0.316338 
59334.183135 0.399325 
59334.220745 0.481294 
59334.258356 0.562168 
59334.295966 0.641870 
59334.333576 0.720325 
59334.371186 0.797459 
59334.408796 0.873201 
59334.446406 0.947483 
59334.484016 1.020237 
59334.521627 1.091400 
59334.559237 1.160908 
59334.596847 1.228702 
59334.634457 1.294724 
59334.672067 1.358920 
59334.709677 1.421237 
59334.747288 1.481625 
59334.784898 1.540037 
59334.822508 1.596429 
59334.860118 1.650758 
59334.897728 1.702988 
59334.935338 1.753080 
59334.972949 1.801002 
59335.010559 1.846725 
59335.048169 1.890220 
59335.085779 1.931462 
59335.123389 1.970432 
59335.160999 2.007109 
59335.198609 2.041479 
59335.236220 2.073528 
59335.273830 2.103247 
59335.311440 2.130630 
59335.349050 2.155671 
59335.386660 2.178371 
59335.424270 2.198731 
59335.461881 2.216756 
59335.499491 2.232454 
59335.537101 2.245834 
59335.574711 2.256911 
59335.612321 2.265700 
59335.649931 2.272219 
59335.687541 2.276489 
59335.725152 2.278536 
59335.762762 2.278384 
59335.800372 2.276062 
59335.837982 2.271602 
59335.875592 2.265038 
59335.913202 2.256404 
59335.950813 2.245739 
59335.988423 2.233083 
59336.026033 2.218478 
59336.063643 2.201969 
59336.101253 2.183601 
59336.138863 2.163422 
59336.176473 2.141483 
59336.214084 2.117833 
