# time model 
59318.650141 -2.053856 
59318.687751 -1.808917 
59318.725361 -1.537617 
59318.762971 -1.247834 
59318.800582 -0.947885 
59318.838192 -0.645822 
59318.875802 -0.348861 
59318.913412 -0.063003 
59318.951022 0.207129 
59318.988632 0.458282 
59319.026243 0.688443 
59319.063853 0.896632 
59319.101463 1.082681 
59319.139073 1.247023 
59319.176683 1.390502 
59319.214293 1.514224 
59319.251903 1.619440 
59319.289514 1.707457 
59319.327124 1.779580 
59319.364734 1.837073 
59319.402344 1.881126 
59319.439954 1.912849 
59319.477564 1.933260 
59319.515175 1.943285 
59319.552785 1.943763 
59319.590395 1.935444 
59319.628005 1.919000 
59319.665615 1.895028 
59319.703225 1.864059 
59319.740836 1.826559 
59319.778446 1.782941 
59319.816056 1.733567 
59319.853666 1.678751 
59319.891276 1.618768 
59319.928886 1.553856 
59319.966496 1.484217 
59320.004107 1.410027 
59320.041717 1.331432 
59320.079327 1.248556 
59320.116937 1.161497 
59320.154547 1.070342 
59320.192157 0.975155 
59320.229768 0.875986 
59320.267378 0.772875 
59320.304988 0.665851 
59320.342598 0.554935 
59320.380208 0.440146 
59320.417818 0.321498 
59320.455428 0.199012 
59320.493039 0.072711 
59320.530649 -0.057367 
59320.568259 -0.191168 
59320.605869 -0.328611 
59320.643479 -0.469581 
59320.681089 -0.613917 
59320.718700 -0.761400 
59320.756310 -0.911732 
59320.793920 -1.064521 
59320.831530 -1.219251 
59320.869140 -1.375261 
59320.906750 -1.531699 
59320.944360 -1.687493 
59320.981971 -1.841297 
59321.019581 -1.991447 
59321.057191 -2.135907 
59321.094801 -2.272217 
59321.132411 -2.397459 
59321.170021 -2.508235 
59321.207632 -2.600681 
59321.245242 -2.670543 
59321.282852 -2.713319 
59321.320462 -2.724500 
59321.358072 -2.699910 
59321.395682 -2.636131 
59321.433293 -2.530989 
59321.470903 -2.384001 
59321.508513 -2.196709 
59321.546123 -1.972800 
59321.583733 -1.717933 
59321.621343 -1.439329 
59321.658953 -1.145100 
59321.696564 -0.843544 
59321.734174 -0.542482 
59321.771784 -0.248740 
59321.809394 0.032144 
59321.847004 0.296031 
59321.884614 0.540114 
59321.922225 0.762760 
59321.959835 0.963297 
59321.997445 1.141785 
59322.035055 1.298819 
59322.072665 1.435349 
59322.110275 1.552542 
59322.147885 1.651676 
59322.185496 1.734065 
59322.223106 1.801003 
59322.260716 1.853728 
59322.298326 1.893408 
59322.335936 1.921118 
59322.373546 1.937847 
59322.411157 1.944489 
59322.448767 1.941852 
59322.486377 1.930658 
59322.523987 1.911553 
59322.561597 1.885111 
59322.599207 1.851839 
59322.636817 1.812186 
59322.674428 1.766544 
59322.712038 1.715259 
59322.749648 1.658632 
59322.787258 1.596923 
59322.824868 1.530359 
59322.862478 1.459133 
59322.900089 1.383408 
59322.937699 1.303323 
59322.975309 1.218995 
59323.012919 1.130514 
59323.050529 1.037961 
59323.088139 0.941396 
59323.125750 0.840863 
59323.163360 0.736399 
59323.200970 0.628031 
59323.238580 0.515777 
59323.276190 0.399655 
59323.313800 0.279681 
59323.351410 0.155876 
59323.389021 0.028267 
59323.426631 -0.103103 
59323.464241 -0.238170 
59323.501851 -0.376845 
59323.539461 -0.518997 
59323.577071 -0.664447 
59323.614682 -0.812951 
59323.652292 -0.964180 
59323.689902 -1.117703 
59323.727512 -1.272959 
59323.765122 -1.429223 
59323.802732 -1.585573 
59323.840342 -1.740847 
59323.877953 -1.893597 
59323.915563 -2.042035 
59323.953173 -2.183984 
59323.990783 -2.316830 
59324.028393 -2.437490 
59324.066003 -2.542402 
59324.103614 -2.627555 
59324.141224 -2.688589 
59324.178834 -2.720968 
59324.216444 -2.720253 
59324.254054 -2.682478 
59324.291664 -2.604601 
59324.329274 -2.484982 
59324.366885 -2.323809 
59324.404495 -2.123363 
59324.442105 -1.888042 
59324.479715 -1.624116 
59324.517325 -1.339181 
59324.554935 -1.041498 
59324.592546 -0.739271 
59324.630156 -0.440023 
59324.667766 -0.150162 
59324.705376 0.125257 
59324.742986 0.382566 
59324.780596 0.619386 
59324.818207 0.834441 
59324.855817 1.027334 
59324.893427 1.198333 
59324.931037 1.348174 
59324.968647 1.477894 
59325.006257 1.588710 
59325.043867 1.681921 
59325.081478 1.758836 
59325.119088 1.820734 
59325.156698 1.868833 
59325.194308 1.904266 
59325.231918 1.928082 
59325.269528 1.941235 
59325.307139 1.944589 
59325.344749 1.938923 
59325.382359 1.924931 
59325.419969 1.903235 
59325.457579 1.874382 
59325.495189 1.838861 
59325.532799 1.797100 
59325.570410 1.749475 
59325.608020 1.696316 
59325.645630 1.637908 
59325.683240 1.574501 
59325.720850 1.506309 
59325.758460 1.433513 
59325.796071 1.356270 
59325.833681 1.274710 
59325.871291 1.188938 
59325.908901 1.099046 
59325.946511 1.005103 
59325.984121 0.907165 
59326.021731 0.805273 
59326.059342 0.699459 
59326.096952 0.589748 
59326.134562 0.476159 
59326.172172 0.358706 
59326.209782 0.237408 
59326.247392 0.112287 
59326.285003 -0.016625 
59326.322613 -0.149278 
59326.360223 -0.285602 
59326.397833 -0.425493 
59326.435443 -0.568806 
59326.473053 -0.715341 
59326.510664 -0.864826 
59326.548274 -1.016902 
59326.585884 -1.171094 
59326.623494 -1.326788 
59326.661104 -1.483197 
59326.698714 -1.639321 
59326.736324 -1.793904 
59326.773935 -1.945387 
59326.811545 -2.091854 
59326.849155 -2.230981 
59326.886765 -2.359997 
59326.924375 -2.475652 
59326.961985 -2.574221 
59326.999596 -2.651561 
59327.037206 -2.703225 
59327.074816 -2.724675 
59327.112426 -2.711588 
59327.150036 -2.660264 
59327.187646 -2.568089 
59327.225256 -2.434012 
