# time model 
59329.481866 -0.337271 
59329.519476 -0.338876 
59329.557086 -0.340493 
59329.594696 -0.342124 
59329.632306 -0.343768 
59329.669917 -0.345424 
59329.707527 -0.347092 
59329.745137 -0.348772 
59329.782747 -0.350465 
59329.820357 -0.352168 
59329.857967 -0.353883 
59329.895578 -0.355609 
59329.933188 -0.357345 
59329.970798 -0.359092 
59330.008408 -0.360849 
59330.046018 -0.362616 
59330.083628 -0.364393 
59330.121238 -0.366179 
59330.158849 -0.367974 
59330.196459 -0.369778 
59330.234069 -0.371590 
59330.271679 -0.373411 
59330.309289 -0.375239 
59330.346899 -0.377076 
59330.384510 -0.378919 
59330.422120 -0.380770 
59330.459730 -0.382628 
59330.497340 -0.384492 
59330.534950 -0.386362 
59330.572560 -0.388238 
59330.610170 -0.390120 
59330.647781 -0.392008 
59330.685391 -0.393900 
59330.723001 -0.395797 
59330.760611 -0.397699 
59330.798221 -0.399605 
59330.835831 -0.401514 
59330.873442 -0.403428 
59330.911052 -0.405344 
59330.948662 -0.407264 
59330.986272 -0.409186 
59331.023882 -0.411111 
59331.061492 -0.413038 
59331.099102 -0.414967 
59331.136713 -0.416897 
59331.174323 -0.418829 
59331.211933 -0.420761 
59331.249543 -0.422694 
59331.287153 -0.424628 
59331.324763 -0.426561 
59331.362374 -0.428494 
59331.399984 -0.430427 
59331.437594 -0.432359 
59331.475204 -0.434289 
59331.512814 -0.436219 
59331.550424 -0.438146 
59331.588035 -0.440072 
59331.625645 -0.441995 
59331.663255 -0.443916 
59331.700865 -0.445834 
59331.738475 -0.447748 
59331.776085 -0.449660 
59331.813695 -0.451567 
59331.851306 -0.453471 
59331.888916 -0.455370 
59331.926526 -0.457265 
59331.964136 -0.459155 
59332.001746 -0.461039 
59332.039356 -0.462919 
59332.076967 -0.464793 
59332.114577 -0.466660 
59332.152187 -0.468522 
59332.189797 -0.470377 
59332.227407 -0.472226 
59332.265017 -0.474067 
59332.302627 -0.475902 
59332.340238 -0.477728 
59332.377848 -0.479547 
59332.415458 -0.481358 
59332.453068 -0.483161 
59332.490678 -0.484955 
59332.528288 -0.486741 
59332.565899 -0.488517 
59332.603509 -0.490284 
59332.641119 -0.492042 
59332.678729 -0.493790 
59332.716339 -0.495528 
59332.753949 -0.497256 
59332.791559 -0.498974 
59332.829170 -0.500681 
59332.866780 -0.502377 
59332.904390 -0.504062 
59332.942000 -0.505736 
59332.979610 -0.507398 
59333.017220 -0.509049 
59333.054831 -0.510688 
59333.092441 -0.512314 
59333.130051 -0.513929 
59333.167661 -0.515531 
59333.205271 -0.517120 
59333.242881 -0.518696 
59333.280492 -0.520259 
59333.318102 -0.521809 
59333.355712 -0.523346 
59333.393322 -0.524869 
59333.430932 -0.526378 
59333.468542 -0.527874 
59333.506152 -0.529355 
59333.543763 -0.530822 
59333.581373 -0.532275 
59333.618983 -0.533713 
59333.656593 -0.535136 
59333.694203 -0.536545 
59333.731813 -0.537939 
59333.769424 -0.539317 
59333.807034 -0.540680 
59333.844644 -0.542028 
59333.882254 -0.543361 
59333.919864 -0.544677 
59333.957474 -0.545978 
59333.995084 -0.547264 
59334.032695 -0.548533 
59334.070305 -0.549786 
59334.107915 -0.551023 
59334.145525 -0.552244 
59334.183135 -0.553448 
59334.220745 -0.554636 
59334.258356 -0.555807 
59334.295966 -0.556962 
59334.333576 -0.558100 
59334.371186 -0.559222 
59334.408796 -0.560326 
59334.446406 -0.561414 
59334.484016 -0.562485 
59334.521627 -0.563539 
59334.559237 -0.564576 
59334.596847 -0.565595 
59334.634457 -0.566598 
59334.672067 -0.567583 
59334.709677 -0.568552 
59334.747288 -0.569503 
59334.784898 -0.570436 
59334.822508 -0.571353 
59334.860118 -0.572252 
59334.897728 -0.573134 
59334.935338 -0.573999 
59334.972949 -0.574846 
59335.010559 -0.575676 
59335.048169 -0.576489 
59335.085779 -0.577284 
59335.123389 -0.578063 
59335.160999 -0.578824 
59335.198609 -0.579567 
59335.236220 -0.580294 
59335.273830 -0.581003 
59335.311440 -0.581695 
59335.349050 -0.582370 
59335.386660 -0.583028 
59335.424270 -0.583669 
59335.461881 -0.584293 
59335.499491 -0.584900 
59335.537101 -0.585491 
59335.574711 -0.586064 
59335.612321 -0.586621 
59335.649931 -0.587161 
59335.687541 -0.587684 
59335.725152 -0.588191 
59335.762762 -0.588682 
59335.800372 -0.589156 
59335.837982 -0.589614 
59335.875592 -0.590055 
59335.913202 -0.590481 
59335.950813 -0.590891 
59335.988423 -0.591284 
59336.026033 -0.591663 
59336.063643 -0.592025 
59336.101253 -0.592372 
59336.138863 -0.592703 
59336.176473 -0.593019 
59336.214084 -0.593320 
59336.251694 -0.593606 
59336.289304 -0.593877 
59336.326914 -0.594133 
59336.364524 -0.594375 
59336.402134 -0.594602 
59336.439745 -0.594814 
59336.477355 -0.595012 
59336.514965 -0.595197 
59336.552575 -0.595367 
59336.590185 -0.595523 
59336.627795 -0.595666 
59336.665406 -0.595796 
59336.703016 -0.595912 
59336.740626 -0.596015 
59336.778236 -0.596105 
59336.815846 -0.596182 
59336.853456 -0.596247 
59336.891066 -0.596299 
59336.928677 -0.596339 
59336.966287 -0.596366 
59337.003897 -0.596382 
59337.041507 -0.596386 
59337.079117 -0.596379 
59337.116727 -0.596360 
59337.154338 -0.596330 
59337.191948 -0.596289 
59337.229558 -0.596237 
59337.267168 -0.596175 
59337.304778 -0.596102 
59337.342388 -0.596019 
59337.379998 -0.595926 
59337.417609 -0.595823 
59337.455219 -0.595711 
59337.492829 -0.595589 
59337.530439 -0.595458 
59337.568049 -0.595318 
59337.605659 -0.595169 
59337.643270 -0.595012 
59337.680880 -0.594846 
59337.718490 -0.594673 
59337.756100 -0.594491 
59337.793710 -0.594302 
59337.831320 -0.594105 
59337.868930 -0.593901 
59337.906541 -0.593690 
59337.944151 -0.593472 
59337.981761 -0.593247 
59338.019371 -0.593016 
59338.056981 -0.592779 
59338.094591 -0.592536 
59338.132202 -0.592287 
59338.169812 -0.592032 
59338.207422 -0.591773 
59338.245032 -0.591508 
59338.282642 -0.591238 
59338.320252 -0.590964 
59338.357863 -0.590685 
59338.395473 -0.590403 
59338.433083 -0.590116 
59338.470693 -0.589825 
59338.508303 -0.589531 
59338.545913 -0.589234 
59338.583523 -0.588933 
59338.621134 -0.588630 
59338.658744 -0.588324 
59338.696354 -0.588015 
59338.733964 -0.587705 
59338.771574 -0.587392 
59338.809184 -0.587078 
59338.846795 -0.586762 
59338.884405 -0.586444 
59338.922015 -0.586126 
59338.959625 -0.585806 
59338.997235 -0.585486 
59339.034845 -0.585165 
59339.072455 -0.584844 
59339.110066 -0.584523 
59339.147676 -0.584202 
59339.185286 -0.583882 
59339.222896 -0.583561 
59339.260506 -0.583242 
59339.298116 -0.582923 
59339.335727 -0.582606 
59339.373337 -0.582290 
59339.410947 -0.581975 
59339.448557 -0.581662 
59339.486167 -0.581352 
59339.523777 -0.581043 
59339.561387 -0.580736 
59339.598998 -0.580432 
59339.636608 -0.580130 
59339.674218 -0.579831 
59339.711828 -0.579536 
59339.749438 -0.579243 
59339.787048 -0.578954 
59339.824659 -0.578668 
59339.862269 -0.578386 
59339.899879 -0.578108 
59339.937489 -0.577834 
59339.975099 -0.577564 
59340.012709 -0.577298 
59340.050320 -0.577037 
59340.087930 -0.576781 
59340.125540 -0.576529 
59340.163150 -0.576282 
59340.200760 -0.576041 
59340.238370 -0.575804 
59340.275980 -0.575573 
59340.313591 -0.575348 
59340.351201 -0.575128 
59340.388811 -0.574914 
59340.426421 -0.574706 
59340.464031 -0.574503 
59340.501641 -0.574308 
59340.539252 -0.574118 
59340.576862 -0.573935 
59340.614472 -0.573758 
59340.652082 -0.573588 
59340.689692 -0.573424 
59340.727302 -0.573268 
59340.764912 -0.573118 
59340.802523 -0.572975 
59340.840133 -0.572840 
59340.877743 -0.572711 
59340.915353 -0.572590 
59340.952963 -0.572477 
59340.990573 -0.572370 
59341.028184 -0.572272 
59341.065794 -0.572181 
59341.103404 -0.572097 
59341.141014 -0.572022 
59341.178624 -0.571954 
59341.216234 -0.571894 
59341.253844 -0.571842 
59341.291455 -0.571798 
59341.329065 -0.571762 
59341.366675 -0.571734 
59341.404285 -0.571714 
59341.441895 -0.571702 
59341.479505 -0.571698 
59341.517116 -0.571703 
59341.554726 -0.571716 
59341.592336 -0.571737 
59341.629946 -0.571766 
59341.667556 -0.571804 
59341.705166 -0.571850 
59341.742777 -0.571904 
59341.780387 -0.571967 
59341.817997 -0.572038 
59341.855607 -0.572117 
59341.893217 -0.572204 
59341.930827 -0.572300 
59341.968437 -0.572404 
59342.006048 -0.572517 
59342.043658 -0.572637 
59342.081268 -0.572766 
59342.118878 -0.572903 
59342.156488 -0.573049 
59342.194098 -0.573202 
59342.231709 -0.573364 
59342.269319 -0.573533 
59342.306929 -0.573711 
59342.344539 -0.573896 
59342.382149 -0.574090 
59342.419759 -0.574291 
59342.457369 -0.574500 
59342.494980 -0.574717 
59342.532590 -0.574941 
59342.570200 -0.575173 
59342.607810 -0.575413 
59342.645420 -0.575660 
59342.683030 -0.575915 
59342.720641 -0.576176 
59342.758251 -0.576445 
59342.795861 -0.576721 
59342.833471 -0.577004 
59342.871081 -0.577295 
59342.908691 -0.577591 
59342.946301 -0.577895 
59342.983912 -0.578205 
59343.021522 -0.578522 
59343.059132 -0.578845 
59343.096742 -0.579175 
59343.134352 -0.579511 
59343.171962 -0.579852 
59343.209573 -0.580200 
59343.247183 -0.580554 
59343.284793 -0.580913 
59343.322403 -0.581278 
59343.360013 -0.581648 
59343.397623 -0.582024 
59343.435234 -0.582405 
59343.472844 -0.582790 
59343.510454 -0.583181 
59343.548064 -0.583577 
59343.585674 -0.583977 
59343.623284 -0.584381 
59343.660894 -0.584790 
59343.698505 -0.585203 
59343.736115 -0.585620 
59343.773725 -0.586041 
59343.811335 -0.586465 
59343.848945 -0.586893 
59343.886555 -0.587325 
59343.924166 -0.587759 
59343.961776 -0.588197 
59343.999386 -0.588637 
59344.036996 -0.589080 
59344.074606 -0.589526 
59344.112216 -0.589974 
59344.149826 -0.590424 
59344.187437 -0.590876 
59344.225047 -0.591330 
59344.262657 -0.591786 
59344.300267 -0.592243 
59344.337877 -0.592701 
59344.375487 -0.593161 
59344.413098 -0.593621 
59344.450708 -0.594082 
59344.488318 -0.594544 
59344.525928 -0.595006 
59344.563538 -0.595468 
59344.601148 -0.595930 
59344.638758 -0.596391 
59344.676369 -0.596853 
59344.713979 -0.597314 
59344.751589 -0.597773 
59344.789199 -0.598232 
59344.826809 -0.598690 
59344.864419 -0.599147 
59344.902030 -0.599601 
59344.939640 -0.600055 
59344.977250 -0.600506 
59345.014860 -0.600955 
59345.052470 -0.601401 
59345.090080 -0.601845 
59345.127691 -0.602287 
59345.165301 -0.602725 
59345.202911 -0.603160 
59345.240521 -0.603592 
59345.278131 -0.604021 
59345.315741 -0.604445 
59345.353351 -0.604866 
59345.390962 -0.605283 
59345.428572 -0.605695 
59345.466182 -0.606103 
59345.503792 -0.606507 
59345.541402 -0.606905 
59345.579012 -0.607298 
59345.616623 -0.607687 
59345.654233 -0.608069 
59345.691843 -0.608447 
59345.729453 -0.608818 
59345.767063 -0.609183 
59345.804673 -0.609543 
59345.842283 -0.609895 
59345.879894 -0.610242 
59345.917504 -0.610581 
59345.955114 -0.610914 
59345.992724 -0.611240 
59346.030334 -0.611558 
59346.067944 -0.611870 
59346.105555 -0.612173 
59346.143165 -0.612469 
59346.180775 -0.612757 
59346.218385 -0.613037 
59346.255995 -0.613308 
59346.293605 -0.613571 
59346.331215 -0.613826 
59346.368826 -0.614072 
59346.406436 -0.614309 
59346.444046 -0.614537 
59346.481656 -0.614756 
59346.519266 -0.614965 
59346.556876 -0.615165 
59346.594487 -0.615355 
59346.632097 -0.615536 
59346.669707 -0.615707 
59346.707317 -0.615867 
59346.744927 -0.616018 
59346.782537 -0.616158 
59346.820148 -0.616288 
59346.857758 -0.616407 
59346.895368 -0.616515 
59346.932978 -0.616613 
59346.970588 -0.616700 
59347.008198 -0.616776 
59347.045808 -0.616840 
59347.083419 -0.616893 
59347.121029 -0.616935 
59347.158639 -0.616966 
59347.196249 -0.616985 
59347.233859 -0.616992 
59347.271469 -0.616987 
59347.309080 -0.616971 
59347.346690 -0.616942 
59347.384300 -0.616902 
59347.421910 -0.616849 
59347.459520 -0.616785 
59347.497130 -0.616708 
59347.534740 -0.616618 
59347.572351 -0.616516 
59347.609961 -0.616402 
59347.647571 -0.616276 
59347.685181 -0.616136 
59347.722791 -0.615984 
59347.760401 -0.615820 
59347.798012 -0.615642 
59347.835622 -0.615452 
59347.873232 -0.615249 
59347.910842 -0.615033 
59347.948452 -0.614805 
59347.986062 -0.614563 
59348.023672 -0.614309 
59348.061283 -0.614041 
59348.098893 -0.613761 
59348.136503 -0.613467 
59348.174113 -0.613161 
59348.211723 -0.612842 
59348.249333 -0.612509 
59348.286944 -0.612164 
59348.324554 -0.611806 
59348.362164 -0.611434 
59348.399774 -0.611050 
59348.437384 -0.610653 
59348.474994 -0.610243 
59348.512605 -0.609820 
59348.550215 -0.609384 
59348.587825 -0.608935 
59348.625435 -0.608474 
59348.663045 -0.608000 
59348.700655 -0.607513 
59348.738265 -0.607013 
59348.775876 -0.606501 
59348.813486 -0.605976 
59348.851096 -0.605439 
59348.888706 -0.604889 
59348.926316 -0.604327 
59348.963926 -0.603753 
59349.001537 -0.603167 
59349.039147 -0.602568 
59349.076757 -0.601958 
59349.114367 -0.601335 
59349.151977 -0.600701 
59349.189587 -0.600055 
59349.227197 -0.599397 
59349.264808 -0.598728 
59349.302418 -0.598047 
59349.340028 -0.597355 
59349.377638 -0.596652 
59349.415248 -0.595938 
59349.452858 -0.595212 
59349.490469 -0.594476 
59349.528079 -0.593729 
59349.565689 -0.592972 
59349.603299 -0.592204 
59349.640909 -0.591426 
59349.678519 -0.590637 
59349.716129 -0.589839 
59349.753740 -0.589031 
59349.791350 -0.588213 
59349.828960 -0.587385 
59349.866570 -0.586548 
59349.904180 -0.585702 
59349.941790 -0.584847 
59349.979401 -0.583983 
59350.017011 -0.583110 
59350.054621 -0.582229 
59350.092231 -0.581339 
59350.129841 -0.580441 
59350.167451 -0.579535 
