# time model 
59329.481866 1.377113 
59329.519476 1.335568 
59329.557086 1.291722 
59329.594696 1.245609 
59329.632306 1.197262 
59329.669917 1.146720 
59329.707527 1.094026 
59329.745137 1.039224 
59329.782747 0.982363 
59329.820357 0.923495 
59329.857967 0.862675 
59329.895578 0.799959 
59329.933188 0.735411 
59329.970798 0.669092 
59330.008408 0.601070 
59330.046018 0.531414 
59330.083628 0.460197 
59330.121238 0.387493 
59330.158849 0.313379 
59330.196459 0.237934 
59330.234069 0.161242 
59330.271679 0.083385 
59330.309289 0.004450 
59330.346899 -0.075476 
59330.384510 -0.156302 
59330.422120 -0.237937 
59330.459730 -0.320287 
59330.497340 -0.403259 
59330.534950 -0.486757 
59330.572560 -0.570683 
59330.610170 -0.654939 
59330.647781 -0.739425 
59330.685391 -0.824043 
59330.723001 -0.908692 
59330.760611 -0.993270 
59330.798221 -1.077677 
59330.835831 -1.161809 
59330.873442 -1.245566 
59330.911052 -1.328846 
59330.948662 -1.411548 
59330.986272 -1.493569 
59331.023882 -1.574809 
59331.061492 -1.655168 
59331.099102 -1.734546 
59331.136713 -1.812845 
59331.174323 -1.889968 
59331.211933 -1.965817 
59331.249543 -2.040297 
59331.287153 -2.113315 
59331.324763 -2.184778 
59331.362374 -2.254597 
59331.399984 -2.322681 
59331.437594 -2.388945 
59331.475204 -2.453303 
59331.512814 -2.515673 
59331.550424 -2.575974 
59331.588035 -2.634128 
59331.625645 -2.690061 
59331.663255 -2.743698 
59331.700865 -2.794970 
59331.738475 -2.843809 
59331.776085 -2.890151 
59331.813695 -2.933935 
59331.851306 -2.975101 
59331.888916 -3.013595 
59331.926526 -3.049364 
59331.964136 -3.082360 
59332.001746 -3.112537 
59332.039356 -3.139853 
59332.076967 -3.164270 
59332.114577 -3.185753 
59332.152187 -3.204270 
59332.189797 -3.219794 
59332.227407 -3.232301 
59332.265017 -3.241770 
59332.302627 -3.248185 
59332.340238 -3.251533 
59332.377848 -3.251805 
59332.415458 -3.248995 
59332.453068 -3.243102 
59332.490678 -3.234129 
59332.528288 -3.222081 
59332.565899 -3.206968 
59332.603509 -3.188805 
59332.641119 -3.167608 
59332.678729 -3.143398 
59332.716339 -3.116201 
59332.753949 -3.086045 
59332.791559 -3.052961 
59332.829170 -3.016987 
59332.866780 -2.978160 
59332.904390 -2.936523 
59332.942000 -2.892123 
59332.979610 -2.845009 
59333.017220 -2.795234 
59333.054831 -2.742853 
59333.092441 -2.687926 
59333.130051 -2.630515 
59333.167661 -2.570684 
59333.205271 -2.508502 
59333.242881 -2.444039 
59333.280492 -2.377369 
59333.318102 -2.308567 
59333.355712 -2.237711 
59333.393322 -2.164884 
59333.430932 -2.090167 
59333.468542 -2.013645 
59333.506152 -1.935406 
59333.543763 -1.855540 
59333.581373 -1.774135 
59333.618983 -1.691286 
59333.656593 -1.607086 
59333.694203 -1.521630 
59333.731813 -1.435015 
59333.769424 -1.347340 
59333.807034 -1.258701 
59333.844644 -1.169201 
59333.882254 -1.078937 
59333.919864 -0.988013 
59333.957474 -0.896529 
59333.995084 -0.804587 
59334.032695 -0.712289 
59334.070305 -0.619737 
59334.107915 -0.527033 
59334.145525 -0.434279 
59334.183135 -0.341577 
59334.220745 -0.249026 
59334.258356 -0.156729 
59334.295966 -0.064784 
59334.333576 0.026710 
59334.371186 0.117656 
59334.408796 0.207955 
59334.446406 0.297514 
59334.484016 0.386238 
59334.521627 0.474034 
59334.559237 0.560812 
59334.596847 0.646482 
59334.634457 0.730957 
59334.672067 0.814152 
59334.709677 0.895982 
59334.747288 0.976367 
59334.784898 1.055228 
59334.822508 1.132487 
59334.860118 1.208071 
59334.897728 1.281908 
59334.935338 1.353928 
59334.972949 1.424066 
59335.010559 1.492256 
59335.048169 1.558439 
59335.085779 1.622556 
59335.123389 1.684552 
59335.160999 1.744375 
59335.198609 1.801975 
59335.236220 1.857308 
59335.273830 1.910329 
59335.311440 1.961000 
59335.349050 2.009283 
59335.386660 2.055147 
59335.424270 2.098560 
59335.461881 2.139496 
59335.499491 2.177932 
59335.537101 2.213847 
59335.574711 2.247226 
59335.612321 2.278055 
59335.649931 2.306323 
59335.687541 2.332025 
59335.725152 2.355156 
59335.762762 2.375716 
59335.800372 2.393708 
59335.837982 2.409139 
59335.875592 2.422018 
59335.913202 2.432358 
59335.950813 2.440174 
59335.988423 2.445486 
59336.026033 2.448314 
59336.063643 2.448684 
59336.101253 2.446623 
59336.138863 2.442162 
59336.176473 2.435334 
59336.214084 2.426175 
59336.251694 2.414724 
59336.289304 2.401021 
59336.326914 2.385110 
59336.364524 2.367037 
59336.402134 2.346851 
59336.439745 2.324601 
59336.477355 2.300340 
59336.514965 2.274124 
59336.552575 2.246007 
59336.590185 2.216050 
59336.627795 2.184311 
59336.665406 2.150852 
59336.703016 2.115737 
59336.740626 2.079030 
59336.778236 2.040797 
59336.815846 2.001104 
59336.853456 1.960021 
59336.891066 1.917617 
59336.928677 1.873960 
59336.966287 1.829123 
59337.003897 1.783175 
59337.041507 1.736190 
59337.079117 1.688239 
59337.116727 1.639395 
59337.154338 1.589731 
59337.191948 1.539319 
59337.229558 1.488233 
59337.267168 1.436544 
59337.304778 1.384325 
59337.342388 1.331649 
59337.379998 1.278586 
59337.417609 1.225208 
59337.455219 1.171585 
59337.492829 1.117786 
59337.530439 1.063880 
59337.568049 1.009935 
59337.605659 0.956017 
59337.643270 0.902191 
59337.680880 0.848522 
59337.718490 0.795073 
59337.756100 0.741904 
59337.793710 0.689077 
59337.831320 0.636648 
59337.868930 0.584675 
59337.906541 0.533212 
59337.944151 0.482314 
59337.981761 0.432030 
59338.019371 0.382411 
59338.056981 0.333504 
59338.094591 0.285354 
59338.132202 0.238005 
59338.169812 0.191497 
59338.207422 0.145870 
59338.245032 0.101161 
59338.282642 0.057404 
59338.320252 0.014632 
59338.357863 -0.027126 
59338.395473 -0.067841 
59338.433083 -0.107488 
59338.470693 -0.146045 
59338.508303 -0.183489 
59338.545913 -0.219803 
59338.583523 -0.254971 
59338.621134 -0.288979 
59338.658744 -0.321815 
59338.696354 -0.353470 
59338.733964 -0.383938 
59338.771574 -0.413214 
59338.809184 -0.441296 
59338.846795 -0.468184 
59338.884405 -0.493880 
59338.922015 -0.518388 
59338.959625 -0.541715 
59338.997235 -0.563870 
59339.034845 -0.584862 
59339.072455 -0.604706 
59339.110066 -0.623414 
59339.147676 -0.641005 
59339.185286 -0.657495 
59339.222896 -0.672905 
59339.260506 -0.687257 
59339.298116 -0.700575 
59339.335727 -0.712882 
59339.373337 -0.724206 
59339.410947 -0.734575 
59339.448557 -0.744017 
59339.486167 -0.752563 
59339.523777 -0.760246 
59339.561387 -0.767097 
59339.598998 -0.773151 
59339.636608 -0.778441 
59339.674218 -0.783005 
59339.711828 -0.786879 
59339.749438 -0.790099 
59339.787048 -0.792703 
59339.824659 -0.794729 
59339.862269 -0.796217 
59339.899879 -0.797205 
59339.937489 -0.797732 
59339.975099 -0.797837 
59340.012709 -0.797561 
59340.050320 -0.796943 
59340.087930 -0.796021 
59340.125540 -0.794835 
59340.163150 -0.793424 
59340.200760 -0.791826 
59340.238370 -0.790079 
59340.275980 -0.788221 
59340.313591 -0.786289 
59340.351201 -0.784319 
59340.388811 -0.782346 
59340.426421 -0.780405 
59340.464031 -0.778529 
59340.501641 -0.776751 
59340.539252 -0.775103 
59340.576862 -0.773615 
59340.614472 -0.772316 
59340.652082 -0.771235 
59340.689692 -0.770397 
59340.727302 -0.769829 
59340.764912 -0.769555 
59340.802523 -0.769596 
59340.840133 -0.769973 
59340.877743 -0.770706 
59340.915353 -0.771813 
59340.952963 -0.773309 
59340.990573 -0.775210 
59341.028184 -0.777527 
59341.065794 -0.780271 
59341.103404 -0.783453 
59341.141014 -0.787078 
59341.178624 -0.791153 
59341.216234 -0.795682 
59341.253844 -0.800666 
59341.291455 -0.806106 
59341.329065 -0.811999 
59341.366675 -0.818343 
59341.404285 -0.825132 
59341.441895 -0.832359 
59341.479505 -0.840015 
59341.517116 -0.848088 
59341.554726 -0.856568 
59341.592336 -0.865439 
59341.629946 -0.874685 
59341.667556 -0.884290 
59341.705166 -0.894233 
59341.742777 -0.904494 
59341.780387 -0.915050 
59341.817997 -0.925877 
59341.855607 -0.936951 
59341.893217 -0.948243 
59341.930827 -0.959726 
59341.968437 -0.971371 
59342.006048 -0.983146 
59342.043658 -0.995020 
59342.081268 -1.006959 
59342.118878 -1.018929 
59342.156488 -1.030895 
59342.194098 -1.042821 
59342.231709 -1.054669 
59342.269319 -1.066403 
59342.306929 -1.077983 
59342.344539 -1.089371 
59342.382149 -1.100527 
59342.419759 -1.111410 
59342.457369 -1.121981 
59342.494980 -1.132198 
59342.532590 -1.142021 
59342.570200 -1.151408 
59342.607810 -1.160318 
59342.645420 -1.168710 
59342.683030 -1.176543 
59342.720641 -1.183776 
59342.758251 -1.190369 
59342.795861 -1.196282 
59342.833471 -1.201474 
59342.871081 -1.205907 
59342.908691 -1.209543 
59342.946301 -1.212343 
59342.983912 -1.214270 
59343.021522 -1.215290 
59343.059132 -1.215365 
59343.096742 -1.214463 
59343.134352 -1.212551 
59343.171962 -1.209597 
59343.209573 -1.205570 
59343.247183 -1.200441 
59343.284793 -1.194183 
59343.322403 -1.186770 
59343.360013 -1.178176 
59343.397623 -1.168379 
59343.435234 -1.157358 
59343.472844 -1.145092 
59343.510454 -1.131564 
59343.548064 -1.116759 
59343.585674 -1.100661 
59343.623284 -1.083259 
59343.660894 -1.064542 
59343.698505 -1.044502 
59343.736115 -1.023134 
59343.773725 -1.000433 
59343.811335 -0.976396 
59343.848945 -0.951025 
59343.886555 -0.924321 
59343.924166 -0.896289 
59343.961776 -0.866936 
59343.999386 -0.836270 
59344.036996 -0.804303 
59344.074606 -0.771048 
59344.112216 -0.736520 
59344.149826 -0.700737 
59344.187437 -0.663719 
59344.225047 -0.625487 
59344.262657 -0.586067 
59344.300267 -0.545484 
59344.337877 -0.503767 
59344.375487 -0.460946 
59344.413098 -0.417055 
59344.450708 -0.372126 
59344.488318 -0.326198 
59344.525928 -0.279309 
59344.563538 -0.231499 
59344.601148 -0.182809 
59344.638758 -0.133286 
59344.676369 -0.082973 
59344.713979 -0.031919 
59344.751589 0.019828 
59344.789199 0.072216 
59344.826809 0.125195 
59344.864419 0.178709 
59344.902030 0.232706 
59344.939640 0.287128 
59344.977250 0.341919 
59345.014860 0.397020 
59345.052470 0.452372 
59345.090080 0.507915 
59345.127691 0.563588 
59345.165301 0.619329 
59345.202911 0.675076 
59345.240521 0.730766 
59345.278131 0.786335 
59345.315741 0.841721 
59345.353351 0.896859 
59345.390962 0.951684 
59345.428572 1.006134 
59345.466182 1.060143 
59345.503792 1.113648 
59345.541402 1.166585 
59345.579012 1.218891 
59345.616623 1.270502 
59345.654233 1.321357 
59345.691843 1.371393 
59345.729453 1.420550 
59345.767063 1.468767 
59345.804673 1.515986 
59345.842283 1.562148 
59345.879894 1.607196 
59345.917504 1.651075 
59345.955114 1.693729 
59345.992724 1.735107 
59346.030334 1.775155 
59346.067944 1.813825 
59346.105555 1.851068 
59346.143165 1.886838 
59346.180775 1.921089 
59346.218385 1.953780 
59346.255995 1.984869 
59346.293605 2.014318 
59346.331215 2.042089 
59346.368826 2.068150 
59346.406436 2.092467 
59346.444046 2.115011 
59346.481656 2.135754 
59346.519266 2.154672 
59346.556876 2.171741 
59346.594487 2.186943 
59346.632097 2.200259 
59346.669707 2.211675 
59346.707317 2.221179 
59346.744927 2.228760 
59346.782537 2.234413 
59346.820148 2.238133 
59346.857758 2.239918 
59346.895368 2.239771 
59346.932978 2.237695 
59346.970588 2.233697 
59347.008198 2.227787 
59347.045808 2.219977 
59347.083419 2.210283 
59347.121029 2.198721 
59347.158639 2.185313 
59347.196249 2.170081 
59347.233859 2.153053 
59347.271469 2.134255 
59347.309080 2.113720 
59347.346690 2.091481 
59347.384300 2.067574 
59347.421910 2.042038 
59347.459520 2.014914 
59347.497130 1.986244 
59347.534740 1.956076 
59347.572351 1.924457 
59347.609961 1.891437 
59347.647571 1.857068 
59347.685181 1.821404 
59347.722791 1.784502 
59347.760401 1.746419 
59347.798012 1.707216 
59347.835622 1.666953 
59347.873232 1.625695 
59347.910842 1.583504 
59347.948452 1.540449 
59347.986062 1.496595 
59348.023672 1.452012 
59348.061283 1.406769 
59348.098893 1.360936 
59348.136503 1.314586 
59348.174113 1.267791 
59348.211723 1.220623 
59348.249333 1.173156 
59348.286944 1.125465 
59348.324554 1.077623 
59348.362164 1.029705 
59348.399774 0.981787 
59348.437384 0.933942 
59348.474994 0.886246 
59348.512605 0.838772 
59348.550215 0.791595 
59348.587825 0.744789 
59348.625435 0.698425 
59348.663045 0.652578 
59348.700655 0.607317 
59348.738265 0.562714 
59348.775876 0.518837 
59348.813486 0.475756 
59348.851096 0.433538 
59348.888706 0.392247 
59348.926316 0.351949 
59348.963926 0.312706 
59349.001537 0.274578 
59349.039147 0.237625 
59349.076757 0.201905 
59349.114367 0.167473 
59349.151977 0.134381 
59349.189587 0.102681 
59349.227197 0.072422 
59349.264808 0.043650 
59349.302418 0.016410 
59349.340028 -0.009258 
59349.377638 -0.033313 
59349.415248 -0.055720 
59349.452858 -0.076444 
59349.490469 -0.095455 
59349.528079 -0.112725 
59349.565689 -0.128227 
59349.603299 -0.141940 
59349.640909 -0.153844 
59349.678519 -0.163923 
59349.716129 -0.172162 
59349.753740 -0.178552 
59349.791350 -0.183085 
59349.828960 -0.185757 
59349.866570 -0.186567 
59349.904180 -0.185516 
59349.941790 -0.182610 
59349.979401 -0.177856 
59350.017011 -0.171267 
59350.054621 -0.162856 
59350.092231 -0.152640 
59350.129841 -0.140642 
59350.167451 -0.126884 
59350.205062 -0.111393 
59350.242672 -0.094199 
59350.280282 -0.075334 
59350.317892 -0.054834 
59350.355502 -0.032737 
59350.393112 -0.009086 
59350.430722 0.016077 
59350.468333 0.042705 
59350.505943 0.070747 
59350.543553 0.100152 
59350.581163 0.130866 
59350.618773 0.162831 
59350.656383 0.195988 
59350.693994 0.230276 
59350.731604 0.265631 
59350.769214 0.301988 
59350.806824 0.339278 
59350.844434 0.377431 
59350.882044 0.416377 
59350.919654 0.456043 
59350.957265 0.496353 
59350.994875 0.537231 
59351.032485 0.578600 
59351.070095 0.620382 
59351.107705 0.662496 
59351.145315 0.704861 
59351.182926 0.747397 
59351.220536 0.790020 
59351.258146 0.832647 
59351.295756 0.875195 
59351.333366 0.917581 
59351.370976 0.959719 
59351.408586 1.001526 
59351.446197 1.042917 
59351.483807 1.083808 
59351.521417 1.124116 
59351.559027 1.163756 
59351.596637 1.202647 
59351.634247 1.240706 
59351.671858 1.277852 
59351.709468 1.314004 
59351.747078 1.349083 
59351.784688 1.383010 
59351.822298 1.415709 
59351.859908 1.447104 
59351.897519 1.477121 
59351.935129 1.505689 
59351.972739 1.532736 
59352.010349 1.558194 
59352.047959 1.581996 
59352.085569 1.604078 
59352.123179 1.624378 
59352.160790 1.642835 
59352.198400 1.659393 
59352.236010 1.673997 
59352.273620 1.686593 
59352.311230 1.697133 
59352.348840 1.705570 
59352.386451 1.711860 
59352.424061 1.715961 
59352.461671 1.717836 
59352.499281 1.717450 
59352.536891 1.714771 
59352.574501 1.709771 
59352.612111 1.702425 
59352.649722 1.692710 
59352.687332 1.680609 
59352.724942 1.666105 
59352.762552 1.649189 
59352.800162 1.629850 
59352.837772 1.608086 
59352.875383 1.583894 
59352.912993 1.557277 
59352.950603 1.528241 
59352.988213 1.496796 
59353.025823 1.462955 
59353.063433 1.426734 
59353.101043 1.388154 
59353.138654 1.347238 
59353.176264 1.304014 
59353.213874 1.258513 
59353.251484 1.210768 
59353.289094 1.160817 
59353.326704 1.108702 
59353.364315 1.054467 
59353.401925 0.998158 
59353.439535 0.939828 
59353.477145 0.879529 
59353.514755 0.817320 
59353.552365 0.753260 
59353.589976 0.687412 
59353.627586 0.619842 
59353.665196 0.550619 
59353.702806 0.479814 
59353.740416 0.407502 
59353.778026 0.333758 
59353.815636 0.258662 
59353.853247 0.182295 
59353.890857 0.104741 
59353.928467 0.026084 
59353.966077 -0.053587 
59354.003687 -0.134184 
59354.041297 -0.215614 
59354.078908 -0.297787 
59354.116518 -0.380606 
59354.154128 -0.463978 
59354.191738 -0.547804 
59354.229348 -0.631987 
59354.266958 -0.716429 
59354.304568 -0.801029 
59354.342179 -0.885687 
59354.379789 -0.970302 
59354.417399 -1.054773 
59354.455009 -1.138998 
59354.492619 -1.222876 
59354.530229 -1.306304 
59354.567840 -1.389181 
59354.605450 -1.471405 
59354.643060 -1.552876 
59354.680670 -1.633492 
59354.718280 -1.713156 
59354.755890 -1.791766 
59354.793500 -1.869226 
59354.831111 -1.945439 
59354.868721 -2.020309 
59354.906331 -2.093742 
59354.943941 -2.165645 
59354.981551 -2.235927 
59355.019161 -2.304499 
59355.056772 -2.371274 
59355.094382 -2.436166 
59355.131992 -2.499091 
59355.169602 -2.559970 
59355.207212 -2.618722 
59355.244822 -2.675273 
59355.282433 -2.729547 
59355.320043 -2.781475 
59355.357653 -2.830989 
59355.395263 -2.878022 
59355.432873 -2.922512 
59355.470483 -2.964400 
59355.508093 -3.003631 
59355.545704 -3.040150 
59355.583314 -3.073909 
59355.620924 -3.104861 
59355.658534 -3.132962 
59355.696144 -3.158174 
59355.733754 -3.180461 
59355.771365 -3.199790 
59355.808975 -3.216133 
59355.846585 -3.229464 
59355.884195 -3.239762 
59355.921805 -3.247009 
59355.959415 -3.251193 
59355.997025 -3.252302 
59356.034636 -3.250330 
59356.072246 -3.245274 
59356.109856 -3.237137 
59356.147466 -3.225922 
59356.185076 -3.211640 
59356.222686 -3.194302 
59356.260297 -3.173925 
59356.297907 -3.150529 
59356.335517 -3.124137 
59356.373127 -3.094778 
59356.410737 -3.062482 
59356.448347 -3.027285 
59356.485957 -2.989223 
59356.523568 -2.948340 
59356.561178 -2.904680 
59356.598788 -2.858292 
59356.636398 -2.809228 
59356.674008 -2.757542 
59356.711618 -2.703292 
59356.749229 -2.646541 
59356.786839 -2.587353 
59356.824449 -2.525793 
59356.862059 -2.461933 
59356.899669 -2.395845 
59356.937279 -2.327604 
59356.974890 -2.257287 
59357.012500 -2.184976 
59357.050110 -2.110752 
59357.087720 -2.034701 
59357.125330 -1.956907 
59357.162940 -1.877461 
59357.200550 -1.796452 
59357.238161 -1.713972 
59357.275771 -1.630116 
59357.313381 -1.544977 
59357.350991 -1.458653 
59357.388601 -1.371241 
59357.426211 -1.282840 
59357.463822 -1.193548 
59357.501432 -1.103466 
59357.539042 -1.012695 
59357.576652 -0.921337 
59357.614262 -0.829493 
59357.651872 -0.737265 
59357.689482 -0.644755 
59357.727093 -0.552065 
59357.764703 -0.459298 
59357.802313 -0.366554 
59357.839923 -0.273935 
59357.877533 -0.181542 
59357.915143 -0.089473 
59357.952754 0.002171 
59357.990364 0.093292 
59358.027974 0.183795 
59358.065584 0.273582 
59358.103194 0.362559 
59358.140804 0.450634 
59358.178414 0.537716 
59358.216025 0.623713 
59358.253635 0.708539 
59358.291245 0.792107 
59358.328855 0.874333 
59358.366465 0.955136 
59358.404075 1.034436 
59358.441686 1.112155 
59358.479296 1.188218 
59358.516906 1.262553 
59358.554516 1.335089 
59358.592126 1.405761 
59358.629736 1.474502 
59358.667347 1.541252 
59358.704957 1.605951 
59358.742567 1.668543 
59358.780177 1.728976 
59358.817787 1.787200 
59358.855397 1.843167 
59358.893007 1.896834 
59358.930618 1.948160 
59358.968228 1.997108 
59359.005838 2.043645 
59359.043448 2.087738 
59359.081058 2.129361 
59359.118668 2.168490 
59359.156279 2.205103 
59359.193889 2.239182 
59359.231499 2.270715 
59359.269109 2.299689 
59359.306719 2.326097 
59359.344329 2.349934 
59359.381939 2.371201 
59359.419550 2.389897 
59359.457160 2.406030 
59359.494770 2.419608 
59359.532380 2.430642 
59359.569990 2.439147 
59359.607600 2.445141 
59359.645211 2.448646 
59359.682821 2.449684 
59359.720431 2.448284 
59359.758041 2.444474 
59359.795651 2.438288 
59359.833261 2.429760 
59359.870871 2.418927 
59359.908482 2.405832 
59359.946092 2.390516 
59359.983702 2.373025 
59360.021312 2.353406 
59360.058922 2.331709 
59360.096532 2.307987 
59360.134143 2.282293 
59360.171753 2.254683 
59360.209363 2.225215 
59360.246973 2.193949 
59360.284583 2.160946 
59360.322193 2.126268 
59360.359804 2.089980 
59360.397414 2.052148 
59360.435024 2.012838 
59360.472634 1.972118 
59360.510244 1.930057 
59360.547854 1.886725 
59360.585464 1.842191 
59360.623075 1.796529 
59360.660685 1.749808 
59360.698295 1.702101 
59360.735905 1.653481 
59360.773515 1.604021 
59360.811125 1.553793 
59360.848736 1.502870 
59360.886346 1.451325 
59360.923956 1.399230 
59360.961566 1.346658 
59360.999176 1.293679 
59361.036786 1.240366 
59361.074396 1.186788 
59361.112007 1.133015 
59361.149617 1.079117 
59361.187227 1.025161 
59361.224837 0.971213 
59361.262447 0.917341 
59361.300057 0.863607 
59361.337668 0.810076 
59361.375278 0.756809 
59361.412888 0.703867 
59361.450498 0.651308 
59361.488108 0.599189 
59361.525718 0.547566 
59361.563328 0.496493 
59361.600939 0.446021 
59361.638549 0.396200 
59361.676159 0.347078 
59361.713769 0.298701 
59361.751379 0.251114 
59361.788989 0.204357 
59361.826600 0.158471 
59361.864210 0.113493 
59361.901820 0.069458 
59361.939430 -1.362434 
