# time model 
59318.650141 -1.332260 
59318.687751 -1.103933 
59318.725361 -0.865491 
59318.762971 -0.620545 
59318.800582 -0.372525 
59318.838192 -0.124599 
59318.875802 0.120390 
59318.913412 0.359956 
59318.951022 0.591980 
59318.988632 0.814706 
59319.026243 1.026716 
59319.063853 1.226905 
59319.101463 1.414445 
59319.139073 1.588748 
59319.176683 1.749432 
59319.214293 1.896285 
59319.251903 2.029233 
59319.289514 2.148315 
59319.327124 2.253654 
59319.364734 2.345441 
59319.402344 2.423913 
59319.439954 2.489341 
59319.477564 2.542017 
59319.515175 2.582242 
59319.552785 2.610325 
59319.590395 2.626568 
59319.628005 2.631270 
59319.665615 2.624716 
59319.703225 2.607182 
59319.740836 2.578928 
59319.778446 2.540199 
59319.816056 2.491224 
59319.853666 2.432220 
59319.891276 2.363387 
59319.928886 2.284914 
59319.966496 2.196979 
59320.004107 2.099748 
59320.041717 1.993383 
59320.079327 1.878040 
59320.116937 1.753876 
59320.154547 1.621047 
59320.192157 1.479721 
59320.229768 1.330075 
59320.267378 1.172305 
59320.304988 1.006632 
59320.342598 0.833310 
59320.380208 0.652631 
59320.417818 0.464942 
59320.455428 0.270649 
59320.493039 0.070233 
59320.530649 -0.135733 
59320.568259 -0.346578 
59320.605869 -0.561507 
59320.643479 -0.779588 
59320.681089 -0.999735 
59320.718700 -1.220690 
59320.756310 -1.441006 
59320.793920 -1.659034 
59320.831530 -1.872917 
59320.869140 -2.080584 
59320.906750 -2.279762 
59320.944360 -2.467991 
59320.981971 -2.642660 
59321.019581 -2.801059 
59321.057191 -2.940448 
59321.094801 -3.058144 
59321.132411 -3.151626 
59321.170021 -3.218652 
59321.207632 -3.257377 
59321.245242 -3.266472 
59321.282852 -3.245221 
59321.320462 -3.193597 
59321.358072 -3.112296 
59321.395682 -3.002733 
59321.433293 -2.866992 
59321.470903 -2.707737 
59321.508513 -2.528089 
59321.546123 -2.331486 
59321.583733 -2.121536 
59321.621343 -1.901871 
59321.658953 -1.676019 
59321.696564 -1.447306 
59321.734174 -1.218770 
59321.771784 -0.993115 
59321.809394 -0.772685 
59321.847004 -0.559454 
59321.884614 -0.355044 
59321.922225 -0.160744 
59321.959835 0.022456 
59321.997445 0.193834 
59322.035055 0.352896 
59322.072665 0.499339 
59322.110275 0.633022 
59322.147885 0.753932 
59322.185496 0.862159 
59322.223106 0.957869 
59322.260716 1.041290 
59322.298326 1.112687 
59322.335936 1.172357 
59322.373546 1.220611 
59322.411157 1.257766 
59322.448767 1.284142 
59322.486377 1.300050 
59322.523987 1.305793 
59322.561597 1.301661 
59322.599207 1.287929 
59322.636817 1.264854 
59322.674428 1.232679 
59322.712038 1.191628 
59322.749648 1.141908 
59322.787258 1.083712 
59322.824868 1.017217 
59322.862478 0.942588 
59322.900089 0.859979 
59322.937699 0.769536 
59322.975309 0.671401 
59323.012919 0.565711 
59323.050529 0.452609 
59323.088139 0.332243 
59323.125750 0.204771 
59323.163360 0.070373 
59323.200970 -0.070750 
59323.238580 -0.218361 
59323.276190 -0.372182 
59323.313800 -0.531884 
59323.351410 -0.697071 
59323.389021 -0.867273 
59323.426631 -1.041927 
59323.464241 -1.220365 
59323.501851 -1.401794 
59323.539461 -1.585279 
59323.577071 -1.769728 
59323.614682 -1.953873 
59323.652292 -2.136255 
59323.689902 -2.315210 
59323.727512 -2.488866 
59323.765122 -2.655140 
59323.802732 -2.811750 
59323.840342 -2.956239 
59323.877953 -3.086012 
59323.915563 -3.198394 
59323.953173 -3.290706 
59323.990783 -3.360352 
59324.028393 -3.404937 
59324.066003 -3.422375 
59324.103614 -3.411018 
59324.141224 -3.369761 
59324.178834 -3.298141 
59324.216444 -3.196396 
59324.254054 -3.065491 
59324.291664 -2.907099 
59324.329274 -2.723542 
59324.366885 -2.517685 
59324.404495 -2.292814 
59324.442105 -2.052486 
59324.479715 -1.800382 
59324.517325 -1.540172 
