# time model 
59318.650141 0.146061 
59318.687751 0.342404 
59318.725361 0.557015 
59318.762971 0.785833 
59318.800582 1.024730 
59318.838192 1.269679 
59318.875802 1.516892 
59318.913412 1.762921 
59318.951022 2.004730 
59318.988632 2.239725 
59319.026243 2.465759 
59319.063853 2.681114 
59319.101463 2.884469 
59319.139073 3.074858 
59319.176683 3.251621 
59319.214293 3.414358 
59319.251903 3.562884 
59319.289514 3.697183 
59319.327124 3.817377 
59319.364734 3.923689 
59319.402344 4.016415 
59319.439954 4.095907 
59319.477564 4.162548 
59319.515175 4.216740 
59319.552785 4.258892 
59319.590395 4.289413 
59319.628005 4.308701 
59319.665615 4.317139 
59319.703225 4.315094 
59319.740836 4.302912 
59319.778446 4.280917 
59319.816056 4.249413 
59319.853666 4.208678 
59319.891276 4.158970 
59319.928886 4.100527 
59319.966496 4.033564 
59320.004107 3.958282 
59320.041717 3.874862 
59320.079327 3.783472 
59320.116937 3.684269 
59320.154547 3.577399 
59320.192157 3.463005 
59320.229768 3.341226 
59320.267378 3.212203 
59320.304988 3.076084 
59320.342598 2.933031 
59320.380208 2.783221 
59320.417818 2.626861 
59320.455428 2.464189 
59320.493039 2.295487 
59320.530649 2.121093 
59320.568259 1.941410 
59320.605869 1.756923 
59320.643479 1.568212 
59320.681089 1.375972 
59320.718700 1.181029 
59320.756310 0.984361 
59320.793920 0.787119 
59320.831530 0.590643 
59320.869140 0.396485 
59320.906750 0.206422 
59320.944360 0.022464 
59320.981971 -0.153145 
59321.019581 -0.317942 
59321.057191 -0.469264 
59321.094801 -0.604304 
59321.132411 -0.720173 
59321.170021 -0.813996 
59321.207632 -0.883022 
59321.245242 -0.924761 
59321.282852 -0.937126 
59321.320462 -0.918579 
59321.358072 -0.868258 
59321.395682 -0.786081 
59321.433293 -0.672803 
59321.470903 -0.530017 
59321.508513 -0.360104 
59321.546123 -0.166128 
59321.583733 0.048319 
59321.621343 0.279290 
59321.658953 0.522670 
59321.696564 0.774355 
59321.734174 1.030406 
59321.771784 1.287172 
59321.809394 1.541382 
59321.847004 1.790189 
59321.884614 2.031196 
59321.922225 2.262448 
59321.959835 2.482406 
59321.997445 2.689909 
59322.035055 2.884132 
59322.072665 3.064533 
59322.110275 3.230813 
59322.147885 3.382865 
59322.185496 3.520737 
59322.223106 3.644598 
59322.260716 3.754706 
59322.298326 3.851383 
59322.335936 3.934997 
59322.373546 4.005940 
59322.411157 4.064618 
59322.448767 4.111440 
59322.486377 4.146811 
59322.523987 4.171121 
59322.561597 4.184748 
59322.599207 4.188048 
59322.636817 4.181359 
59322.674428 4.164994 
59322.712038 4.139246 
59322.749648 4.104385 
59322.787258 4.060659 
59322.824868 4.008296 
59322.862478 3.947504 
59322.900089 3.878475 
59322.937699 3.801385 
59322.975309 3.716396 
59323.012919 3.623660 
59323.050529 3.523322 
59323.088139 3.415522 
59323.125750 3.300400 
59323.163360 3.178100 
59323.200970 3.048775 
59323.238580 2.912593 
59323.276190 2.769744 
59323.313800 2.620448 
59323.351410 2.464961 
59323.389021 2.303589 
59323.426631 2.136697 
59323.464241 1.964722 
59323.501851 1.788191 
59323.539461 1.607731 
59323.577071 1.424093 
59323.614682 1.238168 
59323.652292 1.051009 
59323.689902 0.863846 
59323.727512 0.678114 
59323.765122 0.495461 
59323.802732 0.317766 
59323.840342 0.147143 
59323.877953 -0.014064 
59323.915563 -0.163299 
59323.953173 -0.297830 
59323.990783 -0.414803 
59324.028393 -0.511324 
59324.066003 -0.584555 
59324.103614 -0.631846 
59324.141224 -0.650865 
59324.178834 -0.639753 
59324.216444 -0.597254 
59324.254054 -0.522843 
59324.291664 -0.416802 
59324.329274 -0.280260 
59324.366885 -0.115170 
59324.404495 0.075770 
59324.442105 0.289241 
59324.479715 0.521471 
59324.517325 0.768414 
59324.554935 1.025938 
59324.592546 1.289994 
59324.630156 1.556756 
59324.667766 1.822731 
59324.705376 2.084830 
59324.742986 2.340401 
59324.780596 2.587245 
59324.818207 2.823591 
59324.855817 3.048073 
59324.893427 3.259680 
59324.931037 3.457718 
59324.968647 3.641756 
59325.006257 3.811582 
59325.043867 3.967160 
59325.081478 4.108594 
59325.119088 4.236094 
59325.156698 4.349946 
59325.194308 4.450493 
59325.231918 4.538111 
59325.269528 4.613199 
59325.307139 4.676163 
59325.344749 4.727407 
59325.382359 4.767328 
59325.419969 4.796308 
59325.457579 4.814713 
59325.495189 4.822887 
59325.532799 4.821155 
59325.570410 4.809818 
59325.608020 4.789154 
59325.645630 4.759421 
59325.683240 4.720853 
59325.720850 4.673668 
59325.758460 4.618061 
59325.796071 4.554214 
59325.833681 4.482291 
59325.871291 4.402447 
59325.908901 4.314826 
59325.946511 4.219566 
59325.984121 4.116802 
59326.021731 4.006672 
59326.059342 3.889319 
59326.096952 3.764897 
59326.134562 3.633579 
59326.172172 3.495562 
59326.209782 3.351076 
59326.247392 3.200394 
59326.285003 3.043841 
59326.322613 2.881809 
59326.360223 2.714767 
59326.397833 2.543279 
59326.435443 2.368021 
59326.473053 2.189798 
59326.510664 2.009565 
59326.548274 1.828445 
59326.585884 1.647753 
59326.623494 1.469009 
59326.661104 1.293959 
59326.698714 1.124580 
59326.736324 0.963084 
59326.773935 0.811906 
59326.811545 0.673680 
59326.849155 0.551197 
59326.886765 0.447333 
59326.924375 0.364967 
59326.961985 0.306864 
59326.999596 0.275547 
59327.037206 0.273153 
59327.074816 0.301285 
59327.112426 0.360884 
59327.150036 0.452122 
59327.187646 0.574337 
59327.225256 0.726028 
59327.262867 0.904893 
59327.300477 1.107937 
59327.338087 1.331616 
59327.375697 1.572007 
59327.413307 1.825001 
59327.450917 2.086478 
59327.488528 2.352467 
59327.526138 2.619274 
59327.563748 2.883572 
59327.601358 3.142459 
59327.638968 3.393481 
59327.676578 3.634624 
59327.714188 3.864297 
59327.751799 4.081294 
59327.789409 4.284746 
