# time model 
2449300.559923 1.082630 
2449302.241974 2.100702 
2449303.924026 2.202149 
2449305.606078 0.971618 
2449307.288129 -1.024306 
2449308.970181 -2.256960 
2449310.652233 -2.095030 
2449312.334284 -1.005329 
2449314.016336 0.411849 
2449315.698388 1.678337 
2449317.380439 2.302781 
2449319.062491 1.743652 
2449320.744543 -0.039569 
2449322.426594 -1.822714 
2449324.108646 -2.331595 
2449325.790698 -1.616730 
2449327.472749 -0.295119 
2449329.154801 1.102219 
2449330.836853 2.110589 
2449332.518904 2.193758 
2449334.200956 0.943572 
2449335.883008 -1.052411 
2449337.565059 -2.264573 
2449339.247111 -2.083709 
2449340.929163 -0.984875 
2449342.611215 0.433409 
2449344.293266 1.694039 
2449345.975318 2.304383 
2449347.657370 1.724277 
2449349.339421 -0.071153 
2449351.021473 -1.841537 
2449352.703525 -2.328450 
2449354.385576 -1.599609 
2449356.067628 -0.273233 
2449357.749680 1.121721 
2449359.431731 2.120262 
2449361.113783 2.185038 
2449362.795835 0.915326 
2449364.477886 -1.080307 
2449366.159938 -2.271839 
2449367.841990 -2.072177 
2449369.524041 -0.964349 
2449371.206093 0.454933 
2449372.888145 1.709592 
2449374.570196 2.305702 
2449376.252248 1.704588 
2449377.934300 -0.102733 
2449379.616352 -1.860028 
2449381.298403 -2.325015 
2449382.980455 -1.582353 
2449384.662507 -0.251331 
2449386.344558 1.141133 
2449388.026610 2.129718 
2449389.708662 2.175987 
2449391.390713 0.886883 
2449393.072765 -1.107989 
2449394.754817 -2.278760 
2449396.436868 -2.060434 
2449398.118920 -0.943755 
2449399.800972 0.476420 
2449401.483023 1.724995 
2449403.165075 2.306735 
2449404.847127 1.684587 
2449406.529178 -0.134301 
2449408.211230 -1.878184 
2449409.893282 -2.321293 
2449411.575333 -1.564964 
2449413.257385 -0.229417 
2449414.939437 1.160453 
2449416.621488 2.138956 
2449418.303540 2.166606 
2449419.985592 0.858250 
2449421.667644 -1.135452 
2449423.349695 -2.285337 
2449425.031747 -2.048484 
2449426.713799 -0.923093 
2449428.395850 0.497867 
2449430.077902 1.740247 
2449431.759954 2.307481 
2449433.442005 1.664276 
2449435.124057 -0.165851 
2449436.806109 -1.896004 
2449438.488160 -2.317285 
2449440.170212 -1.547445 
2449441.852264 -0.207492 
2449443.534315 1.179680 
2449445.216367 2.147973 
2449446.898419 2.156893 
2449448.580470 0.829431 
2449450.262522 -1.162690 
2449451.944574 -2.291570 
2449453.626625 -2.036329 
2449455.308677 -0.902366 
2449456.990729 0.519274 
2449458.672781 1.755344 
2449460.354832 2.307937 
2449462.036884 1.643656 
2449463.718936 -0.197376 
2449465.400987 -1.913486 
2449467.083039 -2.312994 
2449468.765091 -1.529796 
2449470.447142 -0.185556 
2449472.129194 1.198812 
2449473.811246 2.156767 
2449475.493297 2.146847 
2449477.175349 0.800432 
2449478.857401 -1.189698 
2449480.539452 -2.297462 
2449482.221504 -2.023972 
2449483.903556 -0.881575 
2449485.585607 0.540638 
2449487.267659 1.770284 
2449488.949711 2.308103 
2449490.631762 1.622730 
2449492.313814 -0.228869 
2449493.995866 -1.930629 
2449495.677917 -2.308422 
2449497.359969 -1.512022 
2449499.042021 -0.163613 
2449500.724073 1.217848 
2449502.406124 2.165335 
2449504.088176 2.136470 
2449505.770228 0.771258 
2449507.452279 -1.216471 
2449509.134331 -2.303012 
2449510.816383 -2.011414 
2449512.498434 -0.860722 
2449514.180486 0.561959 
2449515.862538 1.785067 
2449517.544589 2.307975 
2449519.226641 1.601500 
2449520.908693 -0.260324 
2449522.590744 -1.947432 
2449524.272796 -2.303571 
2449525.954848 -1.494123 
2449527.636899 -0.141663 
2449529.318951 1.236785 
2449531.001003 2.173677 
2449532.683054 2.125759 
2449534.365106 0.741915 
2449536.047158 -1.243005 
2449537.729210 -2.308222 
2449539.411261 -1.998659 
2449541.093313 -0.839809 
2449542.775365 0.583234 
2449544.457416 1.799690 
2449546.139468 2.307553 
2449547.821520 1.579970 
2449549.503571 -0.291733 
2449551.185623 -1.963891 
2449552.867675 -2.298444 
2449554.549726 -1.476101 
2449556.231778 -0.119708 
2449557.913830 1.255622 
2449559.595881 2.181789 
2449561.277933 2.114715 
2449562.959985 0.712409 
2449564.642036 -1.269294 
2449566.324088 -2.313094 
2449568.006140 -1.985709 
2449569.688191 -0.818837 
2449571.370243 0.604462 
2449573.052295 1.814151 
2449574.734347 2.306835 
