# time model 
2449300.559923 1.072237 
2449313.101259 -0.512312 
2449325.642595 -1.818889 
2449338.183931 -2.297831 
2449350.725267 -1.534577 
2449363.266603 0.314400 
2449375.807939 2.032669 
2449388.349275 2.366328 
2449400.890611 1.362238 
2449413.431947 -0.202600 
2449425.973283 -1.610245 
2449438.514619 -2.292310 
2449451.055955 -1.790447 
2449463.597291 -0.091687 
2449476.138627 1.779302 
2449488.679963 2.425879 
2449501.221299 1.630943 
2449513.762635 0.113732 
2449526.303971 -1.373154 
2449538.845307 -2.239533 
2449551.386643 -1.995848 
2449563.927979 -0.489089 
2449576.469315 1.473187 
2449589.010651 2.426223 
2449601.551987 1.871834 
2449614.093323 0.431834 
2449626.634659 -1.111703 
2449639.175995 -2.142736 
2449651.717331 -2.148713 
2449664.258667 -0.865601 
2449676.800003 1.123593 
2449689.341339 2.363871 
2449701.882675 2.078184 
2449714.424011 0.746560 
2449726.965347 -0.830055 
2449739.506684 -2.005495 
2449752.048020 -2.248615 
2449764.589356 -1.210705 
2449777.130692 0.741976 
2449789.672028 2.237302 
2449802.213364 2.243228 
2449814.754700 1.052435 
2449827.296036 -0.532473 
2449839.837372 -1.831603 
2449852.378708 -2.296459 
2449864.920044 -1.515938 
2449877.461380 0.341277 
2449890.002716 2.047407 
2449902.544052 2.360409 
2449915.085388 1.343624 
2449927.626724 -0.223365 
2449940.168060 -1.624984 
2449952.709396 -2.294169 
2449965.250732 -1.775032 
2449977.792068 -0.064924 
2449990.333404 1.797798 
2450002.874740 2.423718 
2450015.416076 1.613937 
2450027.957412 0.092677 
2450040.498748 -1.389652 
2450053.040084 -2.244426 
2450065.581420 -1.983858 
2450078.122756 -0.463294 
2450090.664092 1.494916 
2450103.205428 2.428110 
2450115.746764 1.856876 
2450128.288100 0.410817 
2450140.829436 -1.129686 
2450153.370772 -2.150437 
2450165.912109 -2.140231 
2450178.453445 -0.841536 
2450190.994781 1.147867 
2450203.536117 2.369981 
2450216.077453 2.065724 
2450228.618789 0.725932 
2450241.160125 -0.849245 
2450253.701461 -2.015759 
2450266.242797 -2.243626 
2450278.784133 -1.189005 
2450291.325469 0.767983 
2450303.866805 2.247665 
2450316.408141 2.233709 
2450328.949477 1.032569 
2450341.490813 -0.552584 
2450354.032149 -1.844173 
2450366.573485 -2.294866 
2450379.114821 -1.497096 
2450391.656157 0.368130 
2450404.197493 2.061882 
2450416.738829 2.354253 
2450429.280165 1.324918 
2450441.821501 -0.244099 
2450454.362837 -1.639598 
2450466.904173 -2.295821 
2450479.445509 -1.759395 
2450491.986845 -0.038127 
2450504.528181 1.816058 
2450517.069517 2.421299 
2450529.610853 1.596812 
2450542.152189 0.071630 
2450554.693525 -1.406041 
2450567.234861 -2.249125 
2450579.776197 -1.971638 
2450592.317534 -0.437411 
2450604.858870 1.516450 
2450617.400206 2.429721 
2450629.941542 1.841769 
2450642.482878 0.389786 
2450655.024214 -1.147579 
2450667.565550 -2.157959 
2450680.106886 -2.131517 
2450692.648222 -0.817335 
2450705.189558 1.171997 
2450717.730894 2.375808 
2450730.272230 2.053084 
2450742.813566 0.705267 
2450755.354902 -0.868363 
2450767.896238 -2.025860 
2450780.437574 -2.238407 
2450792.978910 -1.167131 
2450805.520246 0.793901 
2450818.061582 2.257748 
2450830.602918 2.223982 
2450843.144254 1.012641 
2450855.685590 -0.572642 
2450868.226926 -1.856598 
2450880.768262 -2.293053 
2450893.309598 -1.478052 
2450905.850934 0.394954 
2450918.392270 2.076092 
2450930.933606 2.347863 
2450943.474942 1.306122 
2450956.016278 -0.264801 
2450968.557614 -1.654084 
2450981.098950 -2.297263 
2450993.640286 -1.743538 
2451006.181622 -0.011298 
2451018.722959 1.834082 
2451031.264295 2.418622 
2451043.805631 1.579568 
2451056.346967 0.050594 
2451068.888303 -1.422322 
2451081.429639 -2.253629 
2451093.970975 -1.959187 
2451106.512311 -0.411441 
2451119.053647 1.537787 
2451131.594983 2.431059 
2451144.136319 1.826515 
2451156.677655 0.368744 
2451169.218991 -1.165381 
2451181.760327 -2.165301 
2451194.301663 -2.122569 
2451206.842999 -0.793001 
2451219.384335 1.195979 
2451231.925671 2.381352 
2451244.467007 2.040267 
2451257.008343 0.684566 
2451269.549679 -0.887409 
2451282.091015 -2.035798 
2451294.632351 -2.232959 
2451307.173687 -1.145086 
2451319.715023 0.819729 
2451332.256359 2.267551 
2451344.797695 2.214049 
2451357.339031 0.992652 
2451369.880367 -0.592647 
