# time model 
2449300.559923 0.373272 
2449313.101259 -0.980825 
2449325.642595 1.442012 
2449338.183931 -1.377199 
2449350.725267 -0.005492 
2449363.266603 1.476131 
2449375.807939 -1.872744 
2449388.349275 0.821399 
2449400.890611 0.601898 
2449413.431947 -1.125607 
2449425.973283 1.388835 
2449438.514619 -1.152548 
2449451.055955 -0.143589 
2449463.597291 1.515805 
2449476.138627 -1.908431 
2449488.679963 0.712912 
2449501.221299 0.805580 
2449513.762635 -1.266728 
2449526.303971 1.326470 
2449538.845307 -0.900788 
2449551.386643 -0.284762 
2449563.927979 1.537433 
2449576.469315 -1.911522 
2449589.010651 0.599209 
2449601.551987 0.982698 
2449614.093323 -1.402081 
2449626.634659 1.255697 
2449639.175995 -0.631398 
2449651.717331 -0.428518 
2449664.258667 1.542749 
2449676.800003 -1.877490 
2449689.341339 0.480583 
2449701.882675 1.132967 
2449714.424011 -1.529092 
2449726.965347 1.177194 
2449739.506684 -0.354580 
2449752.048020 -0.574256 
2449764.589356 1.533345 
2449777.130692 -1.802789 
2449789.672028 0.357315 
2449802.213364 1.257067 
2449814.754700 -1.644670 
2449827.296036 1.091547 
2449839.837372 -0.080178 
2449852.378708 -0.721227 
2449864.920044 1.510662 
2449877.461380 -1.685524 
2449890.002716 0.229684 
2449902.544052 1.356311 
2449915.085388 -1.745174 
2449927.626724 0.999266 
2449940.168060 0.183217 
2449952.709396 -0.868499 
2449965.250732 1.475984 
2449977.792068 -1.526078 
2449990.333404 0.097979 
2450002.874740 1.432378 
2450015.416076 -1.826416 
2450027.957412 0.900793 
2450040.498748 0.428817 
2450053.040084 -1.014908 
2450065.581420 1.430447 
2450078.122756 -1.327546 
2450090.664092 -0.037482 
2450103.205428 1.487119 
2450115.746764 -1.883750 
2450128.288100 0.796517 
2450140.829436 0.651840 
2450153.370772 -1.159000 
2450165.912109 1.375046 
2450178.453445 -1.095785 
2450190.994781 -0.176337 
2450203.536117 1.522412 
2450216.077453 -1.912251 
2450228.618789 0.686784 
2450241.160125 0.849400 
2450253.701461 -1.298978 
2450266.242797 1.310649 
2450278.784133 -0.839009 
2450291.325469 -0.318162 
2450303.866805 1.540076 
2450316.408141 -1.907042 
