# time model 
2449300.559923 1.799672 
2449313.101259 -1.420054 
2449325.642595 0.937305 
2449338.183931 -0.635282 
2449350.725267 -0.748843 
2449363.266603 1.746367 
2449375.807939 -1.806536 
2449388.349275 0.008149 
2449400.890611 1.933257 
2449413.431947 -1.498653 
2449425.973283 0.822960 
2449438.514619 -0.273336 
2449451.055955 -0.846685 
2449463.597291 1.646647 
2449476.138627 -1.777605 
2449488.679963 -0.098481 
2449501.221299 2.011373 
2449513.762635 -1.572058 
2449526.303971 0.709171 
2449538.845307 0.118314 
2449551.386643 -0.942972 
2449563.927979 1.541148 
2449576.469315 -1.718171 
2449589.010651 -0.204023 
2449601.551987 2.042850 
2449614.093323 -1.639081 
2449626.634659 0.596125 
2449639.175995 0.517211 
2449651.717331 -1.037509 
2449664.258667 1.431690 
2449676.800003 -1.621902 
2449689.341339 -0.308472 
2449701.882675 2.036657 
2449714.424011 -1.698226 
2449726.965347 0.483951 
2449739.506684 0.897996 
2449752.048020 -1.130040 
2449764.589356 1.319641 
2449777.130692 -1.482110 
2449789.672028 -0.411794 
2449802.213364 2.000926 
2449814.754700 -1.747607 
2449827.296036 0.372736 
2449839.837372 1.237825 
2449852.378708 -1.220237 
2449864.920044 1.206027 
2449877.461380 -1.292564 
2449890.002716 -0.513967 
2449902.544052 1.942551 
2449915.085388 -1.784860 
2449927.626724 0.262537 
2449940.168060 1.520665 
2449952.709396 -1.307677 
2449965.250732 1.091612 
2449977.792068 -1.048878 
2449990.333404 -0.614942 
2450002.874740 1.867137 
2450015.416076 -1.807036 
2450027.957412 0.153385 
2450040.498748 1.739159 
2450053.040084 -1.391822 
2450065.581420 0.976958 
2450078.122756 -0.750495 
2450090.664092 -0.714651 
2450103.205428 1.779113 
2450115.746764 -1.810487 
2450128.288100 0.045301 
2450140.829436 1.893720 
2450153.370772 -1.471989 
2450165.912109 0.862479 
2450178.453445 -0.402917 
2450190.994781 -0.812994 
2450203.536117 1.681917 
2450216.077453 -1.790767 
2450228.618789 -0.061704 
2450241.160125 1.990083 
2450253.701461 -1.547312 
2450266.242797 0.748472 
2450278.784133 -0.019283 
2450291.325469 -0.909838 
2450303.866805 1.578186 
2450316.408141 -1.742572 
2450328.949477 -0.167624 
2450341.490813 2.036664 
2450354.032149 -1.616696 
2450366.573485 0.635152 
2450379.114821 0.379912 
2450391.656157 -1.005006 
2450404.197493 1.469923 
2450416.738829 -1.659801 
2450429.280165 -0.272455 
2450441.821501 2.042531 
2450454.362837 -1.678758 
2450466.904173 0.522664 
2450479.445509 0.769806 
2450491.986845 -1.098265 
2450504.528181 1.358639 
2450517.069517 -1.535821 
2450529.610853 -0.376167 
2450542.152189 2.016175 
2450554.693525 -1.731759 
2450567.234861 0.411110 
2450579.776197 1.126038 
2450592.317534 -1.189312 
2450604.858870 1.245468 
2450617.400206 -1.364119 
2450629.941542 -0.478742 
2450642.482878 1.964938 
2450655.024214 -1.773511 
2450667.565550 0.300554 
2450680.106886 1.429876 
2450692.648222 -1.277761 
2450705.189558 1.131257 
2450717.730894 -1.139473 
2450730.272230 -0.580139 
2450742.813566 1.894863 
2450755.354902 -1.801279 
2450767.896238 0.191037 
2450780.437574 1.670942 
2450792.978910 -1.363116 
2450805.520246 1.016633 
2450818.061582 -0.859748 
2450830.602918 -0.680295 
2450843.144254 1.810768 
2450855.685590 -1.811671 
2450868.226926 0.082583 
2450880.768262 1.847190 
2450893.309598 -1.444747 
2450905.850934 0.902054 
2450918.392270 -0.528113 
2450930.933606 -0.779124 
2450943.474942 1.716410 
2450956.016278 -1.800526 
2450968.557614 -0.024797 
2450981.098950 1.962826 
2450993.640286 -1.521857 
2451006.181622 0.787856 
2451018.722959 -0.154976 
2451031.264295 -0.876504 
2451043.805631 1.614685 
2451056.346967 -1.762838 
2451068.888303 -0.131093 
2451081.429639 2.025608 
2451093.970975 -1.593437 
2451106.512311 0.674279 
2451119.053647 0.241519 
2451131.594983 -0.972276 
2451144.136319 1.507797 
2451156.677655 -1.692764 
2451169.218991 -0.236297 
2451181.760327 2.044557 
2451194.301663 -1.658210 
2451206.842999 0.561489 
2451219.384335 0.637537 
2451231.925671 -1.066226 
2451244.467007 1.397413 
2451257.008343 -1.583807 
2451269.549679 -0.340404 
2451282.091015 2.028456 
2451294.632351 -1.714569 
2451307.173687 0.449603 
2451319.715023 1.007899 
2451332.256359 -1.158077 
2451344.797695 1.284787 
2451357.339031 -1.429308 
2451369.880367 -0.443377 
2451382.421703 1.985080 
2451394.963039 -1.760493 
2451407.504375 0.338697 
2451420.045711 1.331495 
2451432.587047 -1.247475 
2451445.128384 1.170855 
2451457.669720 -1.223425 
2451470.211056 -0.545187 
2451482.752392 1.920920 
2451495.293728 -1.793449 
2451507.835064 0.228817 
2451520.376400 1.594908 
2451532.917736 -1.333965 
2451545.459072 1.056314 
2451558.000408 -0.962719 
2451570.541744 -0.645781 
2451583.083080 1.841201 
2451595.624416 -1.810283 
2451608.165752 0.119993 
2451620.707088 1.793372 
2451633.248424 -1.416965 
2451645.789760 0.941676 
2451658.331096 -0.648267 
2451670.872432 -0.745081 
2451683.413768 1.750028 
2451695.955104 -1.807114 
2451708.496440 0.012240 
2451721.037776 1.929230 
2451733.579112 -1.495743 
2451746.120448 0.827315 
2451758.661784 -0.287817 
2451771.203120 -0.842978 
2451783.744456 1.650571 
2451796.285792 -1.779231 
2451808.827128 -0.094432 
2451821.368464 2.009306 
2451833.909800 -1.569366 
2451846.451136 0.713501 
2451858.992472 0.103078 
2451871.533809 -0.939328 
2451884.075145 1.545257 
2451896.616481 -1.721073 
2451909.157817 -0.200015 
2451921.699153 2.042395 
2451934.240489 -1.636658 
2451946.781825 0.600423 
2451959.323161 0.502162 
2451971.864497 -1.033936 
2451984.405833 1.435922 
2451996.947169 -1.626332 
2452009.488505 -0.304507 
2452022.029841 2.037483 
2452034.571177 -1.696134 
2452047.112513 0.488214 
2452059.653849 0.884089 
2452072.195185 -1.126550 
2452084.736521 1.323951 
2452097.277857 -1.488322 
2452109.819193 -0.407872 
2452122.360529 2.002744 
2452134.901865 -1.745928 
2452147.443201 0.376962 
2452159.984537 1.225827 
2452172.525873 -1.216843 
2452185.067209 1.210382 
2452197.608545 -1.300772 
2452210.149881 -0.510089 
2452222.691217 1.945123 
2452235.232553 -1.783694 
2452247.773889 0.266723 
2452260.315225 1.511032 
2452272.856561 -1.304397 
2452285.397897 1.095985 
2452297.939234 -1.059194 
2452310.480570 -0.611112 
2452323.021906 1.870271 
2452335.563242 -1.806507 
2452348.104578 0.157531 
2452360.645914 1.732017 
2452373.187250 -1.388680 
2452385.728586 0.981332 
2452398.269922 -0.762842 
2452410.811258 -0.710870 
2452423.352594 1.782659 
2452435.893930 -1.810750 
2452448.435266 0.049406 
2452460.976602 1.888937 
2452473.517938 -1.469013 
2452486.059274 0.866840 
2452498.600610 -0.416951 
2452511.141946 -0.809267 
2452523.683282 1.685761 
2452536.224618 -1.792006 
2452548.765954 -0.057641 
2452561.307290 1.987377 
2452573.848626 -1.544539 
2452586.389962 0.752811 
2452598.931298 -0.034358 
2452611.472634 -0.906172 
2452624.013970 1.582239 
2452636.555306 -1.745005 
2452649.096642 -0.163602 
2452661.637978 2.035691 
2452674.179314 -1.614173 
2452686.720650 0.639461 
2452699.261986 0.364687 
2452711.803322 -1.001408 
2452724.344658 1.474118 
2452736.885995 -1.663673 
2452749.427331 -0.268475 
2452761.968667 2.042949 
2452774.510003 -1.676544 
