# time model 
2449300.559923 -0.499783 
2449313.101259 -0.517303 
2449325.642595 -0.534401 
2449338.183931 -0.551086 
2449350.725267 -0.567371 
2449363.266603 -0.583266 
2449375.807939 -0.598782 
2449388.349275 -0.613927 
2449400.890611 -0.628712 
2449413.431947 -0.643145 
2449425.973283 -0.657235 
2449438.514619 -0.670992 
2449451.055955 -0.684422 
2449463.597291 -0.697534 
2449476.138627 -0.710336 
2449488.679963 -0.722835 
2449501.221299 -0.735037 
2449513.762635 -0.746950 
2449526.303971 -0.758580 
2449538.845307 -0.769933 
2449551.386643 -0.781016 
2449563.927979 -0.791835 
2449576.469315 -0.802395 
2449589.010651 -0.812701 
2449601.551987 -0.822759 
2449614.093323 -0.832574 
2449626.634659 -0.842151 
2449639.175995 -0.851494 
2449651.717331 -0.860609 
2449664.258667 -0.869500 
2449676.800003 -0.878170 
2449689.341339 -0.886624 
2449701.882675 -0.894866 
2449714.424011 -0.902900 
2449726.965347 -0.910730 
2449739.506684 -0.918358 
2449752.048020 -0.925789 
2449764.589356 -0.933026 
2449777.130692 -0.940071 
2449789.672028 -0.946929 
2449802.213364 -0.953601 
2449814.754700 -0.960092 
2449827.296036 -0.966403 
2449839.837372 -0.972537 
2449852.378708 -0.978497 
2449864.920044 -0.984286 
2449877.461380 -0.989905 
2449890.002716 -0.995357 
2449902.544052 -1.000644 
2449915.085388 -1.005768 
2449927.626724 -1.010732 
2449940.168060 -1.015536 
2449952.709396 -1.020184 
2449965.250732 -1.024676 
2449977.792068 -1.029015 
2449990.333404 -1.033202 
2450002.874740 -1.037239 
2450015.416076 -1.041127 
2450027.957412 -1.044868 
2450040.498748 -1.048462 
2450053.040084 -1.051912 
2450065.581420 -1.055218 
2450078.122756 -1.058382 
2450090.664092 -1.061405 
2450103.205428 -1.064287 
2450115.746764 -1.067031 
2450128.288100 -1.069636 
2450140.829436 -1.072103 
2450153.370772 -1.074434 
2450165.912109 -1.076629 
2450178.453445 -1.078689 
2450190.994781 -1.080614 
2450203.536117 -1.082405 
2450216.077453 -1.084063 
2450228.618789 -1.085588 
2450241.160125 -1.086980 
2450253.701461 -1.088240 
2450266.242797 -1.089368 
2450278.784133 -1.090365 
2450291.325469 -1.091230 
2450303.866805 -1.091964 
2450316.408141 -1.092567 
2450328.949477 -1.093040 
2450341.490813 -1.093380 
2450354.032149 -1.093589 
2450366.573485 -1.093667 
2450379.114821 -1.093614 
2450391.656157 -1.093428 
2450404.197493 -1.093111 
2450416.738829 -1.092662 
2450429.280165 -1.092080 
2450441.821501 -1.091366 
2450454.362837 -1.090518 
2450466.904173 -1.089536 
2450479.445509 -1.088419 
2450491.986845 -1.087167 
2450504.528181 -1.085780 
2450517.069517 -1.084256 
2450529.610853 -1.082594 
2450542.152189 -1.080794 
2450554.693525 -1.078855 
2450567.234861 -1.076776 
2450579.776197 -1.074555 
2450592.317534 -1.072193 
2450604.858870 -1.069686 
2450617.400206 -1.067035 
2450629.941542 -1.064238 
2450642.482878 -1.061293 
2450655.024214 -1.058200 
2450667.565550 -1.054956 
2450680.106886 -1.051560 
2450692.648222 -1.048011 
2450705.189558 -1.044306 
2450717.730894 -1.040444 
2450730.272230 -1.036423 
2450742.813566 -1.032241 
2450755.354902 -1.027897 
2450767.896238 -1.023386 
2450780.437574 -1.018709 
2450792.978910 -1.013862 
2450805.520246 -1.008842 
2450818.061582 -1.003648 
2450830.602918 -0.998277 
2450843.144254 -0.992726 
2450855.685590 -0.986992 
2450868.226926 -0.981072 
2450880.768262 -0.974964 
2450893.309598 -0.968663 
2450905.850934 -0.962168 
2450918.392270 -0.955474 
2450930.933606 -0.948578 
2450943.474942 -0.941476 
2450956.016278 -0.934165 
2450968.557614 -0.926640 
2450981.098950 -0.918898 
2450993.640286 -0.910934 
2451006.181622 -0.902744 
2451018.722959 -0.894324 
2451031.264295 -0.885668 
2451043.805631 -0.876771 
2451056.346967 -0.867630 
2451068.888303 -0.858237 
2451081.429639 -0.848589 
2451093.970975 -0.838679 
2451106.512311 -0.828501 
2451119.053647 -0.818049 
2451131.594983 -0.807317 
2451144.136319 -0.796299 
2451156.677655 -0.784987 
2451169.218991 -0.773375 
2451181.760327 -0.761454 
2451194.301663 -0.749218 
2451206.842999 -0.736659 
2451219.384335 -0.723768 
2451231.925671 -0.710537 
2451244.467007 -0.696957 
2451257.008343 -0.683018 
2451269.549679 -0.668712 
2451282.091015 -0.654027 
2451294.632351 -0.638955 
2451307.173687 -0.623484 
2451319.715023 -0.607603 
2451332.256359 -0.591300 
2451344.797695 -0.574563 
2451357.339031 -0.557381 
2451369.880367 -0.539739 
2451382.421703 -0.521624 
2451394.963039 -0.503022 
2451407.504375 -0.483919 
2451420.045711 -0.464299 
2451432.587047 -0.444146 
2451445.128384 -0.423444 
2451457.669720 -0.402176 
