# time model 
2449300.559923 1.224876 
2449313.101259 -0.323459 
2449325.642595 -1.720121 
2449338.183931 -2.199393 
2449350.725267 -1.421451 
2449363.266603 0.200767 
2449375.807939 1.684587 
2449388.349275 2.177388 
2449400.890611 1.474115 
2449413.431947 -0.006033 
2449425.973283 -1.498515 
2449438.514619 -2.203378 
2449451.055955 -1.664178 
2449463.597291 -0.139365 
2449476.138627 1.453325 
2449488.679963 2.178929 
2449501.221299 1.692613 
2449513.762635 0.310777 
2449526.303971 -1.245784 
2449538.845307 -2.157437 
2449551.386643 -1.866894 
2449563.927979 -0.476880 
2449576.469315 1.186827 
2449589.010651 2.131994 
2449601.551987 1.875651 
2449614.093323 0.620582 
2449626.634659 -0.967648 
2449639.175995 -2.063393 
2449651.717331 -2.025039 
2449664.258667 -0.803365 
2449676.800003 0.891028 
2449689.341339 2.036863 
2449701.882675 2.019093 
2449714.424011 0.917152 
2449726.965347 -0.670178 
2449739.506684 -1.924108 
2449752.048020 -2.135308 
2449764.589356 -1.110684 
2449777.130692 0.572771 
2449789.672028 1.894917 
2449802.213364 2.119482 
2449814.754700 1.194496 
2449827.296036 -0.359684 
2449839.837372 -1.743352 
2449852.378708 -2.195694 
2449864.920044 -1.391241 
2449877.461380 0.239639 
2449890.002716 1.708673 
2449902.544052 2.174130 
2449915.085388 1.446942 
2449927.626724 -0.042601 
2449940.168060 -1.525668 
2449952.709396 -2.205483 
2449965.250732 -1.638221 
2449977.792068 -0.100251 
2449990.333404 1.481796 
2450002.874740 2.181212 
2450015.416076 1.669223 
2450027.957412 0.274606 
2450040.498748 -1.276231 
2450053.040084 -2.165207 
2450065.581420 -1.845789 
2450078.122756 -0.438497 
2450090.664092 1.219064 
2450103.205428 2.139854 
2450115.746764 1.856558 
2450128.288100 0.585537 
2450140.829436 -1.000711 
2450153.370772 -2.076564 
2450165.912109 -2.009249 
2450178.453445 -0.766671 
2450190.994781 0.926299 
2450203.536117 2.050212 
2450216.077453 2.004740 
2450228.618789 0.883938 
2450241.160125 -0.705146 
2450253.701461 -1.942302 
2450266.242797 -2.125147 
2450278.784133 -1.076591 
2450291.325469 0.610249 
2450303.866805 1.913540 
2450316.408141 2.110229 
2450328.949477 1.163786 
2450341.490813 -0.395823 
2450354.032149 -1.766094 
2450366.573485 -2.191326 
2450379.114821 -1.360587 
2450391.656157 0.278423 
2450404.197493 1.732222 
2450416.738829 2.170243 
2450429.280165 1.419370 
2450441.821501 -0.079168 
2450454.362837 -1.552402 
2450466.904173 -2.206925 
2450479.445509 -1.611743 
2450491.986845 -0.061115 
2450504.528181 1.509791 
2450517.069517 2.182854 
2450529.610853 1.645371 
2450542.152189 0.238353 
2450554.693525 -1.306333 
2450567.234861 -2.172337 
2450579.776197 -1.824101 
2450592.317534 -0.399981 
2450604.858870 1.250902 
2450617.400206 2.147074 
2450629.941542 1.836947 
2450642.482878 0.550326 
2450655.024214 -1.033509 
2450667.565550 -2.089131 
2450680.106886 -1.992830 
2450692.648222 -0.729735 
2450705.189558 0.961262 
2450717.730894 2.062939 
2450730.272230 1.989822 
2450742.813566 0.850479 
2450755.354902 -0.739932 
2450767.896238 -1.959941 
2450780.437574 -2.114328 
2450792.978910 -1.042155 
2450805.520246 0.647519 
2450818.061582 1.931571 
2450830.602918 2.100373 
2450843.144254 1.132756 
2450855.685590 -0.431865 
2450868.226926 -1.788340 
2450880.768262 -2.186288 
2450893.309598 -1.329498 
2450905.850934 0.317104 
2450918.392270 1.755226 
2450930.933606 2.165729 
2450943.474942 1.391407 
2450956.016278 -0.115723 
2450968.557614 -1.578707 
2450981.098950 -2.207703 
2450993.640286 -1.584750 
2451006.181622 -0.021970 
2451018.722959 1.537304 
2451031.264295 2.183856 
2451043.805631 1.621063 
2451056.346967 0.202026 
2451068.888303 -1.336082 
2451081.429639 -2.178824 
2451093.970975 -1.801836 
2451106.512311 -0.361344 
2451119.053647 1.282334 
2451131.594983 2.153655 
2451144.136319 1.816824 
2451156.677655 0.514959 
2451169.218991 -1.066033 
2451181.760327 -2.101090 
2451194.301663 -1.975785 
2451206.842999 -0.692570 
2451219.384335 0.995906 
2451231.925671 2.075041 
2451244.467007 1.974344 
2451257.008343 0.816783 
2451269.549679 -0.774526 
2451282.091015 -1.977019 
2451294.632351 -2.102853 
2451307.173687 -1.007387 
2451319.715023 0.684568 
2451332.256359 1.949008 
2451344.797695 2.089920 
2451357.339031 1.101413 
2451369.880367 -0.467800 
2451382.421703 -1.810083 
2451394.963039 -2.180582 
2451407.504375 -1.297984 
2451420.045711 0.355670 
2451432.587047 1.777680 
2451445.128384 2.160589 
2451457.669720 1.363060 
2451470.211056 -0.152258 
2451482.752392 -1.604576 
2451495.293728 -2.207815 
2451507.835064 -1.557253 
2451520.376400 0.017170 
2451532.917736 1.564327 
2451545.459072 2.184218 
2451558.000408 1.596307 
2451570.541744 0.165635 
2451583.083080 -1.365468 
2451595.624416 -2.184665 
2451608.165752 -1.778999 
2451620.707088 -0.322599 
2451633.248424 1.313349 
2451645.789760 2.159596 
2451658.331096 1.796196 
2451670.872432 0.479445 
2451683.413768 -1.098274 
2451695.955104 -2.112437 
2451708.496440 -1.958120 
2451721.037776 -0.655188 
2451733.579112 1.030220 
2451746.120448 2.086515 
2451758.661784 1.958311 
2451771.203120 0.782860 
2451783.744456 -0.808919 
2451796.285792 -1.993531 
2451808.827128 -2.090725 
2451821.368464 -0.972298 
2451833.909800 0.721384 
2451846.451136 1.965845 
2451858.992472 2.078873 
2451871.533809 1.069767 
2451884.075145 -0.503618 
2451896.616481 -1.831317 
2451909.157817 -2.174207 
2451921.699153 -1.266056 
2451934.240489 0.394109 
2451946.781825 1.799578 
2451959.323161 2.154828 
2451971.864497 1.334338 
2451984.405833 -0.188761 
2451996.947169 -1.630000 
2452009.488505 -2.207261 
2452022.029841 -1.529259 
2452034.571177 0.056294 
2452047.112513 1.590851 
2452059.653849 2.183943 
2452072.195185 1.571110 
2452084.736521 0.129190 
2452097.277857 -1.394482 
2452109.819193 -2.189856 
2452122.360529 -1.755598 
2452134.901865 -0.283759 
2452147.443201 1.343938 
2452159.984537 2.164895 
2452172.525873 1.775068 
2452185.067209 0.443794 
2452197.608545 -1.130221 
2452210.149881 -2.123165 
2452222.691217 -1.939839 
2452235.232553 -0.617600 
2452247.773889 1.064194 
2452260.315225 2.097360 
2452272.856561 1.941729 
2452285.397897 0.748718 
2452297.939234 -0.843102 
2452310.480570 -2.009469 
2452323.021906 -2.077947 
2452335.563242 -0.936901 
2452348.104578 0.757957 
2452360.645914 1.982079 
2452373.187250 2.067236 
2452385.728586 1.037825 
2452398.269922 -0.539311 
2452410.811258 -1.852033 
2452423.352594 -2.167165 
2452435.893930 -1.233723 
